wbid,intestine,head,pharynx,hypodermis,tail,vulvalmuscle,tailneurons,bodywallmusculature,vulva,ventralnervecord,nervoussystem,spermatheca,headneurons,germline
WBGene00000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000007,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000010,0,0,0,0,0,0,0,1,0,0,1,0,0,0
WBGene00000012,1,0,0,0,0,0,0,1,0,0,0,0,1,0
WBGene00000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000014,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000018,0,0,1,0,0,0,1,0,0,1,0,0,1,0
WBGene00000022,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000023,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000035,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000036,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00000037,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000039,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000042,0,0,0,0,0,1,0,0,0,0,1,0,0,0
WBGene00000044,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000047,0,0,0,0,0,1,1,1,0,0,0,0,1,0
WBGene00000051,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000053,1,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000054,0,0,0,0,0,0,1,1,0,0,0,0,1,0
WBGene00000055,0,0,0,0,0,0,0,1,0,0,1,0,0,0
WBGene00000057,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00000060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000062,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000063,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000064,0,0,0,1,0,0,0,1,0,0,1,0,0,0
WBGene00000065,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000066,0,0,0,0,0,1,0,1,0,0,0,1,0,0
WBGene00000067,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000068,0,0,0,0,0,1,0,1,0,0,1,0,0,0
WBGene00000069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000072,1,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000075,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000079,0,0,0,0,0,0,0,0,1,0,1,0,0,0
WBGene00000082,0,0,0,0,0,0,0,1,1,1,0,0,0,0
WBGene00000083,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00000084,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000085,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00000086,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000089,1,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000090,1,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000092,0,1,0,0,1,0,0,1,0,0,1,1,0,0
WBGene00000095,1,0,1,1,0,0,0,0,0,0,1,0,0,0
WBGene00000096,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000098,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000102,1,0,0,1,0,0,1,0,1,0,0,1,1,0
WBGene00000103,1,0,1,1,0,0,1,0,1,0,0,1,1,0
WBGene00000105,1,1,1,1,1,0,0,1,1,1,0,0,0,0
WBGene00000106,1,0,0,1,0,0,0,1,1,1,0,1,0,0
WBGene00000112,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000135,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000140,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000145,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000149,0,1,1,1,0,0,0,0,1,0,1,1,0,0
WBGene00000150,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000161,1,0,1,1,0,0,1,1,1,0,0,0,1,0
WBGene00000164,0,0,1,0,0,0,0,0,1,0,0,1,0,0
WBGene00000168,0,0,1,0,0,1,0,0,1,0,0,0,0,0
WBGene00000169,1,0,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000170,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000171,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000172,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000176,0,0,0,0,0,1,0,0,0,0,0,0,0,1
WBGene00000181,1,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000182,1,0,1,0,0,0,0,1,1,1,0,1,1,0
WBGene00000183,1,0,0,0,0,0,0,1,1,1,0,0,0,0
WBGene00000184,1,0,0,0,0,0,0,1,1,1,0,0,0,0
WBGene00000185,0,1,0,0,1,1,0,0,0,0,0,0,0,0
WBGene00000187,1,0,0,0,0,0,0,0,0,1,0,0,1,0
WBGene00000188,0,0,0,0,0,0,1,0,0,0,0,0,1,0
WBGene00000192,1,0,1,0,0,0,0,0,0,0,1,0,0,0
WBGene00000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000195,0,0,0,0,1,0,0,0,0,0,1,0,0,0
WBGene00000197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000206,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000214,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000216,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000218,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000220,0,0,0,0,0,0,1,0,0,1,0,0,1,0
WBGene00000222,1,0,0,0,0,0,0,0,1,0,1,0,0,0
