index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene,b_c,b_e,b_b,b_a,b_d,se_b_c,se_b_e,se_b_b,se_b_a,se_b_d,q_c,q_e,q_b,q_a,q_d
8328,8329,B0222.6,0.8687729404165592,1.0,-0.0559654910268831,0.338738663270853,6.9210217911502,2.3065934655010296,0.0047271959016504704,0.167388627090136,0.0077015484706199995,0.167388627090136,WBGene00000717,col-144,0.5678512782417541,2.33746192148245,2.6949472591429,1.7701044279518798,1.02132397380319,0.338738663270853,0.338738663270853,0.338738663270853,0.338738663270853,0.338738663270853,0.567124098667544,8.494196273675981e-10,2.6812132967715396e-13,7.912156281541561e-06,0.0747343139429326
2542,2543,C03D6.1,0.0945484572838485,0.694135931830122,0.701587936730008,0.41964072576905803,3.0443813474874,0.540381842902438,0.0902570510021564,0.0958106100550433,0.173890457083816,0.173890457083816,WBGene00007275,C03D6.1,0.13759662323015198,1.1193418789894,1.65642304923274,1.8822014960289197,1.3747099018228301,0.41964072576905803,0.41964072576905803,0.41964072576905803,0.41964072576905803,0.41964072576905803,0.990519035440823,0.0706066322876132,0.00190358229585517,0.000220174720304958,0.0399972872799329
1964,1965,C03E10.5,0.0620840317572127,0.590351212917822,-0.40877189761643107,0.219098979020232,6.38617574686808,0.517019137636637,0.00248167521886829,0.0695248686926941,0.00884810959561277,0.0695248686926941,WBGene00007282,clec-223,-0.32219571940704306,1.07709448704799,1.0749309590871199,1.4940270935053,1.1190176921720099,0.219098979020232,0.219098979020232,0.219098979020232,0.219098979020232,0.219098979020232,0.662001136027282,4.23154680591503e-05,3.56376036544377e-05,7.85988481668455e-10,4.32920011944261e-05
5050,5051,C03E10.6,0.24945069954378102,0.9227155891916681,-0.30970410386650105,0.268913990646041,5.30397166594539,1.3759152108111499,0.014082686125353999,0.0943894154224149,0.0182817199853236,0.0943894154224149,WBGene00007283,clec-222,-0.42846458660002795,2.0033711035554203,2.4702720386263,2.4810700924252402,1.79690897596477,0.268913990646041,0.268913990646041,0.268913990646041,0.268913990646041,0.268913990646041,0.608285300322252,2.2100474718475e-11,1.0284959913458802e-17,5.69180255288926e-18,8.62988263998946e-09
1852,1853,C03G5.1,0.0567306973978731,0.5717378425455849,-0.14115182320327,0.0740806692971616,7.22811204456458,0.0615839328560399,0.000783756647189839,0.00529040178965877,0.007448161698083291,0.007448161698083291,WBGene00015391,sdha-1,0.130762196997194,0.197734999783899,0.37922640191741996,0.470588891180689,0.36631182329862105,0.0740806692971616,0.0740806692971616,0.0740806692971616,0.0740806692971616,0.0740806692971616,0.521490181819831,0.0702981217672512,1.31564731301797e-05,1.5353759725765e-08,9.24956863238717e-05
1624,1625,C08F1.6,0.0452562799819034,0.521511709039803,0.9112820490128509,0.45512568320134206,3.15499420718211,0.6486468824609251,0.10381897922286801,0.206890102041365,0.157525129322512,0.206890102041365,WBGene00015610,C08F1.6,-0.335952529068684,1.36335204314614,1.5076890930626001,1.26286785151097,1.3807966131981102,0.45512568320134295,0.45512568320134206,0.45512568320134295,0.45512568320134295,0.45512568320134206,0.9110364630370179,0.0317343568699647,0.0148458532948552,0.0515318140997697,0.0721357047978494
14832,14833,C09E8.3,0.619094756744745,1.0,-0.16632065002429403,0.334559180196955,4.70171644124743,1.90465575912195,0.0212925214280529,0.146602246153035,0.0338027572225887,0.146602246153035,WBGene00015646,mlt-10,-0.373715661434519,2.79720924958246,2.75708041700295,2.4226746218828903,2.6289267299072097,0.334559180196955,0.334559180196955,0.334559180196955,0.334559180196955,0.334559180196955,0.8045485602712679,2.15403443835778e-14,2.98384112443549e-14,4.53441377055401e-11,2.35480120209264e-12
4136,4137,C10C5.5,0.19340834527764,0.871479679722844,-0.5777739972073779,0.44424940809211894,4.1258724639659,2.5448740601081403,0.0607498653725748,0.23528643951272196,0.0619046252019804,0.23528643951272196,WBGene00007509,C10C5.5,-0.520307823194028,2.62064768506663,2.31357320010294,2.01329918023464,2.22194530067238,0.44424940809211894,0.44424940809211894,0.44424940809211894,0.44424940809211894,0.44424940809211894,0.7870408089313079,3.30019840652726e-07,8.60261591822605e-06,0.000181727101247801,6.9902537632035e-05
676,677,C14F11.4a,0.0076092562678927,0.210013225059934,0.5642296725021129,0.211406435471734,6.40362810701492,0.9031898629361479,0.0270807974966765,0.0399582239416202,0.00879033457004214,0.0399582239416202,WBGene00015780,C14F11.4,0.0803097071168618,1.46036497211449,1.65171760672818,1.0898604934174498,0.916510131394127,0.211406435471734,0.211406435471734,0.211406435471734,0.211406435471734,0.211406435471734,0.985775476386991,8.13602780440932e-10,7.84551230784512e-13,1.11864854124061e-05,0.00124762708025223
14990,14991,C24B9.9,0.8098792164765171,1.0,0.10233881647648901,0.42538044858270796,4.38649569073095,3.3836313087631202,0.0868720149885145,0.184550774066125,0.0474430001255451,0.184550774066125,WBGene00016052,dod-3,0.656909190668063,1.1367820951458,3.3246968056085198,3.40296150332115,3.80125874681309,0.42538044858270796,0.42538044858270796,0.42538044858270796,0.42538044858270796,0.42538044858270796,0.6310231576641679,0.0698029825943302,7.729726630942929e-13,1.7639538670131302e-13,3.9632415457090403e-16
11403,11404,C25D7.5,0.739391701374216,1.0,0.12892631333826401,0.38756297940359297,3.18517604751379,0.43735251492832705,0.0719875850127282,0.0285733416619756,0.153320009493557,0.153320009493557,WBGene00007717,C25D7.5,0.121062455918797,1.13668888340029,1.6224416363445402,1.53912711455179,1.24733891682363,0.38756297940359297,0.38756297940359297,0.38756297940359297,0.38756297940359297,0.38756297940359297,0.9908274498817529,0.0373251944685097,0.000768440302442763,0.00159958924007162,0.0457965796856479
