#Table S9 from A validated gene regulatory network and GWAS identifies early regulators of T cell–associated diseases
# Contains all known SNPs at time of publication,,,,,
Link,Disease_Trait,Mapped_gene,Upstream_gene_id (Entrez),Downstream_gene_id (Entrez),p_Value
http://www.ncbi.nlm.nih.gov/pubmed/19754311?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS,Intergenic,100873333,55170,6.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/19754311?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS,SOX5,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19754311?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS,RXRG,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19754311?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS,TGFBRAP1,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19754311?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS,Intergenic,7002,8777,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19754311?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS,Intergenic,100271089,392256,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19754311?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS,NR,4781,340481,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21502085,AIDS progression,PARD3B,,,3.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/21502085,AIDS progression,DGKI,,,6.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21502085,AIDS progression,NBPF14,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21502085,AIDS progression,RPH3AL,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21502085,AIDS progression,CCRL2,1234,9034,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21502085,AIDS progression,H2AFY,,,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21502085,AIDS progression,LTF,9034,4057,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/19115949?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS progression,HCP5,,,3.00E-19
http://www.ncbi.nlm.nih.gov/pubmed/19115949?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS progression,HLA-C,387122,3106,6.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/19115949?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS progression,ZNRD1,,,5.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/19115949?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS progression,MICB,,,3.00E-19
http://www.ncbi.nlm.nih.gov/pubmed/19115949?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS progression,RNF39,,,5.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/19115949?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS progression,MCCD1,,,3.00E-19
http://www.ncbi.nlm.nih.gov/pubmed/19115949?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS progression,BAT1,,,3.00E-19
http://www.ncbi.nlm.nih.gov/pubmed/19115949?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS progression,LTB,,,3.00E-19
http://www.ncbi.nlm.nih.gov/pubmed/19115949?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,AIDS progression,TNF,,,3.00E-19
http://www.ncbi.nlm.nih.gov/pubmed/22055160,Abdominal aortic aneurysm,LRP1,,,5.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/20622881,Abdominal aortic aneurysm,DAB2IP,,,5.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/20622881,Abdominal aortic aneurysm,CDKN2A,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/19497516?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum,Abdominal aortic aneurysm,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/20622881,Abdominal aortic aneurysm,CKDN2B,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/22282500,Acute graft versus host disease,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/22295056,Acute lung injury,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/23512250,Acute lymphoblastic leukemia (childhood),IKZF1,,,2.00E-29
http://www.ncbi.nlm.nih.gov/pubmed/23512250,Acute lymphoblastic leukemia (childhood),ARID5B,,,6.00E-46
http://www.ncbi.nlm.nih.gov/pubmed/23512250,Acute lymphoblastic leukemia (childhood),CEBPE,55017,1053,9.00E-12
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),PYGL,,,7.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),MYRIP,100132681,25924,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),LOC642340,27249,100189494,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),PDE4B,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),Intergenic,100270939,27249,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),TBXAS1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),MAGI2,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),RIT2,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),NPFFR1,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23007406,Acute lymphoblastic leukemia (childhood),PDE4B,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22076464,Acute lymphoblastic leukemia (childhood),OR8U8,79476,79482,3.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/22076464,Acute lymphoblastic leukemia (childhood),Intergenic,3617,3351,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22076464,Acute lymphoblastic leukemia (childhood),TP63,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/22076464,Acute lymphoblastic leukemia (childhood),TP63,,,9.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/22076464,Acute lymphoblastic leukemia (childhood),OR8U8,79476,79482,4.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/22076464,Acute lymphoblastic leukemia (childhood),PTPRJ,,,1.00E-06
