gene,phenotype
WBGene00020142,WT_RNAi
WBGene00017967,WT_RNAi
WBGene00000074,WT_RNAi
WBGene00000205,nonwt_RNAi
WBGene00000219,WT_RNAi
WBGene00000221,WT_RNAi
WBGene00015096,WT_RNAi
WBGene00009945,WT_RNAi
WBGene00007237,WT_RNAi
WBGene00015361,WT_RNAi
WBGene00015510,WT_RNAi
WBGene00007496,WT_RNAi
WBGene00015815,WT_RNAi
WBGene00016046,WT_RNAi
WBGene00016162,nonwt_RNAi
WBGene00007941,WT_RNAi
WBGene00016439,WT_RNAi
WBGene00007994,WT_RNAi
WBGene00008065,WT_RNAi
WBGene00016749,WT_RNAi
WBGene00008260,WT_RNAi
WBGene00016922,WT_RNAi
WBGene00000437,WT_RNAi
WBGene00000462,WT_RNAi
WBGene00011122,WT_RNAi
WBGene00017028,WT_RNAi
WBGene00008366,nonwt_RNAi
WBGene00000908,nonwt_RNAi
WBGene00000914,WT_RNAi
WBGene00017381,WT_RNAi
WBGene00012116,WT_RNAi
WBGene00000959,WT_RNAi
WBGene00000961,WT_RNAi
WBGene00018943,WT_RNAi
WBGene00008438,nonwt_RNAi
WBGene00012832,WT_RNAi
WBGene00010484,WT_RNAi
WBGene00001078,WT_RNAi
WBGene00001086,WT_RNAi
WBGene00001131,WT_RNAi
WBGene00008483,WT_RNAi
WBGene00001148,WT_RNAi
WBGene00001186,WT_RNAi
WBGene00001196,WT_RNAi
WBGene00001173,WT_RNAi
WBGene00001210,WT_RNAi
WBGene00001174,nonwt_RNAi
WBGene00007772,WT_RNAi
WBGene00001253,WT_RNAi
WBGene00001309,WT_RNAi
WBGene00008564,WT_RNAi
WBGene00017265,WT_RNAi
WBGene00008621,WT_RNAi
WBGene00017317,WT_RNAi
WBGene00017501,nonwt_RNAi
WBGene00017534,WT_RNAi
WBGene00017535,WT_RNAi
WBGene00008951,WT_RNAi
WBGene00017950,WT_RNAi
WBGene00009306,WT_RNAi
WBGene00018378,WT_RNAi
WBGene00009688,WT_RNAi
WBGene00018623,WT_RNAi
WBGene00009888,WT_RNAi
WBGene00018928,WT_RNAi
WBGene00016138,WT_RNAi
WBGene00001449,WT_RNAi
WBGene00010453,WT_RNAi
WBGene00014177,WT_RNAi
WBGene00001519,WT_RNAi
WBGene00021697,WT_RNAi
WBGene00001570,nonwt_RNAi
WBGene00001580,WT_RNAi
WBGene00021980,nonwt_RNAi
WBGene00001636,WT_RNAi
WBGene00010593,WT_RNAi
WBGene00001753,WT_RNAi
WBGene00010416,WT_RNAi
WBGene00006452,WT_RNAi
WBGene00001860,nonwt_RNAi
WBGene00009002,WT_RNAi
WBGene00001957,WT_RNAi
WBGene00001962,nonwt_RNAi
WBGene00001949,nonwt_RNAi
WBGene00001953,nonwt_RNAi
WBGene00001995,WT_RNAi
WBGene00002012,nonwt_RNAi
WBGene00002026,WT_RNAi
WBGene00002071,WT_RNAi
WBGene00019030,nonwt_RNAi
WBGene00002101,WT_RNAi
WBGene00002175,WT_RNAi
WBGene00019344,WT_RNAi
WBGene00010704,WT_RNAi
WBGene00019609,WT_RNAi
WBGene00010767,WT_RNAi
WBGene00019673,WT_RNAi
WBGene00002216,WT_RNAi
WBGene00002267,WT_RNAi
WBGene00020605,WT_RNAi
WBGene00010716,WT_RNAi
WBGene00006407,nonwt_RNAi
WBGene00003015,nonwt_RNAi
WBGene00003089,WT_RNAi
WBGene00019737,WT_RNAi
WBGene00019751,WT_RNAi
WBGene00003235,WT_RNAi
WBGene00003238,WT_RNAi
WBGene00003367,nonwt_RNAi
WBGene00003426,nonwt_RNAi
WBGene00003424,nonwt_RNAi
WBGene00003435,nonwt_RNAi
WBGene00003438,nonwt_RNAi
WBGene00003442,nonwt_RNAi
WBGene00021839,WT_RNAi
WBGene00017742,WT_RNAi
WBGene00003696,WT_RNAi
WBGene00003700,WT_RNAi
WBGene00003718,WT_RNAi
WBGene00017510,WT_RNAi
WBGene00017367,WT_RNAi
WBGene00003661,WT_RNAi
WBGene00003684,WT_RNAi
WBGene00003687,nonwt_RNAi
WBGene00003738,WT_RNAi
WBGene00003779,nonwt_RNAi
WBGene00003968,WT_RNAi
WBGene00004010,nonwt_RNAi
WBGene00004024,WT_RNAi
WBGene00004032,WT_RNAi
WBGene00004076,WT_RNAi
WBGene00004134,WT_RNAi
WBGene00004166,nonwt_RNAi
WBGene00004192,WT_RNAi
WBGene00004213,WT_RNAi
WBGene00004224,WT_RNAi
WBGene00004219,WT_RNAi
WBGene00004259,WT_RNAi
WBGene00019842,WT_RNAi
WBGene00019867,WT_RNAi
WBGene00019904,WT_RNAi
WBGene00019945,WT_RNAi
WBGene00020125,WT_RNAi
WBGene00016354,WT_RNAi
WBGene00017183,WT_RNAi
WBGene00004780,WT_RNAi
WBGene00004873,nonwt_RNAi
WBGene00004874,nonwt_RNAi
WBGene00004921,WT_RNAi
WBGene00004962,WT_RNAi
WBGene00007918,nonwt_RNAi
WBGene00004999,WT_RNAi
WBGene00005003,WT_RNAi
WBGene00009743,WT_RNAi
WBGene00011926,WT_RNAi
WBGene00005113,WT_RNAi
WBGene00005517,WT_RNAi
WBGene00015419,nonwt_RNAi
WBGene00005719,WT_RNAi
WBGene00005936,WT_RNAi
WBGene00044068,nonwt_RNAi
WBGene00011373,WT_RNAi
WBGene00011772,WT_RNAi
WBGene00011798,WT_RNAi
WBGene00011824,WT_RNAi
WBGene00020615,WT_RNAi
WBGene00020630,nonwt_RNAi
WBGene00011873,WT_RNAi
WBGene00020808,WT_RNAi
WBGene00006520,WT_RNAi
WBGene00016423,WT_RNAi
WBGene00044324,WT_RNAi
WBGene00016871,WT_RNAi
WBGene00006562,WT_RNAi
WBGene00006498,nonwt_RNAi
WBGene00006575,WT_RNAi
WBGene00017298,nonwt_RNAi
WBGene00006668,nonwt_RNAi
WBGene00006672,nonwt_RNAi
WBGene00006683,WT_RNAi
WBGene00006831,WT_RNAi
WBGene00006792,WT_RNAi
WBGene00006804,WT_RNAi
WBGene00006823,nonwt_RNAi
WBGene00006875,nonwt_RNAi
WBGene00012193,WT_RNAi
WBGene00012162,WT_RNAi
WBGene00020917,WT_RNAi
WBGene00012366,nonwt_RNAi
WBGene00012549,WT_RNAi
WBGene00012658,WT_RNAi
WBGene00021546,WT_RNAi
WBGene00012871,WT_RNAi
WBGene00012996,WT_RNAi
WBGene00013042,nonwt_RNAi
WBGene00021736,nonwt_RNAi
WBGene00013178,WT_RNAi
WBGene00013239,WT_RNAi
WBGene00022280,WT_RNAi
WBGene00010178,WT_RNAi
WBGene00022518,nonwt_RNAi
WBGene00006975,nonwt_RNAi
