Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,96.48289713772161,615,6.374186702977386,0.0,0.0
developmental process GO:0032502,100.24472344018083,638,6.364424760777704,0.0,0.0
embryo development GO:0009790,57.99923745200033,428,7.379407364695253,4.998053808153103e-251,4.181705019488096e-249
reproduction GO:0000003,56.00352678449849,394,7.035271216330921,4.417536415675913e-221,2.7720041008366354e-219
sex differentiation GO:0007548,19.091710013889266,133,6.966374405605479,9.764378902952651e-71,4.901718209282231e-69
organelle fission GO:0048285,11.956602848661458,105,8.781758608947587,2.994859902291121e-66,1.2528497257917857e-64
reproductive system development GO:0061458,17.74946213132166,123,6.929787454401086,3.410328369365769e-65,1.222846315301154e-63
membrane-bounded organelle GO:0043227,176.6115634957379,407,2.304492367000771,1.3541340122574882e-62,4.2485954634578696e-61
cellular component organization or biogenesis GO:0071840,95.37024428769845,281,2.9464116622404983,4.478454220311429e-62,1.2489911214424097e-60
multi-organism reproductive process GO:0044703,12.94562760423759,101,7.801861994465136,1.081572336981742e-58,2.7147465658241724e-57
cytoplasm GO:0005737,141.96037473787413,333,2.3457249997745864,2.4471941738394957e-51,5.584052160306485e-50
receptor-mediated endocytosis GO:0006898,13.70505732726926,89,6.493953135308285,3.608206348252996e-45,7.547164945095851e-44
organelle part GO:0044422,106.14354966093849,260,2.449512955149282,2.2706257933258787e-42,4.384054416344581e-41
chromosome segregation GO:0007059,7.08212369617909,64,9.036837359184922,6.7137957059519e-42,1.2036876587099478e-40
membrane-enclosed lumen GO:0031974,23.454015632233993,102,4.348935448811437,7.670260298786876e-36,1.2834902233303374e-34
nucleus GO:0005634,119.51304501756583,265,2.2173311705098864,8.662834274140197e-36,1.3589821267557434e-34
cell death GO:0008219,13.457801138375228,76,5.647282139077257,1.3127770406664667e-34,1.938276689454607e-33
mitotic cell cycle GO:0000278,9.78428061766388,64,6.541104297893779,3.3493861442898065e-33,4.670532901204119e-32
growth GO:0040007,11.850635910564012,62,5.231786755403678,9.337700608623704e-27,1.2335593961918684e-25
cell periphery GO:0071944,37.353345679348564,115,3.078706817514869,1.1301501255655352e-26,1.4183384075847467e-25
female gamete generation GO:0007292,5.227702279473842,42,8.034122403050699,3.643269220037307e-26,4.354574162996972e-25
regulation of cell cycle process GO:0010564,5.2630245921729895,42,7.980202118466466,4.813389612527921e-26,5.491639967020491e-25
oviposition GO:0018991,7.117446008878237,46,6.462992475477864,2.960740935703047e-24,3.231069455919412e-23
maintenance of location GO:0051235,13.22820610583077,62,4.686954489820917,3.551319953930929e-24,3.714088785152764e-23
intrinsic component of membrane GO:0031224,176.6115634957379,305,1.7269537393986123,1.1619168669905792e-22,1.1665645344585415e-21
non-membrane-bounded organelle GO:0043228,71.28042702687982,161,2.258684560619803,2.5910459849836103e-22,2.5013559316572542e-21
extracellular region GO:0005576,29.441147634739504,90,3.0569460510365163,5.682950425854901e-21,5.283039099591037e-20
chromosome GO:0005694,19.762833955173072,71,3.5926021622731494,1.1324381153251852e-20,1.0151498819522195e-19
gene silencing GO:0016458,3.903115553255808,29,7.429961937921482,7.627956399742443e-18,6.602127780466735e-17
cell proliferation GO:0008283,3.761826302459218,25,6.645708225192842,1.557604512472204e-14,1.3031957754350773e-13
microtubule cytoskeleton organization GO:0000226,4.185694054848988,26,6.211634118332146,2.7119976918273584e-14,2.195843292415055e-13
localization of cell GO:0051674,6.516966692992728,32,4.910259865898582,4.4776882521158344e-14,3.5121867227533576e-13
nervous system development GO:0007399,8.000503826356926,34,4.24973235910345,5.662518357215707e-13,4.306945780791341e-12
sister chromatid segregation GO:0000819,3.7441651461096432,23,6.142891433060329,8.326628569965443e-13,6.147011091356842e-12
organelle localization GO:0051640,4.5212560254908905,24,5.308259444872784,7.636576349975647e-12,5.476516182411107e-11
nucleolus GO:0005730,3.920776709605381,22,5.611133106892552,1.556671040970598e-11,1.0853456424545004e-10
establishment of localization GO:0051234,176.6115634957379,261,1.4778194294525828,2.65972054022927e-11,1.8042969070203967e-10
mitochondrion GO:0005739,21.10508183774068,55,2.6060074262136954,8.162713288090221e-11,5.391686935028015e-10
nucleoplasm GO:0005654,11.709346659767423,37,3.1598688701505155,4.05981541836324e-10,2.6128555641260853e-09
extracellular space GO:0005615,13.987635828862441,41,2.93116009750551,5.210484790902041e-10,3.269579206291031e-09
catabolic process GO:0009056,39.66695716114273,80,2.016791952934747,1.968418705509638e-09,1.2050563294705346e-08
taxis GO:0042330,4.538917181840464,19,4.1860204182654375,4.440761772984937e-08,2.6538838214743316e-07
Golgi apparatus GO:0005794,9.060173207331355,28,3.090448643668625,6.231624525181158e-08,3.637529664698769e-07
endoplasmic reticulum GO:0005783,15.948024183665133,40,2.508147688976435,6.382043799863407e-08,3.6406658949220795e-07
mitochondrion organization GO:0007005,4.821495683433645,19,3.9406858882572062,1.193233555971057e-07,6.655591612194117e-07
DNA replication GO:0006260,9.978553337509192,29,2.9062328996117657,1.4428719943337947e-07,7.873062403864836e-07
positive regulation of cellular component organization GO:0051130,4.00908249135325,17,4.240371715140667,1.559988713616603e-07,8.331003555697178e-07
rRNA metabolic process GO:0016072,5.174718810425121,19,3.6716970904239496,3.7040329944795283e-07,1.9369005866965866e-06
single-organism localization GO:1902578,59.076567989324325,98,1.6588641374310962,5.336601744900534e-07,2.7336470162653753e-06
cellular component disassembly GO:0022411,3.532231269914758,15,4.246607555898227,6.671061554531826e-07,3.348872900374976e-06
mitochondrial matrix GO:0005759,3.5675535826139053,15,4.204561936532898,7.617722898627227e-07,3.7491146030498707e-06
regulation of protein metabolic process GO:0051246,21.564271902829596,46,2.1331580406368382,8.569264001716469e-07,4.136317816213141e-06
protein complex subunit organization GO:0071822,17.307933222582314,39,2.253301968435794,1.3528086790600667e-06,6.4066977064920134e-06
purine NTP-dependent helicase activity GO:0070035,3.779487458808791,15,3.9687921083160997,1.6319215494517942e-06,7.585413128007413e-06
protein catabolic process GO:0030163,18.243974509109727,40,2.192504707788694,2.0017997635214383e-06,9.135486193525108e-06
cytoskeleton GO:0005856,21.352338026634715,44,2.0606642675436664,3.4698819952381433e-06,1.555250680008525e-05
immune system process GO:0002376,6.022454315204662,19,3.154859963326151,3.8303775748938095e-06,1.686710125084818e-05
transcription factor complex GO:0005667,5.245363435823416,17,3.2409575061849543,7.348111910694272e-06,3.17995877514528e-05
cell part morphogenesis GO:0032990,3.779487458808791,14,3.704205967761693,7.4910825634722155e-06,3.1868842770025865e-05
"transferase complex, transferring phosphorus-containing groups GO:0061695",6.375677442196138,19,2.980075477823317,8.89028757370438e-06,3.719103634999666e-05
ATPase activity GO:0016887,25.07884201639478,48,1.913963968855539,9.916041825081899e-06,4.080207373927142e-05
ribonucleoprotein complex subunit organization GO:0071826,3.938437865954955,14,3.5547088659237773,1.2253964757761814e-05,4.9608792809648636e-05
cellular response to DNA damage stimulus GO:0006974,18.50889185435333,38,2.053067266210339,1.522488239460251e-05,6.065786477849572e-05
monooxygenase activity GO:0004497,4.556578338190038,15,3.291943841781571,1.7503795236951832e-05,6.864769694492047e-05
cell morphogenesis involved in differentiation GO:0000904,3.638198208012201,13,3.573197296225045,2.1088674698958123e-05,8.143472845289983e-05
nuclear outer membrane-endoplasmic reticulum membrane network GO:0042175,9.13081783272965,23,2.5189419416030745,2.2774754152969016e-05,8.66130801878064e-05
actin filament-based process GO:0030029,9.148478989079225,23,2.514079119321987,2.3488702041246655e-05,8.799498824407328e-05
regulatory region nucleic acid binding GO:0001067,3.708842833410496,13,3.505136395344568,2.6101322641542314e-05,9.634458798569296e-05
supramolecular complex GO:0099080,6.534627849342303,18,2.7545562524745253,4.155947940121041e-05,0.00015118013521309875
regulation of metabolic process GO:0019222,112.69583866663035,151,1.3398897580120823,0.00010791930999138394,0.0003869678115405339
cell junction GO:0030054,8.406710422397124,20,2.3790518520438244,0.00014548469633494753,0.0005143191377474906
protein complex biogenesis GO:0070271,15.683106838421525,31,1.9766491626553309,0.00015215404902928497,0.000530425920921535
nuclear envelope GO:0005635,4.415289087393448,13,2.944314572089437,0.0001687979522846447,0.0005803874797732304
Golgi membrane GO:0000139,4.574239494539612,13,2.8420024827118113,0.00024271467349485705,0.0008232619330703936
nitrogen compound transport GO:0071705,9.46637980337155,21,2.2183770814393724,0.00028015910032729566,0.0009375991224286829
ribonucleoprotein complex GO:1990904,34.9690895721561,55,1.5728176132956397,0.00047332794924460865,0.0015632278323736417
single-organism behavior GO:0044708,7.96518151365778,18,2.2598355064646882,0.0005168778715652668,0.0016848876073101554
lipid catabolic process GO:0016042,4.485933712791742,12,2.6750283816681746,0.0006653814779127557,0.0021411634737961757
regulation of cellular component biogenesis GO:0044087,4.115049429450693,11,2.6731149135840058,0.0009996881483403108,0.003176224370043266
