Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
male distal tip cell WBbt:0006864,57.684108253804084,108,1.8722660931986885,8.125515380068016e-11,2.2182656987585684e-08
Z4.a WBbt:0007025,57.40588908216194,107,1.8639202651640268,1.2871838326998948e-10,2.2182656987585684e-08
Z1.p WBbt:0007023,57.49862880604265,107,1.860913942155698,1.4178377852149188e-10,2.2182656987585684e-08
cephalic sheath cell WBbt:0008406,28.10013633585633,61,2.1708079729906076,2.4329395299101312e-09,1.6604812291636646e-07
AB WBbt:0004015,10.572328522401392,27,2.553836644670141,1.3393607283150764e-06,7.312909576600317e-05
Z2 WBbt:0004576,4.266027298512842,15,3.516151902082078,1.9228157867702057e-06,8.748811829804436e-05
Psub3 WBbt:0006875,5.84260260448498,18,3.0808188094433446,2.5550984748398718e-06,8.748811829804436e-05
Z3 WBbt:0004575,4.266027298512842,15,3.516151902082078,1.9228157867702057e-06,8.748811829804436e-05
EMS WBbt:0006876,6.3990409477692625,18,2.812921521665663,1.1186371315799249e-05,0.0003393199299125772
Psub2 WBbt:0006873,4.173287574632128,13,3.1150501295482713,3.5527209346231804e-05,0.0009698928151521283
Psub1 WBbt:0006874,21.60835566420635,40,1.8511357653307654,5.057831520199159e-05,0.0012552618227403367
reproductive tract WBbt:0005744,159.9760236942316,201,1.2564382796773292,0.00035511050777105286,0.008078764051791452
oocyte WBbt:0006797,13.539999686584238,26,1.920236381228386,0.0004017921903979868,0.008312809615576934
C WBbt:0003810,3.9878081268707004,11,2.7584075386876457,0.00039584807693223496,0.008312809615576934
gonadal primordium WBbt:0008366,55.736574052309095,76,1.3635570770581191,0.0024693647672890755,0.044942438764661176
