Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
organic acid metabolic process GO:0006082,5.9229962689615725,75,12.662510086832977,1.1721620488792574e-61,2.942126742686936e-59
monooxygenase activity GO:0004497,0.8115417086521964,36,44.36001208094231,5.757032143676475e-50,7.225075340313977e-48
"transferase activity, transferring glycosyl groups GO:0016757",5.529807456630083,63,11.392801737511634,1.1860675953043887e-48,9.92343221404672e-47
oxidation-reduction process GO:0055114,13.107342247882567,69,5.264225095758573,7.400332252916307e-32,4.643708488704982e-30
iron ion binding GO:0005506,2.7114300498379587,35,12.908317513885958,3.3375513596234273e-29,1.6754507825309607e-27
intrinsic component of membrane GO:0031224,31.455104986519242,92,2.924803463203463,1.1628692429704485e-23,4.864669666426376e-22
tetrapyrrole binding GO:0046906,3.648792178436232,32,8.770025376921929,1.207945662091744e-21,4.331348016928967e-20
glycosylation GO:0070085,1.701721179770691,23,13.515727648814524,2.3879017202731632e-20,7.49204164735705e-19
small molecule biosynthetic process GO:0044283,1.6105013753097852,22,13.660342261904761,1.150367256356622e-19,3.2082464593945794e-18
small molecule catabolic process GO:0044282,1.0254364225605272,17,16.5783071733992,3.309152365350937e-17,8.305972437030853e-16
membrane-bounded organelle GO:0043227,31.455104986519242,79,2.5115160173160174,4.793608258603421e-16,1.0938142480995077e-14
fatty acid metabolic process GO:0006631,0.8807429396225388,14,15.895670995670995,2.3524533013871546e-14,4.920548155401465e-13
organonitrogen compound catabolic process GO:1901565,1.6419564802963043,16,9.744472641024366,1.3469662394158041e-12,2.6006809699489755e-11
carbohydrate metabolic process GO:0005975,5.004507203355211,26,5.195316730200451,1.6937730742463788e-12,3.0366931545417214e-11
single-multicellular organism process GO:0044707,17.18392385413546,49,2.8515023935122783,6.415383783609032e-12,1.0735075531239114e-10
developmental process GO:0032502,17.85391759034832,50,2.8005058131908025,7.37452252954853e-12,1.1568782218229258e-10
cell periphery GO:0071944,6.652754704648819,28,4.208782864102013,4.022259040165837e-11,5.938747171068383e-10
cellular amino acid metabolic process GO:0006520,3.016544568207195,17,5.635587214315056,2.1561136908125627e-09,3.006580757744185e-08
cytoplasm GO:0005737,25.283613388164166,56,2.214873291260452,3.022097837861052e-09,3.9923503015953896e-08
catabolic process GO:0009056,7.064816579972221,26,3.6802087790511657,3.3393422915955617e-09,4.19087457595243e-08
secondary active transmembrane transporter activity GO:0015291,2.06030937661701,14,6.795095998149433,3.57581900247691e-09,4.2739550934366875e-08
biosynthetic process GO:0009058,31.455104986519242,63,2.002854545454545,1.35664974544813e-08,1.5478140277612755e-07
ion binding GO:0043167,31.455104986519242,63,2.002854545454545,1.35664974544813e-08,1.5478140277612755e-07
maintenance of location GO:0051235,2.3559873634902915,14,5.942306914269531,2.104018468993361e-08,2.2004526488222234e-07
mitochondrial matrix GO:0005759,0.6353931207276886,7,11.016801680168017,3.0030203633752186e-07,3.015032444828719e-06
mitochondrion GO:0005739,3.7588850458890497,16,4.256581354489303,3.17061976105762e-07,3.060867538559471e-06
"oxidoreductase activity, acting on the CH-CH group of donors GO:0016627",1.1732754159971677,9,7.670833188259461,3.671482459830016e-07,3.413118879323459e-06
coenzyme binding GO:0050662,3.098327841172145,14,4.518566374403938,6.902413627874197e-07,6.187520787844369e-06
sulfur compound metabolic process GO:0006790,1.5853372913205699,10,6.307805950663093,7.245921896950333e-07,6.271470331498391e-06
lipid catabolic process GO:0016042,0.7989596666575887,7,8.761393462180864,1.679931704121368e-06,1.4055428591148779e-05
embryo development GO:0009790,10.32985647757292,27,2.6137826850372523,1.924244669736518e-06,1.5580174583995677e-05
nitrogen compound transport GO:0071705,1.6859936272774312,9,5.338098468695484,9.177295235501193e-06,7.198440950346248e-05
lipid modification GO:0030258,1.0191454015632233,7,6.868499812944258,9.997435177558827e-06,7.604109786567471e-05
electron carrier activity GO:0009055,1.0537460170483945,7,6.642966983265491,1.2715286152059087e-05,9.386873012255385e-05
nuclear outer membrane-endoplasmic reticulum membrane network GO:0042175,1.6262289278030446,8,4.919356594404951,4.4023769605179825e-05,0.0003157133191685753
exopeptidase activity GO:0008238,1.2613497099594215,7,5.54961082143127,4.553966983453262e-05,0.0003175126980129913
oviposition GO:0018991,1.2676407309567252,7,5.522069328520942,4.71523070218064e-05,0.00031987105574252453
immune system process GO:0002376,1.072619080040306,6,5.5937845146056295,0.00011441257746177576,0.0007557251827080452
lipid biosynthetic process GO:0008610,1.8558511942046352,8,4.310690439503999,0.0001197380509116452,0.0007706218148416141
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds GO:0016810",1.113510716522781,6,5.388363049379999,0.00014397833038010057,0.000903464023135131
growth GO:0040007,2.110637544595441,8,3.7903239333939784,0.00030875468001839826,0.0018901810898687308
"transferase activity, transferring acyl groups GO:0016746",4.2181295786922295,12,2.844862818017181,0.0003717305556102351,0.002221532606146881
transporter activity GO:0005215,19.52103815463384,34,1.7417106472858972,0.0005507113274256986,0.0032146172833453566
endoplasmic reticulum GO:0005783,2.8403959802826875,9,3.1685722914958796,0.0006466917848822137,0.003689082681941719
primary active transmembrane transporter activity GO:0015399,2.0068356981399273,7,3.488078274912131,0.001020233243447872,0.005690634313453686
neurotransmitter transport GO:0006836,0.7612135406737657,4,5.254767271296196,0.0010694147936483333,0.005835285069689819
synaptic signaling GO:0099536,0.7737955826683733,4,5.169323901031218,0.0011498750014161882,0.0061408218160736855
"ATPase activity, coupled to movement of substances GO:0043492",2.1420926495819606,7,3.2678325101232586,0.001537988238654468,0.008042396831297323
cellular nitrogen compound catabolic process GO:0044270,0.9153435551077098,4,4.36994391633567,0.0023928034202477084,0.01225701343841173
aromatic compound catabolic process GO:0019439,0.9184890656063618,4,4.354978354978355,0.0024283676985498554,0.01225701343841173
organic cyclic compound catabolic process GO:1901361,0.9279255971023176,4,4.310690439503999,0.0025373653321619106,0.01225701343841173
heterocycle catabolic process GO:0046700,0.9153435551077098,4,4.36994391633567,0.0023928034202477084,0.01225701343841173
reproduction GO:0000003,9.97441379122525,19,1.90487385000157,0.002643179676623634,0.012517699977972304
transmembrane transport GO:0055085,20.169013317356136,32,1.586592239118752,0.003515199179228079,0.016339166555300884
single-organism localization GO:1902578,10.521732617990686,19,1.8057862416606811,0.004771374858814825,0.021774819810227653
cellular amide metabolic process GO:0043603,8.093398513031401,15,1.8533623391765637,0.007855630777220663,0.03521005937647118
synapse GO:0045202,1.283368283449985,4,3.116798234445293,0.009765571278959127,0.04300277878980247
