Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,24.474073368011112,153,6.251513497543852,1.111614332113024e-83,2.7901519736036904e-81
developmental process GO:0032502,25.428306871102155,151,5.938264028565859,2.870773321233298e-79,3.6028205181477896e-77
response to organic substance GO:0010033,8.489542198861626,88,10.365694396548266,1.9253480428554734e-63,1.6108745291890794e-61
cellular response to chemical stimulus GO:0070887,8.220744028976824,86,10.461340201916467,2.8065718191748804e-62,1.7611238165322374e-60
response to endogenous stimulus GO:0009719,7.503948909284023,83,11.060842897972144,5.591186581949046e-62,2.8067756641384214e-60
signaling GO:0023052,39.858288624417874,160,4.0142215213420185,1.9978978794655946e-60,8.357872795764404e-59
cell communication GO:0007154,40.2794057572374,160,3.9722532393927192,8.63940451620106e-60,3.0978436193806657e-58
regulation of metabolic process GO:0019222,28.586685367248563,130,4.547571651974017,3.7227286534137303e-53,1.1680061150085578e-51
regulation of gene expression GO:0010468,23.855837577276066,120,5.030215334560555,3.951267444185788e-53,1.1680061150085578e-51
nucleus GO:0005634,30.315953593507448,131,4.321157162216244,4.245057707963096e-51,1.0655094846987372e-49
membrane-bounded organelle GO:0043227,44.79969498080013,153,3.4152018237082067,5.004239378743937e-48,1.1418764400588438e-46
reproduction GO:0000003,14.205983278411722,90,6.335358717250462,6.753157685297026e-47,1.4125354825079613e-45
cell periphery GO:0071944,9.475135488439227,76,8.020993482650342,1.5677925898070207e-46,3.0270456926274014e-45
organic cyclic compound biosynthetic process GO:1901362,32.14826111822217,121,3.7638116585850168,1.6646639122738467e-40,2.984504585576682e-39
aromatic compound biosynthetic process GO:0019438,31.570345052969852,114,3.6109836559824333,3.5743500229807424e-36,5.981079038454443e-35
heterocycle biosynthetic process GO:0018130,31.861543070345054,113,3.54659533439779,4.269364055119654e-35,6.697564861468957e-34
macromolecule biosynthetic process GO:0009059,41.511397369209405,121,2.9148621262687326,1.0320754576869403e-29,1.5238290581142472e-28
embryo development GO:0009790,14.712219831694764,71,4.8259202766290645,2.4105213103615368e-29,3.3613380494485876e-28
ion binding GO:0043167,44.79969498080013,122,2.7232328267477204,2.9732242175543172e-27,3.9277856768743875e-26
nervous system development GO:0007399,2.029426182630246,30,14.782503673584412,6.3510261919863486e-27,7.970537870942868e-26
biosynthetic process GO:0009058,44.79969498080013,117,2.611624924012158,2.1255657708690185e-24,2.5405571832767792e-23
DNA binding GO:0003677,32.15722105721834,97,3.016429803663846,2.481888629100675e-24,2.831609299564861e-23
synaptic signaling GO:0099536,1.1020724965276831,21,19.055007784120395,5.7156040253453155e-22,6.237463523311626e-21
growth GO:0040007,3.0060595332116886,30,9.979842271436272,7.376475710857428e-22,7.714564180938394e-21
localization of cell GO:0051674,1.6531087447915247,24,14.518101168853635,8.026233728453444e-22,8.058338663367256e-21
sex differentiation GO:0007548,4.842847027424494,36,7.433643845476861,1.8216562247443123e-21,1.7585988938877784e-20
cell part morphogenesis GO:0032990,0.9587134725891229,18,18.775161207851603,4.364833027343757e-19,4.057678110604752e-18
cellular component organization or biogenesis GO:0071840,24.191835289632067,74,3.0588832601598566,1.0021865695481776e-18,8.983886748449735e-18
multi-organism reproductive process GO:0044703,3.2838176420926497,28,8.5266610548315,1.04992554605227e-18,9.087286622728267e-18
cell morphogenesis involved in differentiation GO:0000904,0.9228737166044828,17,18.420721810723872,5.023728996710215e-18,4.2031865939142136e-17
zinc ion binding GO:0008270,27.529412565701676,78,2.833333250894666,8.163651777370271e-18,6.609924503612704e-17
reproductive system development GO:0061458,4.502369345570413,30,6.663158372272377,6.815582931918714e-17,5.345972862223741e-16
taxis GO:0042330,1.1513521610065633,17,14.765247832720306,2.5621376046182663e-16,1.948777390179348e-15
oviposition GO:0018991,1.8054277077262453,19,10.523822094172129,4.111899301049538e-15,3.0355491898924534e-14
cytoplasm GO:0005737,36.00999482556715,84,2.3326857003700505,3.1377866797373175e-14,2.2502413046116194e-13
transporter complex GO:1990351,1.7337481957569651,17,9.805345459971882,2.9634202956712067e-13,2.0661624839263136e-12
organelle localization GO:0051640,1.1468721915084834,13,11.335177621580547,1.559542958357827e-11,1.0579602231022016e-10
single-organism behavior GO:0044708,2.0204662436340857,16,7.918964273920165,3.709397383328138e-11,2.450154587408849e-10
