Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
response to endogenous stimulus GO:0009719,5.245921729894605,111,21.15929396495782,2.1048042125545548e-119,5.283058573511932e-117
cellular response to chemical stimulus GO:0070887,5.747024701108417,111,19.314341902618175,6.225422350188912e-115,7.812905049487084e-113
response to organic substance GO:0010033,5.934938315313598,111,18.702806011242398,2.3178766451864328e-113,1.939290126472649e-111
regulation of gene expression GO:0010468,16.677333260709712,123,7.375279853031231,2.509025670532312e-78,1.5744136082590257e-76
regulation of metabolic process GO:0019222,19.98461287072088,126,6.304850677623106,1.604914256468879e-72,8.056669567473773e-71
nucleus GO:0005634,21.193523788774204,126,5.945212379771397,1.6608236419077595e-69,6.529473359172697e-68
membrane-bounded organelle GO:0043227,31.318935700863314,146,4.66171652173913,1.5608302850612024e-69,6.529473359172697e-68
organic cyclic compound biosynthetic process GO:1901362,22.474468258939513,125,5.561866850855509,1.8780541848017067e-65,5.892395004815355e-64
aromatic compound biosynthetic process GO:0019438,22.070453988398377,124,5.618371061382889,2.632745451406834e-65,7.342434536701282e-64
heterocycle biosynthetic process GO:0018130,22.27402707045399,124,5.56702205702548,7.568092724728202e-65,1.8995912739067787e-63
zinc ion binding GO:0008270,19.245485988180505,113,5.871506703930378,2.6539281867217917e-60,6.0557815897015425e-59
DNA binding GO:0003677,22.480732046079687,117,5.204456854882673,3.1009659642189205e-57,6.486187141824576e-56
macromolecule biosynthetic process GO:0009059,29.02012582041995,123,4.23843786071566,6.014106098737112e-51,1.1611851006023194e-49
signaling GO:0023052,27.86445709305809,120,4.306561566918013,4.0488641977421676e-50,7.2590350973806e-49
cell communication GO:0007154,28.158855088646206,120,4.261536899218059,1.2446350433608111e-49,2.082689305890424e-48
biosynthetic process GO:0009058,31.318935700863314,123,3.9273365217391305,2.4351121150582824e-47,3.820082130497681e-46
ion binding GO:0043167,31.318935700863314,116,3.7038295652173914,2.1523995977751364e-41,3.177954700244466e-40
glycosylation GO:0070085,1.6943544214167052,23,13.57449168207024,2.1543775351974443e-20,3.004159785191992e-19
primary active transmembrane transporter activity GO:0015399,1.9981480977150792,23,11.510658307210033,9.391160501791205e-19,1.240621729447154e-17
"ATPase activity, coupled to movement of substances GO:0043492",2.1328195212287917,21,9.846121432675732,6.451262740299134e-16,8.096334739075413e-15
single-multicellular organism process GO:0044707,17.109534573381627,55,3.214581890822848,1.7786609379298466e-15,2.125923311525674e-14
developmental process GO:0032502,17.776627903810017,56,3.150203756472715,2.2624785783515263e-15,2.581282378028332e-14
embryo development GO:0009790,10.285138484163513,39,3.7918789387279563,1.9132004135293955e-13,2.0878839295472966e-12
"transferase activity, transferring glycosyl groups GO:0016757",5.50586889621177,26,4.722233763664243,1.468516509314089e-11,1.5358235159909848e-10
supramolecular complex GO:0099080,1.1588006209319426,13,11.218495887191539,1.769021241492066e-11,1.7760973264580342e-10
ATPase activity GO:0016887,4.44728886952259,22,4.94683404776485,1.8736151653920516e-10,1.8087592558207881e-09
carbohydrate metabolic process GO:0005975,4.982842670007353,22,4.415150438608477,1.6356501529145683e-09,1.520548845857617e-08
reproduction GO:0000003,9.931234510743757,32,3.2221573224740516,1.7026208171579106e-09,1.5262779468094125e-08
growth GO:0040007,2.101500585527928,14,6.661906304671808,4.651091048047095e-09,4.025599493309727e-08
immune system process GO:0002376,1.067975707399439,9,8.427157975264567,1.5515333494109684e-07,1.2981162356738435e-06
oviposition GO:0018991,1.2621531087447915,9,7.130672132916173,7.114137047603783e-07,5.7601561256404834e-06
maintenance of location GO:0051235,2.345788283994662,12,5.115551169675509,8.849838151565692e-07,6.94159180013434e-06
intrinsic component of membrane GO:0031224,31.318935700863314,56,1.788055652173913,4.089054544607668e-06,3.110159668777348e-05
receptor-mediated endocytosis GO:0006898,2.430349410386993,11,4.526098162259077,7.508116145966047e-06,5.5427563312867e-05
cytoskeleton GO:0005856,3.786459326234375,14,3.697385550400978,7.786750931890063e-06,5.584212811155445e-05
"hydrolase activity, acting on acid anhydrides GO:0016817",11.566082954328822,26,2.2479520597134415,4.1731276498974654e-05,0.00029095973336785107
reproductive system development GO:0061458,3.147553037936763,11,3.494778282500541,9.128701614223202e-05,0.0006192713797756822
lipid transport GO:0006869,1.0460524524088346,6,5.73585003905233,9.799289749962023e-05,0.0006472688755895968
cell periphery GO:0071944,6.62395490073259,17,2.566442594305684,0.00013898214694326317,0.0008944748431476681
sex differentiation GO:0007548,3.385576949263324,11,3.2490769416401886,0.00017884389947106489,0.0011222454691809322
lipid binding GO:0008289,2.4366131975271657,9,3.6936515032971946,0.00019580792693349436,0.0011987265770806606
fatty acid metabolic process GO:0006631,0.8769301996241728,5,5.701708074534161,0.0002747692271948369,0.0016420732387120015
response to toxic substance GO:0009636,0.9113810288951224,5,5.486179590617063,0.00033722974977635383,0.0019684806324154606
multi-organism reproductive process GO:0044703,2.295677986873281,8,3.484809300670265,0.0005639297704329484,0.0031715647337015184
regulatory region nucleic acid binding GO:0001067,0.6576976497181296,4,6.081821946169772,0.000555971507103055,0.0031715647337015184
localization of cell GO:0051674,1.1556687273618562,5,4.326499351950042,0.0011593047890952283,0.006325771783976137
female gamete generation GO:0007292,0.9270404967455541,4,4.314806110458284,0.0025269234668251397,0.013494846599427873
lipid biosynthetic process GO:0008610,1.8478172063509355,6,3.247074428887251,0.0027662167330792095,0.014465008333393366
cell junction GO:0030054,1.4907813393610938,5,3.353945926196565,0.004097561644759105,0.020989550466010923
envelope GO:0031975,2.677769002423813,7,2.6141164505466565,0.005893814632192355,0.028448989859236173
single-organism localization GO:1902578,10.476183991938777,18,1.718182881653344,0.009459105431483688,0.04396732339448899
