Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,2.150879905415852,59,27.43063424947146,2.360302930226391e-69,5.947963384170505e-67
single-multicellular organism process GO:0044707,2.070165067527625,58,28.01708951125755,1.17485023982253e-68,1.4803113021763877e-66
membrane-bounded organelle GO:0043227,3.7894290088369487,60,15.833519999999998,2.1912159340879504e-56,1.8406213846338782e-54
protein oligomerization GO:0051259,0.10269352613948131,25,243.44280442804427,1.334801712610049e-54,8.409250789443308e-53
protein complex biogenesis GO:0070271,0.336501295984721,29,86.18094594594595,5.1356604975822576e-49,2.5883728907814576e-47
reproduction GO:0000003,1.2016279387021964,39,32.455969725638596,2.0653183771317123e-48,8.674337183953192e-47
protein complex subunit organization GO:0071822,0.371364042866021,29,78.09048979591836,1.0084313445588015e-47,3.630352840411685e-46
response to endogenous stimulus GO:0009719,0.6347293589801889,31,48.83971343283582,2.390105586664297e-44,7.528832597992536e-43
cellular component organization or biogenesis GO:0071840,2.0462916647719522,42,20.524933333333333,9.915576030681764e-44,2.7763612885908937e-42
cellular response to chemical stimulus GO:0070887,0.6953602231215801,31,44.5812098092643,4.339903892939309e-43,1.0936557810207059e-41
biosynthetic process GO:0009058,3.7894290088369487,50,13.1946,9.905722564201564e-43,2.2693109874352674e-41
response to organic substance GO:0010033,0.7180967971746017,31,43.16966754617414,1.2045244318568516e-42,2.5295013068993883e-41
regulation of metabolic process GO:0019222,2.4180346505388566,41,16.95591913493183,2.509846091241699e-39,4.865240115330062e-38
nucleus GO:0005634,2.564306610279963,41,15.988727648884291,2.684999982011431e-38,4.832999967620576e-37
organic cyclic compound biosynthetic process GO:1901362,2.719294256741394,41,15.077441471571907,2.8471403977558407e-37,4.783195868229813e-36
regulation of gene expression GO:0010468,2.017870947205675,37,18.33615774647887,8.784045162118868e-37,1.3834871130337217e-35
embryo development GO:0009790,1.244448486502054,32,25.71420219244823,1.1656799973428677e-36,1.7279491725317803e-35
ion binding GO:0043167,3.7894290088369487,45,11.87514,2.232169704709185e-36,3.125037586592859e-35
cell communication GO:0007154,3.4070756218453,43,12.620794127460796,7.52710121029953e-36,9.983313184186746e-35
signaling GO:0023052,3.371454989162233,42,12.4575295043273,8.739452566538154e-35,1.0891550251812976e-33
heterocycle biosynthetic process GO:0018130,2.695041911084838,39,14.47101799775028,8.644087501438871e-35,1.0891550251812976e-33
aromatic compound biosynthetic process GO:0019438,2.6704106225273976,38,14.23002128565347,1.2191421830929662e-33,1.3964719551792158e-32
macromolecule biosynthetic process GO:0009059,3.511284919588316,41,11.676637168141594,7.62078807754388e-33,8.349733024091556e-32
zinc ion binding GO:0008270,2.3286041259303047,33,14.171580146460537,2.820470685862755e-29,2.961494220155893e-28
intrinsic component of membrane GO:0031224,3.7894290088369487,34,8.972328,1.2640644847006339e-23,1.274177000578239e-22
DNA binding GO:0003677,2.7200521425431616,30,11.029200334354973,1.478700738072426e-23,1.4332022538240436e-22
cytoplasm GO:0005737,3.045943037303139,30,9.849166459318239,3.852903947461859e-22,3.596043684297735e-21
lipid binding GO:0008289,0.2948175768875146,13,44.095064267352186,1.6000583637437094e-19,1.4400525273693385e-18
sex differentiation GO:0007548,0.4096372758552741,13,31.735393154486587,1.5001067661586745e-17,1.3035410519723654e-16
reproductive system development GO:0061458,0.38083761538811334,12,31.50949253731343,2.242148716818724e-16,1.8834049221277284e-15
establishment of localization GO:0051234,3.7894290088369487,23,6.069515999999999,7.94452603165553e-13,5.26847515783472e-12
single-organism localization GO:1902578,1.2675640034559592,13,10.255892376681615,5.6628298839050786e-11,3.5675828268601996e-10
organelle part GO:0044422,2.277446834311006,16,7.0254109816971715,1.8941157926130918e-10,1.164188243264632e-09
signal transducer activity GO:0004871,1.5009928304003153,13,8.660934107548599,4.972065648053667e-10,2.9832393888322e-09
nucleoside phosphate binding GO:1901265,3.7894290088369487,18,4.750056,1.0238053523462034e-08,5.2652846692090463e-08
phosphorus metabolic process GO:0006793,2.986449001864399,16,5.357533307955843,1.048489167753999e-08,5.284385405480155e-08
molecular transducer activity GO:0060089,1.671517135797978,12,7.179106778508275,1.7840654743093163e-08,8.645855760114378e-08
macromolecule modification GO:0043412,3.1126369878586693,16,5.1403360116873635,1.9056774693757542e-08,9.060957024201698e-08
carbohydrate derivative binding GO:0097367,3.5336425507404545,16,4.52790563002681,1.1553072558176762e-07,5.198882651179543e-07
phosphorylation GO:0016310,1.8734937019689872,11,5.871383495145631,5.008443359838887e-07,2.0690618470154092e-06
