Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,5.620966152820093,209,37.18221998101566,1.8825934479547538e-274,4.7441354888459794e-272
single-multicellular organism process GO:0044707,5.410031376472193,173,31.977633392731065,2.6416197832773333e-211,3.32844092692944e-209
reproduction GO:0000003,3.140254346475073,114,36.302791883073,5.7980466952346114e-142,4.870359223997074e-140
membrane-bounded organelle GO:0043227,9.903041143093892,156,15.752736734693878,2.1795514956798056e-141,1.3731174422782775e-139
embryo development GO:0009790,3.2521587113920343,109,33.516199445673514,1.0016037737866579e-131,5.048083019884756e-130
nucleus GO:0005634,6.701387941531637,119,17.757515463699885,1.0269205417020127e-111,4.3130662751484534e-110
regulation of metabolic process GO:0019222,6.319130553408212,114,18.040456521113384,1.4753664231628977e-107,5.311319123386432e-106
signaling GO:0023052,8.810735705010636,124,14.073739600369764,1.6852982046110338e-104,5.308689344524757e-103
cell communication GO:0007154,8.903824291755718,124,13.926600069457212,5.93304274904897e-104,1.6612519697337115e-102
cell periphery GO:0071944,2.094493201764358,74,35.33074250976987,1.319347521748839e-90,3.324755754807074e-89
regulation of gene expression GO:0010468,5.273369408697497,95,18.015047427421674,5.5153252872240615e-89,1.2635108839822395e-87
cellular component organization or biogenesis GO:0071840,5.347642217270701,90,16.82984693877551,1.3359171536909305e-81,2.805426022750954e-80
extrinsic component of membrane GO:0019898,0.22479903394823136,38,169.0398723365998,9.672580237627648e-75,1.8749924768324362e-73
receptor binding GO:0005102,0.549618783441711,46,83.69437396580254,1.159714602848274e-74,2.0874862851268933e-73
cytoplasm GO:0005737,7.96006447081887,96,12.060203827736618,8.811000775462539e-74,1.4802481302777065e-72
macromolecule modification GO:0043412,8.134357994937321,96,11.801791863567928,6.388123653475489e-73,1.0061294754223894e-71
cell proliferation GO:0008283,0.21093477634789992,35,165.92806841046277,8.90463345811285e-69,1.3199809596731991e-67
immune system process GO:0002376,0.3376937029795017,38,112.52800885750196,2.2848778076736412e-67,3.1988289307430975e-66
aromatic compound biosynthetic process GO:0019438,6.978673093538266,86,12.323259572028045,1.1099299133162308e-66,1.4721175692404746e-65
heterocycle biosynthetic process GO:0018130,7.043042860968376,86,12.210631356029475,2.3574774758380387e-66,2.9704216195559287e-65
organic cyclic compound biosynthetic process GO:1901362,7.106422324284177,86,12.101729404136236,4.914069413868941e-66,5.896883296642729e-65
enzyme linked receptor protein signaling pathway GO:0007167,0.2961009301785074,36,121.58016517643846,2.720350412429179e-65,3.116037745146151e-64
organelle part GO:0044422,5.9517277269994295,79,13.273456653876192,1.275122173295624e-63,1.3970903811760752e-62
macromolecule biosynthetic process GO:0009059,9.1761579231908,91,9.91700456353489,1.6134397646906833e-62,1.6941117529252176e-61
carbohydrate derivative binding GO:0097367,9.234585865935054,89,9.63768178585107,4.477953394203329e-60,4.513777021356956e-59
peptidyl-tyrosine modification GO:0018212,0.5466478710987829,38,69.51458518189884,6.631992781218011e-59,6.427931464872841e-58
DNA binding GO:0003677,7.108402932512796,79,11.113607479770955,8.16625337464925e-58,7.621836483005967e-57
ion binding GO:0043167,9.903041143093892,89,8.987138265306122,1.4750971301687824e-57,1.3275874171519042e-56
biosynthetic process GO:0009058,9.903041143093892,89,8.987138265306122,1.4750971301687824e-57,1.3275874171519042e-56
sex differentiation GO:0007548,1.0705187475684497,44,41.10156884215296,2.1105519615273376e-57,1.7728636476829636e-56
phosphorus metabolic process GO:0006793,7.804586724872296,80,10.250382604507353,6.639995193067973e-56,5.3976735117842876e-55
non-membrane-bounded organelle GO:0043228,3.996867405352695,58,14.511364555733095,5.529144630470437e-49,4.354201396495469e-48
response to organic substance GO:0010033,1.8766262966162925,45,23.979201443110224,5.1802218040411586e-48,3.955805741267794e-47
phosphorylation GO:0016310,4.896063541145621,61,12.45898863186051,1.3918121636632693e-47,1.0315784271857174e-46
cellular response to chemical stimulus GO:0070887,1.8172080497577294,44,24.212967802924982,3.557627130258425e-47,2.561491533786066e-46
reproductive system development GO:0061458,0.9952556348809362,37,37.176378312519034,5.305279380069007e-47,3.713695566048305e-46
"phosphotransferase activity, alcohol group as acceptor GO:0016773",4.338522324789434,57,13.138113793794167,8.670117747834942e-46,5.905053168795689e-45
nucleoside phosphate binding GO:1901265,9.903041143093892,77,7.775389285714286,3.166079559643252e-45,2.0996106553423674e-44
establishment of localization GO:0051234,9.903041143093892,75,7.573431122448979,2.8939800671487904e-43,1.8699563510807568e-42
growth GO:0040007,0.6644940607016002,30,45.14713038717722,3.178254356162819e-41,2.002300244382576e-40
receptor-mediated endocytosis GO:0006898,0.768475992704086,30,39.03830475489165,2.8910984198017386e-39,1.7769678092439954e-38
response to endogenous stimulus GO:0009719,1.658759391468227,37,22.30582698751142,1.0583932862629797e-38,6.350359717577878e-38
localization of cell GO:0051674,0.3654222181801646,23,62.940890990542556,8.646124074215307e-36,5.067030852795947e-35
oviposition GO:0018991,0.3990925580666838,22,55.1250569706791,5.026426479197109e-33,2.8787715289947076e-32
cell death GO:0008219,0.7546117351037546,25,33.12961995821951,2.372520497388512e-31,1.3286114785375667e-30
intrinsic component of membrane GO:0031224,9.903041143093892,61,6.159723979591837,2.301695244617539e-30,1.2609286992252606e-29
zinc ion binding GO:0008270,6.085418782431197,49,8.052034174125305,9.326701005939822e-30,5.000699262759224e-29
chromosome GO:0005694,1.1081503039122065,25,22.560116539913555,4.324388778934783e-27,2.2703041089407612e-26
gene silencing GO:0016458,0.21885720926237504,16,73.10702742635515,5.3150577331646155e-27,2.733458262770374e-26
nervous system development GO:0007399,0.44860776378215333,19,42.3532571969185,1.2136904514726803e-26,6.116999875422309e-26
regulatory region nucleic acid binding GO:0001067,0.20796386400497174,15,72.12791545189503,2.0077942372345467e-25,9.920865642805996e-25
