Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
membrane-bounded organelle GO:0043227,4.395737650250861,133,30.256582758620684,5.18950947535299e-176,1.3077563877889536e-173
response to endogenous stimulus GO:0009719,0.7362860564170192,84,114.08609366958311,2.000738773294696e-152,2.520930854351317e-150
cellular response to chemical stimulus GO:0070887,0.8066178588210329,84,104.13853236869303,5.456187884197544e-149,4.583197822725937e-147
response to organic substance GO:0010033,0.8329922847225381,84,100.84127013010645,8.838478693110386e-148,5.568241576659543e-146
nucleus GO:0005634,2.974595667924757,102,34.29037468852392,1.0406264311896034e-133,5.244757213195601e-132
biosynthetic process GO:0009058,4.395737650250861,111,25.251734482758618,1.422931392402047e-132,5.976311848088597e-131
macromolecule biosynthetic process GO:0009059,4.073090506722447,108,26.515492307806817,1.1710672577394748e-130,4.2158421278621094e-129
regulation of gene expression GO:0010468,2.340730298758583,95,40.58562408936377,2.0298344634516734e-130,6.393978559872771e-129
organic cyclic compound biosynthetic process GO:1901362,3.154381337820017,101,32.018956867719986,3.350696718289811e-129,9.38195081121147e-128
regulation of metabolic process GO:0019222,2.804920194625074,98,34.93860545044826,1.350598272487558e-128,3.403507646668646e-127
aromatic compound biosynthetic process GO:0019438,3.097676322131781,100,32.2822624447674,4.16279752387544e-128,9.5365906910601e-127
heterocycle biosynthetic process GO:0018130,3.126248616858412,100,31.987219270005042,1.0465122627382504e-127,2.197675751750326e-126
DNA binding GO:0003677,3.1552604853500674,92,29.157656056340734,1.3699180989736017e-112,2.6555335457026737e-111
zinc ion binding GO:0008270,2.7011807860791537,88,32.578345164277096,2.009513318625227e-111,3.617123973525409e-110
signaling GO:0023052,3.9108877874281904,95,24.291159747764645,3.555680473538015e-109,5.9735431955438656e-108
cell communication GO:0007154,3.952207721340548,95,24.03719811765789,9.6229209266845e-109,1.5156100459528088e-107
ion binding GO:0043167,4.395737650250861,94,21.38435172413793,1.066372390277282e-102,1.5807402491169125e-101
developmental process GO:0032502,2.4950206902823884,50,20.039913975359042,4.6713159715394053e-51,6.539842360155167e-50
single-multicellular organism process GO:0044707,2.401391478332045,43,17.9062849135564,7.829602912490407e-42,1.0384525968145172e-40
reproduction GO:0000003,1.3938884088945478,34,24.39219652236323,7.791443135367971e-38,9.817218350563643e-37
embryo development GO:0009790,1.4435602443423825,32,22.16741568314503,2.2629069818577707e-34,2.715488378229325e-33
cytoplasm GO:0005737,3.5332939232716414,37,10.471814913642955,1.0111130935816166e-27,1.1581840890116699e-26
intrinsic component of membrane GO:0031224,4.395737650250861,37,8.417244827586206,2.1160160796026175e-24,2.3184176176515636e-23
Golgi membrane GO:0000139,0.11384960514149728,11,96.61869258420982,4.7244251001102935e-21,4.960646355115808e-20
organelle part GO:0044422,2.641838327800767,27,10.220156061736187,2.3648625476862033e-20,2.383781448067693e-19
reproductive system development GO:0061458,0.44177163385021145,15,33.954194544518785,3.021673206069264e-20,2.928698645882517e-19
sex differentiation GO:0007548,0.475179239992118,15,31.56703563112061,9.507538288347771e-20,8.87370240245792e-19
glycosylation GO:0070085,0.23780940687857152,12,50.46057747466378,5.591465526043047e-19,5.032318973438743e-18
single-organism localization GO:1902578,1.4703742440089127,20,13.601979279418588,5.0156610828963635e-18,4.3584365272064957e-17
establishment of localization GO:0051234,4.395737650250861,30,6.824793103448275,1.708847131505634e-17,1.4354315904647326e-16
glycoprotein metabolic process GO:0009100,0.22506176769284406,11,48.875471443965516,1.7394422430574786e-17,1.4354315904647326e-16
Golgi apparatus GO:0005794,0.22550134145786913,11,48.780197620488,1.780432630505081e-17,1.4354315904647326e-16
"transferase activity, transferring glycosyl groups GO:0016757",0.7727706789141011,15,19.41067435565494,1.8417386931326016e-16,1.3650533843218107e-15
maintenance of location GO:0051235,0.32924075000378944,11,33.410202108558536,1.5922069353759712e-15,1.1463889934706992e-14
cellular component organization or biogenesis GO:0071840,2.3736983311354645,20,8.42567049808429,5.5851773785598466e-14,3.9096241649918926e-13
cell periphery GO:0071944,0.929698513028057,13,13.98302763511861,1.0470753331909255e-12,6.435682535710079e-12
macromolecule modification GO:0043412,3.6106589059160563,19,5.262197425757538,8.627002013531632e-10,4.625541505127599e-09
"hydrolase activity, acting on acid anhydrides GO:0016817",1.6233459142376427,12,7.392139835849743,1.3439401884757408e-08,6.390055235771447e-08
carbohydrate derivative binding GO:0097367,4.099025358858928,17,4.147327355089211,2.002252502649334e-07,8.138187591413422e-07
nucleoside phosphate binding GO:1901265,4.395737650250861,17,3.867382758620689,5.465738242096054e-07,2.119024672320316e-06
transporter activity GO:0005215,2.7279947857456834,12,4.398835387333727,4.468478474641997e-06,1.5014087674797109e-05
transmembrane transport GO:0055085,2.8185469813408517,11,3.902720115301052,3.144055504303421e-05,9.321199848052496e-05
phosphorus metabolic process GO:0006793,3.464280842162703,11,3.1752621976031397,0.00021530277503701775,0.0005371910822705789
