Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,42.35474822299083,222,5.241443033286522,5.502113846071492e-102,1.3810305753639446e-99
single-multicellular organism process GO:0044707,40.76532585310058,218,5.347682017447165,1.4697120568270954e-101,1.844488631318005e-99
reproduction GO:0000003,23.66224570385904,128,5.4094611983141005,4.630345601165062e-57,3.8740558196414354e-55
cell periphery GO:0071944,15.782292546093302,104,6.589663681385999,5.316358907433247e-54,3.336015214414363e-52
embryo development GO:0009790,24.505460388354802,119,4.856060572383687,5.0415176692812234e-48,2.5308418699791742e-46
monooxygenase activity GO:0004497,1.9252158283177645,41,21.296313585695696,8.646808711256843e-43,3.6172483108757796e-41
nervous system development GO:0007399,3.380320814837005,46,13.608175827008912,2.060356975902961e-38,7.3878514421663305e-37
cytoplasm GO:0005737,59.9801737520085,164,2.734236827623533,1.4792571108524076e-34,4.641169185299429e-33
cell part morphogenesis GO:0032990,1.5968844467441925,29,18.160362234804555,7.10806333691162e-29,1.9823598861831298e-27
localization of cell GO:0051674,2.75350635910564,35,12.711065614305777,1.013965888356034e-28,2.5450543797736458e-27
cellular component organization or biogenesis GO:0071840,40.29521501130205,120,2.978021086780211,6.191763691831408e-28,1.4128478969542576e-26
intrinsic component of membrane GO:0031224,74.62076853944825,172,2.3049883211678828,1.8320646037782795e-27,3.8320684629029016e-26
membrane-bounded organelle GO:0043227,74.62076853944825,171,2.291587226277372,5.4321325260738495e-27,1.0488194338804125e-25
cell morphogenesis involved in differentiation GO:0000904,1.537187831912634,27,17.56454184678619,1.1913857729943136e-26,2.1359844930112335e-25
taxis GO:0042330,1.9177537514638199,29,15.121858047658268,1.8649942852041938e-26,3.1207571039083513e-25
oviposition GO:0018991,3.007216972139764,33,10.973601275108223,4.163442893752618e-25,6.5314010395744194e-24
growth GO:0040007,5.007053568996977,40,7.988730188084024,1.2545032035243658e-24,1.8522370828506815e-23
single-organism localization GO:1902578,24.960647076445436,86,3.4454234995035624,4.278186208081259e-24,5.965692990157755e-23
synapse GO:0045202,3.044527356409488,32,10.510662659224273,7.976135867910098e-24,1.0536895278133867e-22
synaptic signaling GO:0099536,1.8356709060704268,25,13.618998872470476,5.519835022207927e-22,6.927392952870949e-21
iron ion binding GO:0005506,6.432310248100438,40,6.218605517638491,1.3053306098061915e-20,1.5601808717207338e-19
sex differentiation GO:0007548,8.066505079114355,44,5.454654719541922,2.997023589155187e-20,3.419331458536145e-19
cell junction GO:0030054,3.5519485824777366,29,8.164532601361712,1.0175944789710152e-18,1.1105052792248904e-17
reproductive system development GO:0061458,7.499387238214548,39,5.200424882884846,1.8505846975652818e-17,1.9354031628703574e-16
glycosylation GO:0070085,4.03698357798415,29,7.183581364599215,3.396173588304617e-17,3.409758282657835e-16
"transferase activity, transferring glycosyl groups GO:0016757",13.118331109235001,50,3.8114604352989048,3.037862298814275e-16,2.932705526932242e-15
multi-organism reproductive process GO:0044703,5.469702333941557,32,5.85040977484789,3.895948102683804e-16,3.621788791754203e-15
establishment of localization GO:0051234,74.62076853944825,144,1.9297576642335765,1.1082225338850138e-15,9.934423428754944e-15
organelle localization GO:0051640,1.910291674609875,19,9.946125114051094,1.1210650239598178e-14,9.70301106944532e-14
organelle part GO:0044422,44.847081892208394,100,2.2297994826141347,1.2362685749674855e-14,1.0343447077227963e-13
contractile fiber GO:0043292,1.574498216182358,17,10.79709067007991,5.269354896747662e-14,4.26647767446343e-13
tetrapyrrole binding GO:0046906,8.656009150575995,37,4.274487163352631,5.5213347704915764e-14,4.33079696060433e-13
ion binding GO:0043167,74.62076853944825,136,1.822548905109489,6.938616574007162e-13,5.277553818411508e-12
Golgi apparatus GO:0005794,3.828045426073695,23,6.008288157539022,1.9081050553845698e-12,1.4086304967691971e-11
actin filament-based process GO:0030029,3.865355810343419,23,5.950293098103317,2.3393374853177636e-12,1.6776391680421676e-11
receptor-mediated endocytosis GO:0006898,5.790571638661183,28,4.835446609978177,2.4471839031660147e-12,1.7062309991518603e-11
maintenance of location GO:0051235,5.5890955636046735,26,4.651915449309541,3.153927025105871e-11,2.1395559008150643e-10
cell communication GO:0007154,67.09153299381792,120,1.7886012533214477,7.540461068915787e-11,4.980672969204901e-10
small molecule biosynthetic process GO:0044283,3.82058334921975,21,5.496542826186131,8.133786437751556e-11,5.234821527886258e-10
female gamete generation GO:0007292,2.208774748767668,16,7.243835075951864,1.4412659733065564e-10,9.043943982498643e-10
organic acid metabolic process GO:0006082,14.051090715978104,42,2.989091797139989,1.5649783344767884e-10,9.58072102326034e-10
signaling GO:0023052,66.3900977695471,118,1.7773734934025986,1.6651038773765545e-10,9.9509779338456e-10
cell death GO:0008219,5.686102562705956,25,4.396684675364485,2.3682872405008445e-10,1.382418831083051e-09
oxidation-reduction process GO:0055114,31.09447425038808,67,2.1547236804997207,1.5951888961050983e-09,9.09982756641772e-09
fatty acid metabolic process GO:0006631,2.089381519104551,14,6.7005474452554745,4.471247756598482e-09,2.4939626375693755e-08
regulation of anatomical structure size GO:0090066,1.8804433671940959,13,6.913263237168346,9.225638343718788e-09,5.0339896179856864e-08
protein complex subunit organization GO:0071822,7.312835316865928,26,3.5553925219722924,1.0227777824214347e-08,5.3691849246643775e-08
secretion GO:0046903,3.305700046297557,17,5.142632350760409,1.0053852249371545e-08,5.3691849246643775e-08
ion homeostasis GO:0050801,1.7312018301151992,12,6.931600805436697,2.8166825156544428e-08,1.4428312478148268e-07
transporter activity GO:0005215,46.30964895558158,83,1.7922830743029468,8.573060609556726e-08,4.3036764259974764e-07
protein complex biogenesis GO:0070271,6.626324246303004,23,3.4710043072269348,9.580194283518359e-08,4.714958363064918e-07
regulation of cytoskeleton organization GO:0051493,1.992374520003268,12,6.022963995735258,1.446409505087175e-07,6.981707418786171e-07
nitrogen compound transport GO:0071705,3.999673193714426,17,4.250347260050114,1.749082036022035e-07,8.283388510217561e-07
positive regulation of cellular component organization GO:0051130,1.693891445845475,11,6.493922634168301,1.804264369188066e-07,8.386488086411195e-07
neurotransmitter transport GO:0006836,1.8058225986546474,11,6.091406768414068,3.5820907125044837e-07,1.6347359433429552e-06
organic cyclic compound catabolic process GO:1901361,2.201312671913723,12,5.451292836818014,4.505863865234349e-07,2.007171483564007e-06
