Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,16.66319888885863,106,6.361323579404304,1.1848741427573533e-59,2.9740340983209566e-57
developmental process GO:0032502,17.312889784580193,106,6.122605834088391,5.132671345136104e-58,6.441502538145811e-56
reproduction GO:0000003,9.672158827854789,67,6.927098819660315,3.111314068981842e-38,2.6031327710481412e-36
embryo development GO:0009790,10.016830523707073,61,6.089750630763876,1.3849879550078634e-31,8.690799417674343e-30
cytoplasm GO:0005737,24.517443285492526,89,3.6300685582767565,1.0420685533612014e-29,5.231184137873231e-28
cell periphery GO:0071944,6.451156077235218,48,7.440526849037488,1.1486020118366282e-28,4.804985082849895e-27
multi-organism reproductive process GO:0044703,2.235790735041804,26,11.62899532254921,4.8192666880179206e-21,1.7280513409892827e-19
growth GO:0040007,2.046678831122852,22,10.749121779859484,2.1299148176897986e-17,6.682607740501743e-16
synaptic signaling GO:0099536,0.7503472316784227,14,18.65802845528455,2.2267672962072066e-15,6.210206570533431e-14
establishment of localization GO:0051234,30.50191998692775,74,2.4260767857142858,2.9225985035336086e-14,7.335722243869358e-13
localization of cell GO:0051674,1.125520847517634,15,13.327163182346109,5.1373208811970506e-14,1.1722432192549634e-12
sex differentiation GO:0007548,3.2972575505868895,22,6.672211576582529,4.830201952888206e-13,1.0103172418124498e-11
reproductive system development GO:0061458,3.065442958686239,21,6.8505597014925375,9.134916459326422e-13,1.763741562531486e-11
membrane-bounded organelle GO:0043227,30.50191998692775,71,2.3277223214285714,9.158933652066474e-13,1.763741562531486e-11
nervous system development GO:0007399,1.381736975407827,15,10.855901135288553,1.1621087149352034e-12,1.9445952496582404e-11
regulatory region nucleic acid binding GO:0001067,0.6405403197254828,11,17.17300170068027,3.161883121803463e-12,4.9602041473291825e-11
cell part morphogenesis GO:0032990,0.6527410877202539,11,16.852011014686248,3.947249273334785e-12,5.827997456511947e-11
organelle part GO:0044422,18.33165391214358,50,2.727522581411932,1.7583001397131e-11,2.451851861488823e-10
oviposition GO:0018991,1.2292273754731882,13,10.575748847926269,3.838062983266103e-11,5.070283204209431e-10
regulation of metabolic process GO:0019222,19.463275143658596,51,2.6203195311975285,4.6527974602695666e-11,5.839260812638306e-10
"ATPase activity, coupled to movement of substances GO:0043492",2.07718075110978,16,7.702748059576252,5.2364488497807497e-11,6.258803149023658e-10
transporter activity GO:0005215,18.92949154388736,50,2.641381036784679,5.57455231819685e-11,6.360057417579133e-10
cellular component organization or biogenesis GO:0071840,16.471036792940982,46,2.792781084656085,5.6589843755748974e-11,6.360057417579133e-10
female gamete generation GO:0007292,0.9028568316130614,11,12.183548503861003,1.698931649197469e-10,1.7686476059645475e-09
supramolecular complex GO:0099080,1.1285710395163269,12,10.632915057915056,1.6911371531135115e-10,1.7686476059645475e-09
single-organism localization GO:1902578,10.202892235627331,34,3.332388426222507,2.1355296283634884e-10,2.06140383949667e-09
cytoskeleton GO:0005856,3.687682126419565,20,5.423460947654496,2.135318718203722e-10,2.06140383949667e-09
regulation of protein metabolic process GO:0051246,3.724284430403878,20,5.370159120159121,2.5492120199653033e-10,2.2851864893260396e-09
cell death GO:0008219,2.3242463030038945,16,6.88395200599925,2.9113454497236326e-10,2.519819682347006e-09
receptor-mediated endocytosis GO:0006898,2.3669489909855934,16,6.759756995581737,3.8341704920244057e-10,3.207922644993753e-09
transmembrane transport GO:0055085,19.55783109561807,49,2.5053902838427953,5.519458087376772e-10,4.468980580424419e-09
cell morphogenesis involved in differentiation GO:0000904,0.6283395517307117,9,14.323465672676837,1.0279616390960406e-09,8.063074106659568e-09
primary active transmembrane transporter activity GO:0015399,1.9460224951659901,14,7.19416144200627,1.651374958697864e-09,1.2560458019186785e-08
ATPase activity GO:0016887,4.33127263814374,20,4.6175804828973845,3.661400771115828e-09,2.702975275147273e-08
regulation of gene expression GO:0010468,16.242272393039023,42,2.5858450704225358,4.180210044533103e-09,2.99780777479374e-08
maintenance of location GO:0051235,2.2845938070208884,14,6.128004005340454,1.3950707385920853e-08,9.726743205183707e-08
nucleus GO:0005634,20.640649255154006,47,2.277060155375879,2.6950468784425553e-08,1.8282615310515713e-07
response to toxic substance GO:0009636,0.8876058716195974,9,10.139635493372609,2.7734043578245252e-08,1.8319065626683048e-07
"hydrolase activity, acting on acid anhydrides GO:0016817",11.264359051172418,32,2.840818537000503,3.410611098144108e-08,2.1950343221389002e-07
transporter complex GO:1990351,1.180424303494104,10,8.471530084902177,3.86135918890582e-08,2.423002891038402e-07
non-membrane-bounded organelle GO:0043228,12.310574906724039,33,2.6806221683420643,8.400485448690948e-08,5.1427362137108e-07
intrinsic component of membrane GO:0031224,30.50191998692775,59,1.9343044642857143,1.3893412799246152e-07,8.302968125263772e-07
contractile fiber GO:0043292,0.6435905117241755,7,10.876481042654028,3.3111188931855345e-07,1.9327694004408585e-06
mitotic cell cycle GO:0000278,1.6898063672757972,10,5.917837802991233,1.3397200492531642e-06,7.64249391733055e-06
organelle fission GO:0048285,2.0649799831150086,10,4.842661953998734,8.939436585634029e-06,4.9862190733203135e-05
taxis GO:0042330,0.7838993436640431,6,7.654043913285158,1.5870179340289773e-05,8.659597857418984e-05
protein catabolic process GO:0030163,3.1508483346496363,12,3.8084981330383076,2.0739597674269938e-05,0.00011075827694131392
passive transmembrane transporter activity GO:0022803,6.99104006100384,19,2.717764429070057,2.877511191640611e-05,0.00015046985606287364
Golgi apparatus GO:0005794,1.5647484953293935,8,5.112642717905875,3.2653823817934355e-05,0.00016726754649594946
enzyme linked receptor protein signaling pathway GO:0007167,0.9120074076091396,6,6.578893932154803,4.159061695938396e-05,0.00020878489713610745
receptor binding GO:0005102,1.6928565592744902,8,4.725740025740025,5.9726055640485516e-05,0.0002939458816816052
cytoplasmic vesicle part GO:0044433,0.677142623709796,5,7.38396879021879,6.761276616327805e-05,0.00032636162128813054
cell junction GO:0030054,1.451891391377761,7,4.821297268907562,0.00012029986713597733,0.0005697220122854775
