Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,1.6203295287466084,46,28.38928698385377,1.1830252091741674e-55,2.981223527118902e-53
single-multicellular organism process GO:0044707,1.5595243508708108,44,28.21373066437288,4.971199583375739e-53,6.263711475053431e-51
membrane-bounded organelle GO:0043227,2.854703186657168,43,15.062861946902654,4.109297612563036e-40,3.4518099945529505e-38
reproduction GO:0000003,0.905226380488988,29,32.03618522952755,1.264800010953892e-36,7.96824006900952e-35
embryo development GO:0009790,0.9374845264982139,29,30.93384389854807,3.550259368610287e-36,1.7893307217795847e-34
structural constituent of cuticle GO:0042302,0.3234378710482571,22,68.01924563965977,1.1640405316337608e-35,4.888970232861796e-34
cytoplasm GO:0005737,2.2946104214350314,37,16.124741548441364,1.739751770877221e-35,6.263106375157996e-34
macromolecule biosynthetic process GO:0009059,2.6451679727565316,34,12.853626064649715,2.539172257478744e-29,7.998392611058044e-28
regulation of metabolic process GO:0019222,1.8215861034059389,29,15.92019171961007,9.056258341300448e-28,2.5357523355641254e-26
nucleus GO:0005634,1.9317776464109055,28,14.49442178400907,1.0105402519584113e-25,2.5465614349351966e-24
intrinsic component of membrane GO:0031224,2.854703186657168,31,10.859272566371681,1.4275463832628417e-24,3.2703789871112375e-23
regulation of gene expression GO:0010468,1.5201294468949418,25,16.445967842452948,1.7857983803669353e-24,3.7501765987705643e-23
macromolecule modification GO:0043412,2.3448531975201976,28,11.941046044848964,2.0828864038369094e-23,4.0375951828223165e-22
Golgi membrane GO:0000139,0.07393681253442065,11,148.7756859261284,2.2167570653228503e-23,4.0375951828223165e-22
ion binding GO:0043167,2.854703186657168,29,10.158674336283184,3.1344029965430003e-22,5.2657970341922405e-21
aromatic compound biosynthetic process GO:0019438,2.011709335637306,24,11.930152917641474,2.997198196834837e-20,4.720587160014868e-19
heterocycle biosynthetic process GO:0018130,2.030264906350578,24,11.821117493056729,3.719169242102979e-20,5.513121464764416e-19
organic cyclic compound biosynthetic process GO:1901362,2.0485350067451833,24,11.715689466362804,4.590334984576082e-20,6.426468978406515e-19
Golgi apparatus GO:0005794,0.1464462734755127,11,75.11287067225587,8.661311610703039e-20,1.1487634346827189e-18
biosynthetic process GO:0009058,2.854703186657168,26,9.107776991150441,7.277215005703064e-19,9.16929090718586e-18
catabolic process GO:0009056,0.6411663357231998,14,21.83520752724608,2.0918777645122127e-16,2.2919704202481638e-15
cell periphery GO:0071944,0.603769723977991,13,21.531387685934853,2.484748447964616e-15,2.608985870362847e-14
phosphorus metabolic process GO:0006793,2.249791581404514,20,8.889712347271864,1.1250847986140525e-14,1.1340854770029648e-13
DNA binding GO:0003677,2.049105947382515,19,9.27233656428073,2.2760478568910113e-14,2.2060156151405184e-13
cell communication GO:0007154,2.5666636351234593,20,7.79221699575682,1.3985052358639996e-13,1.2586547122775997e-12
organelle part GO:0044422,1.715676615180958,17,9.90862721422997,1.537311261533249e-13,1.3358704755392373e-12
signaling GO:0023052,2.539829425168882,19,7.480817338249644,1.1340190132694457e-12,8.659781555875767e-12
phosphorylation GO:0016310,1.4113652554833038,14,9.919473322450383,1.5786836877081773e-11,1.0200725366729761e-10
carbohydrate derivative binding GO:0097367,2.662010721557809,18,6.761805974044461,2.3451870645161555e-11,1.477467850645178e-10
"phosphotransferase activity, alcohol group as acceptor GO:0016773",1.2506454660745052,13,10.394632493894592,3.999054430759908e-11,2.457955406223163e-10
cellular component organization or biogenesis GO:0071840,1.5415397207948704,13,8.433126843657819,5.904765267940899e-10,3.381820108002515e-09
peptidase activity GO:0008233,1.0873564437977152,11,10.116277935118733,1.2498028047978509e-09,6.701070357639541e-09
nucleoside phosphate binding GO:1901265,2.854703186657168,16,5.604785840707964,4.327500580760683e-09,2.181060292703384e-08
zinc ion binding GO:0008270,1.7542151082008297,12,6.840666201026807,2.7227963717916157e-08,1.2706383068360874e-07
establishment of localization GO:0051234,2.854703186657168,12,4.203589380530973,6.1726531535644365e-06,2.1308336913674493e-05
