Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,30.606715869168553,216,7.057274649240822,1.1567633872318567e-132,2.9034761019519603e-130
single-multicellular organism process GO:0044707,29.458155178517934,188,6.381933928337004,2.1681819680395754e-104,2.721068369889667e-102
reproduction GO:0000003,17.098995070671858,125,7.310371134874447,1.8303890216376352e-72,1.5314254814368215e-70
embryo development GO:0009790,17.708325390125005,122,6.889414855005597,1.1274285100320742e-67,7.074613900451266e-66
cell periphery GO:0071944,11.404722350826548,94,8.24219977553311,3.514897171867634e-58,1.7644783802775524e-56
immune system process GO:0002376,1.8387755657833817,37,20.122085962261917,9.622546413959805e-38,3.6569791357166e-36
cell proliferation GO:0008283,1.148560690650617,32,27.86095698771755,8.741782794541672e-38,3.6569791357166e-36
cellular component organization or biogenesis GO:0071840,29.118440044663522,112,3.8463598952487845,6.22804722893428e-37,1.9540498180781304e-35
extrinsic component of membrane GO:0019898,1.224052942618263,31,25.32570195345526,2.6833251673018173e-35,7.483495744363957e-34
sex differentiation GO:0007548,5.829080312644679,52,8.92078976630318,5.535231933570849e-34,1.389343215326283e-32
protein oligomerization GO:0051259,1.461314305945151,31,21.213779865071377,9.271536312603115e-33,2.1155960131485286e-31
membrane-bounded organelle GO:0043227,53.92303711974727,147,2.7261075757575757,1.8543902817920287e-32,3.8787663394149937e-31
enzyme linked receptor protein signaling pathway GO:0007167,1.6122988098804432,31,19.227205161987772,2.266247632469148e-31,4.375601198075047e-30
reproductive system development GO:0061458,5.4192652305346005,47,8.67276245037439,2.577894316566922e-30,4.621796238987839e-29
multi-organism reproductive process GO:0044703,3.952558620877475,41,10.37302768476029,1.0112334716860724e-29,1.6921306759546944e-28
cytoplasm GO:0005737,43.343337236852854,125,2.8839495979953806,3.0145769634931745e-29,4.7291176114799175e-28
protein complex subunit organization GO:0071822,5.284457637735232,44,8.326303854875283,9.43241899231259e-28,1.392668921806153e-26
protein complex biogenesis GO:0070271,4.788365696233558,42,8.771259896259895,1.814529324857089e-27,2.5302603363284967e-26
peptidyl-tyrosine modification GO:0018212,2.976551649010049,33,11.086654589371982,2.96869127491729e-25,3.921797421074947e-24
growth GO:0040007,3.6182357907350418,34,9.396844751539238,1.395220998609797e-23,1.7510023532552953e-22
cell junction GO:0030054,2.56673656689997,29,11.298393599864188,1.0644685927404777e-22,1.2722934132279043e-21
synapse GO:0045202,2.2000599144856885,27,12.272393048128343,2.9393638826431845e-22,3.353546975197451e-21
nucleus GO:0005634,36.489719218932976,99,2.7130929510861534,7.562880278030554e-21,8.253404129502908e-20
receptor binding GO:0005102,2.9927285601459737,29,9.69015379015379,8.315828725948088e-21,8.696970875887376e-20
synaptic signaling GO:0099536,1.3265067131457828,21,15.831054446908105,3.137168886437137e-20,3.1497175619828855e-19
organelle part GO:0044422,32.40774530896811,90,2.7771139010739674,1.4654965122372715e-19,1.4147677868136736e-18
receptor-mediated endocytosis GO:0006898,4.184427680492388,29,6.9304579298136,8.327066965915213e-17,7.741088179424883e-16
oviposition GO:0018991,2.1730983959258148,22,10.12379376895506,9.439548074341695e-17,8.461880595213447e-16
nervous system development GO:0007399,2.442713581524551,21,8.59699645461235,1.2182754461617666e-14,1.0544384034020807e-13
signaling GO:0023052,47.975326125439146,101,2.1052488467909396,8.324808857026866e-14,6.965090077045812e-13
cell communication GO:0007154,48.48220267436477,101,2.083238682004114,1.6046670944509764e-13,1.299262711958694e-12
taxis GO:0042330,1.3858220539775048,15,10.823900483433558,1.2482058694297446e-12,9.790614788339558e-12
macromolecule modification GO:0043412,44.29238269016041,92,2.077106590620104,3.039160616445228e-12,2.2682419717123793e-11
localization of cell GO:0051674,1.9897600697186741,17,8.54374366975993,2.9821507994624904e-12,2.2682419717123793e-11
establishment of localization GO:0051234,53.92303711974727,105,1.9472196969696969,3.2534388466327473e-12,2.3331804300137703e-11
cell morphogenesis involved in differentiation GO:0000904,1.1108145646667937,13,11.703123467686575,9.919115140397722e-12,6.91582750066619e-11
cell part morphogenesis GO:0032990,1.1539529943625917,13,11.265623524969318,1.654786620391779e-11,1.1225714641036123e-10
transporter complex GO:1990351,2.0868215365342193,16,7.667162581891264,6.166620925470973e-11,4.0732154007716166e-10
phosphorylation GO:0016310,26.65954955200305,61,2.288110677977183,5.65999250216351e-10,3.642713123187285e-09
chromatin GO:0000785,3.4834281979356736,19,5.4543969102792635,6.09038685717299e-10,3.821717752876051e-09
Golgi apparatus GO:0005794,2.766251804243035,17,6.145499832634336,6.261037706573249e-10,3.8329767423167944e-09
female gamete generation GO:0007292,1.5961218987445192,13,8.144741332241333,1.1782178816447032e-09,7.041254483162393e-09
cell death GO:0008219,4.108935428524742,20,4.867440812322703,1.7873084118839936e-09,1.0432893287974009e-08
organelle localization GO:0051640,1.38042975026553,12,8.692945075757576,1.9670428711293687e-09,1.122108546939708e-08
ion homeostasis GO:0050801,1.2510144611781366,11,8.79286398467433,6.714373137354249e-09,3.745128127724259e-08
non-membrane-bounded organelle GO:0043228,21.763337781529998,51,2.3433905456948074,6.908485126914634e-09,3.769629927946898e-08
chromatin organization GO:0006325,3.6290203981589912,18,4.960016209644738,7.267948747724436e-09,3.881393905699645e-08
"phosphotransferase activity, alcohol group as acceptor GO:0016773",23.623682562161278,53,2.2435113518199574,1.5210330411912908e-08,7.953735277896125e-08
supramolecular complex GO:0099080,1.995152373430649,13,6.515793065793066,1.9931934542239584e-08,1.0210031775718643e-07
Golgi membrane GO:0000139,1.3966066614014543,11,7.876233376233376,2.277964702140116e-08,1.1435382804743381e-07
chromosome GO:0005694,6.03398785369972,22,3.6460133055307318,6.822864969873507e-08,3.3579198185063734e-07
regulation of ion transport GO:0043269,1.9412293363109017,12,6.181649831649832,1.0954832255477617e-07,5.287813261778618e-07
organelle fission GO:0048285,3.6505896130068907,16,4.382853647255419,2.353904678424058e-07,1.1147737250649784e-06
membrane-enclosed lumen GO:0031974,7.160979329502437,23,3.2118511926493856,3.6341258727080163e-07,1.6891955445365039e-06
exopeptidase activity GO:0008238,2.1623137885018657,12,5.54961082143127,3.736124720428435e-07,1.7050314633227948e-06
phosphorus metabolic process GO:0006793,42.496745554072824,73,1.7177785980602882,1.6445187341164908e-06,7.3709678975578425e-06
single-organism localization GO:1902578,18.037255916555463,39,2.1621914209358155,2.733266654895496e-06,1.2035963690855605e-05
DNA packaging complex GO:0044815,3.203028404912988,13,4.058658980376152,5.598420977571295e-06,2.4227649402937844e-05
protein-DNA complex GO:0032993,3.203028404912988,13,4.058658980376152,5.598420977571295e-06,2.4227649402937844e-05
