Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,1.6346687281160475,61,37.31642928674752,1.7572572455653448e-82,4.428288258824669e-80
single-multicellular organism process GO:0044707,1.5733254513209949,60,38.135784271221716,1.4078276035129337e-81,1.7738627804262965e-79
reproduction GO:0000003,0.9132372334136692,47,51.46526913309764,3.7653164237479295e-69,3.162865795948261e-67
embryo development GO:0009790,0.945780849741561,39,41.23576831848195,2.338679217725882e-53,1.4733679071673058e-51
modification-dependent macromolecule catabolic process GO:0043632,0.17913388810574024,23,128.39558300896937,7.938492618321185e-44,4.001000279633877e-42
protein catabolic process GO:0030163,0.29750049262577116,23,77.31079635196413,1.6842309929519413e-38,7.073770170398154e-37
sex differentiation GO:0007548,0.31132432965000834,22,70.66585520229806,4.9388304641379696e-36,1.777978967089669e-34
reproductive system development GO:0061458,0.2894365876949661,21,72.55475255302436,9.265587712691369e-35,2.9186601294977813e-33
catabolic process GO:0009056,0.6468403740924317,25,38.64941181984347,7.295663951513289e-34,2.042785906423721e-32
ligase activity GO:0016874,0.26783684234459554,20,74.6723259762309,1.7255717720259733e-33,4.3484408655054523e-32
membrane-bounded organelle GO:0043227,2.879966046716081,36,12.500147368421052,1.3774919440697619e-30,3.1557088173234543e-29
cytoplasm GO:0005737,2.3149167083503857,32,13.82339152185016,1.3501958781792187e-28,2.8354113441763594e-27
cellular component organization or biogenesis GO:0071840,1.5551816652266837,28,18.004327485380117,2.5181261156074828e-28,4.8812906241006586e-27
establishment of localization GO:0051234,2.879966046716081,33,11.45846842105263,7.610995369890386e-27,1.3699791665802695e-25
oviposition GO:0018991,0.11606263168265805,13,112.00848896434636,2.9182685095686173e-25,4.902691096075277e-24
nucleus GO:0005634,1.9488730238127718,26,13.341043609466995,4.8434976897202657e-23,7.628508861309418e-22
single-organism localization GO:1902578,0.963348642626529,19,19.722869955156952,1.4734666933383194e-20,2.1841976865956266e-19
regulation of metabolic process GO:0019222,1.8377063344095312,23,12.515601415386138,6.201699934384432e-20,8.682379908138204e-19
intrinsic component of membrane GO:0031224,2.879966046716081,26,9.027884210526317,9.304609229649398e-19,1.234085013616657e-17
cell periphery GO:0071944,0.6091128188804511,14,22.984247853676745,1.0003190775314028e-16,1.1458200342632433e-15
regulation of gene expression GO:0010468,1.533581919876313,18,11.73722757598221,1.6281794471589777e-15,1.7095884195169266e-14
transporter activity GO:0005215,1.7873069285919996,18,10.071017860474583,2.448393761568634e-14,2.467980911661183e-13
cell communication GO:0007154,2.589377472602428,19,7.337671004337672,1.6257858083154561e-12,1.5174000877610926e-11
organic cyclic compound biosynthetic process GO:1901362,2.0666636351234593,17,8.225818517866575,3.352789758295906e-12,3.017510782466315e-11
biosynthetic process GO:0009058,2.879966046716081,19,6.5973,1.0838213211330894e-11,9.418033549156501e-11
signaling GO:0023052,2.562305791763297,18,7.024922652816148,1.2433649034639628e-11,1.0444265189097289e-10
macromolecule biosynthetic process GO:0009059,2.66857653888712,18,6.745169095845593,2.4724078252312028e-11,2.0098282966395584e-10
aromatic compound biosynthetic process GO:0019438,2.0295120731208223,16,7.883668302301091,2.573279193860469e-11,2.0264573651651193e-10
heterocycle biosynthetic process GO:0018130,2.0482318524244767,16,7.811615653306495,2.963068715961542e-11,2.2627070194615415e-10
transmembrane transport GO:0055085,1.8466342291543512,15,8.122886364382572,6.36121453775627e-11,4.4528501764293893e-10
macromolecule modification GO:0043412,2.3656041107725887,16,6.76360001537811,2.6563159469301907e-10,1.6028520430917762e-09
phosphorus metabolic process GO:0006793,2.2697012414169433,14,6.168212690080741,9.856685202901228e-09,5.284861002406616e-08
organelle part GO:0044422,1.7308595940763647,12,6.932971363516945,2.3431185603253906e-08,1.2301372441708302e-07
nucleoside phosphate binding GO:1901265,2.879966046716081,15,5.208394736842105,3.365064128121205e-08,1.6959923205730872e-07
ion binding GO:0043167,2.879966046716081,15,5.208394736842105,3.365064128121205e-08,1.6959923205730872e-07
DNA binding GO:0003677,2.067239628332803,12,5.804842281239459,1.7881186161989233e-07,8.501997948719408e-07
carbohydrate derivative binding GO:0097367,2.6855683385627453,12,4.4683279243685625,3.222387956625667e-06,1.16005966438524e-05
