Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
response to lipid GO:0033993,6.983659335668873,74,10.596164051423122,4.544999999938735e-54,1.2271499999834584e-51
hormone-mediated signaling pathway GO:0009755,7.033013818606461,74,10.521805005448226,7.987727864499198e-54,1.2271499999834584e-51
response to hormone GO:0009725,7.6746220967951215,74,9.642168574124579,7.956806765641777e-51,7.1611260890776e-49
response to organic cyclic compound GO:0014070,7.946071752951862,74,9.312777722213491,1.1901034819715352e-49,8.033198503307862e-48
zinc ion binding GO:0008270,18.60664006747113,88,4.729494399896793,8.770069471305117e-34,4.7358375145047635e-32
regulation of nucleobase-containing compound metabolic process GO:0019219,25.738362851952772,92,3.5744309196814337,5.887249937655663e-26,2.6492624719450483e-24
ion binding GO:0043167,44.91257947320617,116,2.582795318385197,2.5255968960815446e-20,9.7415880277431e-19
regulation of metabolic process GO:0019222,38.8419780718827,97,2.4972981504826417,2.320117667950353e-16,7.830397129332442e-15
macromolecule biosynthetic process GO:0009059,40.84083463085506,94,2.3016179970275004,8.451427442157086e-14,2.535428232647126e-12
cellular aromatic compound metabolic process GO:0006725,51.57543466978072,101,1.958296631849393,1.3254065937681268e-10,3.5785978031739422e-09
organic cyclic compound metabolic process GO:1901360,52.5872015700013,102,1.9396354427459503,1.8240469523924784e-10,4.477206155872447e-09
heterocycle metabolic process GO:0046483,51.37801673803036,100,1.9463577294134695,2.249363109848152e-10,5.061066997158342e-09
biosynthetic process GO:0009058,54.215899506941746,104,1.9182564698882096,2.2609619613237046e-10,5.061066997158342e-09
signaling GO:0023052,53.84574088490983,103,1.912871813207153,3.186345287223363e-10,6.1450944825021995e-09
nucleus GO:0005634,54.906862268068,104,1.8941166131884928,4.494665707743991e-10,8.090398273939185e-09
response to starvation GO:0042594,1.23386207343973,6,4.862780151166612,0.0002182933524101029,0.0036837003219204866
response to extracellular stimulus GO:0009991,1.8261158686908003,7,3.833272641685393,0.0004838209043205842,0.007684214362738691
protein maturation GO:0051604,1.4559572466588815,5,3.434166773422749,0.0033147125627075147,0.04972068844061272
