Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,1.98735846482652,68,34.216273110012814,1.3969574562044142e-87,3.520332789635124e-85
developmental process GO:0032502,2.064844709199218,68,32.932258632840025,1.9093879950201977e-86,2.405828873725449e-84
membrane-bounded organelle GO:0043227,3.6378518484834705,62,17.043025,1.1945112860801138e-60,1.0033894803072956e-58
nucleus GO:0005634,2.4617343458687646,50,20.310883700310328,4.0634397717874975e-52,2.5599670562261235e-50
reproduction GO:0000003,1.1535628211541087,39,33.8083017975402,3.241268541238386e-49,1.6335993447841465e-47
regulation of metabolic process GO:0019222,2.3213132645173027,45,19.38557827926657,6.716358139488995e-46,2.820870418585378e-44
cellular response to chemical stimulus GO:0070887,0.6675458141967169,32,47.936784741144415,1.5947832988291048e-45,5.741219875784778e-44
response to organic substance GO:0010033,0.6893729252876177,32,46.418997361477565,4.57821440775171e-45,1.4421375384417886e-43
embryo development GO:0009790,1.1946705470419718,36,30.13383069427527,1.136025388287532e-43,3.180871087205089e-42
regulation of gene expression GO:0010468,1.937156109317448,40,20.64882629107981,7.115701255492919e-42,1.7931567163842156e-40
response to endogenous stimulus GO:0009719,0.6093401846209814,28,45.951343283582084,1.5612870930443438e-39,3.576766794974315e-38
organic cyclic compound biosynthetic process GO:1901362,2.610522486471738,42,16.088733277591977,1.8433931318113206e-39,3.871125576803773e-38
aromatic compound biosynthetic process GO:0019438,2.5635941976263017,40,15.60309351497091,4.62330145792571e-37,8.962092056902144e-36
heterocycle biosynthetic process GO:0018130,2.5872402346414445,40,15.460489313835769,6.631493963746194e-37,1.1906328891135406e-35
signaling GO:0023052,3.2365967895957435,43,13.285559739237947,6.614627161741892e-37,1.1906328891135406e-35
cell communication GO:0007154,3.270792596971488,43,13.146660549438328,1.0268868891643477e-36,1.6173468504338476e-35
DNA binding GO:0003677,2.611250056841435,37,14.169458762886597,8.53497660270072e-33,1.2651847669885775e-31
macromolecule biosynthetic process GO:0009059,3.3708335228047837,40,11.866501187135766,2.0043362327457346e-32,2.8060707258440283e-31
ion binding GO:0043167,3.6378518484834705,40,10.9955,3.79654079116143e-31,5.035411996698318e-30
cell periphery GO:0071944,0.7694056659542541,24,31.192907801418436,4.761970321794935e-30,6.000082605461617e-29
biosynthetic process GO:0009058,3.6378518484834705,38,10.445725,8.591905988311886e-29,1.0310287185974263e-27
zinc ion binding GO:0008270,2.2354599608930927,31,13.867392188771358,2.359227421942555e-27,2.666373588053166e-26
cytoplasm GO:0005737,2.9241053158110137,34,11.627488181139586,2.3277864657607002e-27,2.666373588053166e-26
establishment of localization GO:0051234,3.6378518484834705,35,9.6210625,2.2503480749891394e-25,2.3628654787385965e-24
nervous system development GO:0007399,0.1647946887363012,13,78.88603752759383,4.643637561493137e-23,4.680786661985082e-22
ion homeostasis GO:0050801,0.08439816288481651,11,130.3345905172414,1.1915131271934364e-22,1.1548511848182536e-21
phosphorus metabolic process GO:0006793,2.8669910417898232,28,9.766336759294505,1.038987208174827e-20,9.697213942965052e-20
cellular component organization or biogenesis GO:0071840,1.964439998181074,24,12.217222222222222,2.9990923611373773e-20,2.6991831250236395e-19
signal transducer activity GO:0004871,1.4409531171843026,21,14.57368720020197,1.4926239526836545e-19,1.297038745090624e-18
organelle part GO:0044422,2.186348960938566,24,10.97720465890183,3.664383560543873e-19,3.0780821908568535e-18
receptor-mediated endocytosis GO:0006898,0.2822973034423173,12,42.5083762886598,4.751853844610005e-18,3.862797318844262e-17
intrinsic component of membrane GO:0031224,3.6378518484834705,28,7.6968499999999995,5.715745180673325e-18,4.501149329780244e-17
macromolecule modification GO:0043412,2.9881315083443223,25,8.366432310689069,4.6199774175623327e-17,3.5279827552294176e-16
multi-organism reproductive process GO:0044703,0.26665454049383835,11,41.251875852660305,1.232592918775454e-16,9.135688692100424e-16
cell death GO:0008219,0.27720431085444047,11,39.68192257217847,1.95279376030041e-16,1.4060115074162952e-15
phosphorylation GO:0016310,1.7985539538902278,20,11.120044498381878,2.1086159163404246e-16,1.4760311414382972e-15
molecular transducer activity GO:0060089,1.6046564503660588,18,11.21735434141918,4.861494619616308e-15,3.223938537219236e-14
single-organism localization GO:1902578,1.216861443317721,16,13.148579970104633,1.0342356578951912e-14,6.682753481784312e-14
"phosphotransferase activity, alcohol group as acceptor GO:0016773",1.5937428948206085,17,10.666714220497603,5.853234569025525e-14,3.597597832669347e-13
carbohydrate derivative binding GO:0097367,3.3922968487108363,23,6.7800670241286864,7.217024901571971e-14,4.3302149409431823e-13
transporter activity GO:0005215,2.2576508571688416,18,7.972889139542379,1.874913141601433e-12,1.0738138901899116e-11
transmembrane transport GO:0055085,2.3325906052476015,17,7.288034154709918,3.031079558952394e-11,1.55884091603266e-10
non-membrane-bounded organelle GO:0043228,1.4682370060479286,12,8.17306739345887,3.851566410933043e-09,1.8313108218021263e-08
nucleoside phosphate binding GO:1901265,3.6378518484834705,17,4.6730875,3.046978501940101e-08,1.301421326252382e-07
