Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
lateral ganglion WBbt:0005105,1.2041297455491424,8,6.643802322441263,1.5601772992138274e-06,0.00042436822538616107
retrovesicular ganglion WBbt:0005656,2.440126818957808,9,3.6883328891258,7.383406788875116e-05,0.007206507229150484
AVE WBbt:0006819,1.031135680026014,6,5.818826868495743,5.298902374375356e-05,0.007206507229150484
HSN WBbt:0006830,0.25038614746768556,3,11.981493506493505,0.0001050417998977242,0.007206507229150484
preanal ganglion WBbt:0005448,0.40289407365254853,3,7.446125907990315,0.0006476509249935816,0.019573450177583798
ventral nerve cord WBbt:0005829,3.195837736769368,9,2.8161630036630036,0.0006866088016305075,0.019573450177583798
pharynx WBbt:0003681,11.504105357288026,19,1.6515843179377012,0.00111996510648162,0.023433116074076974
tail WBbt:0005741,4.204211039752866,10,2.3785675612963106,0.0015355099877329519,0.029832765475954492
sex organ WBbt:0008422,3.644256564506951,9,2.4696395110198983,0.0019206691846667303,0.03421708175027542
amphid sensillum WBbt:0005391,3.0934070400780427,8,2.5861452748869964,0.002339147252405605,0.03742635603848968
pharyngeal interneuron WBbt:0003668,2.3376961222664825,6,2.566629572958687,0.006893370471931979,0.038361004177473734
corpus WBbt:0003733,4.832452646126331,10,2.0693425745239216,0.004782900511387159,0.038361004177473734
nerve ring WBbt:0006749,2.0008129420372325,6,2.99878108239883,0.0029113138850189774,0.038361004177473734
hermaphrodite WBbt:0007849,5.121534834566296,10,1.9525396825396824,0.007532844022438155,0.03865912403968261
labial sensillum WBbt:0005107,6.817331924233802,12,1.760219413307894,0.008858156110116217,0.043025329677707336
AWB WBbt:0005671,1.9370782863181855,5,2.5812069833808966,0.010893110290139322,0.049382099981964925
