Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
dorsal nerve cord WBbt:0006750,4.958621250304853,15,3.025034428487114,3.0700290917163346e-05,0.00835047912946843
ADE WBbt:0005415,0.27363628973254206,3,10.963458110516935,0.00015157202427514414,0.00835047912946843
reproductive tract WBbt:0005744,14.303715145110154,27,1.887621483375959,0.00027089562816233123,0.00835047912946843
ABplpapp WBbt:0006420,0.2902203072920901,3,10.336974789915965,0.00019149679560458545,0.00835047912946843
Psub2 WBbt:0006873,0.3731403950898301,4,10.719825708061002,3.3351681279278387e-05,0.00835047912946843
ventral nerve cord WBbt:0005829,11.641980326802699,24,2.061504943857885,0.00015279462066399049,0.00835047912946843
head muscle WBbt:0006761,1.4759775627997724,7,4.742619519718,0.00011320080493794998,0.00835047912946843
P4 WBbt:0006773,0.28192829851231604,3,10.641003460207614,0.00017069297199007554,0.00835047912946843
hermaphrodite WBbt:0007849,18.657019754491508,34,1.8223703703703702,7.974274707580746e-05,0.00835047912946843
midbody WBbt:0005740,6.028290382895699,14,2.3223831485826794,0.0009222148356688113,0.025084243530191664
P11 WBbt:0004410,0.4809365092268921,3,6.237829614604463,0.0013411581011696092,0.03297609642122343
oocyte WBbt:0006797,1.2106332818470045,5,4.1300698361536385,0.0013335921346818297,0.03297609642122343
P4.p WBbt:0006892,0.5306885619055361,3,5.653033088235294,0.0019337611270726202,0.040460232812596364
P8.p WBbt:0006896,0.5389805706853101,3,5.566063348416289,0.0020475960497100595,0.040460232812596364
P3.p WBbt:0006891,0.5306885619055361,3,5.653033088235294,0.0019337611270726202,0.040460232812596364
P7.p WBbt:0006895,0.5970246321437281,3,5.024918300653595,0.002977008528058502,0.04280029703382438
posterior gonad arm WBbt:0005466,1.6915697910738965,5,2.9558342945021145,0.006967283001488521,0.04280029703382438
AB WBbt:0004015,0.9452890008942362,4,4.231510147918817,0.002553631529466158,0.04280029703382438
P5.p WBbt:0006893,0.5887326233639542,3,5.095691797845899,0.002829398311588614,0.04280029703382438
P6.p WBbt:0006894,0.5970246321437281,3,5.024918300653595,0.002977008528058502,0.04280029703382438
sex organ WBbt:0008422,13.275506056418179,23,1.73251399248019,0.0025176645314014343,0.04280029703382438
EMS WBbt:0006876,0.5721486058044062,3,5.243393009377664,0.002549374020039352,0.04280029703382438
nerve ring WBbt:0006749,7.288675717421348,14,1.920787882843695,0.005748323973122847,0.04280029703382438
