Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
ABarpapa WBbt:0006603,0.1713681814486627,4,23.341555977229604,6.863247920581124e-07,0.0001866803434398066
ABarpaaa WBbt:0006398,0.22681082838793593,4,17.635842293906812,2.8880680304436117e-06,0.0003927772521403312
cephalic sensillum WBbt:0006920,0.236891309649622,3,12.664035689773506,8.872050995513811e-05,0.0019453909059654946
SDQL WBbt:0004993,0.18648890334119178,3,16.08674803836094,3.4112606135259804e-05,0.0019453909059654946
ABplaaapa WBbt:0006680,0.21169010649540687,3,14.171658986175116,5.67334494843822e-05,0.0019453909059654946
Cpapp WBbt:0005897,0.236891309649622,3,12.664035689773506,8.872050995513811e-05,0.0019453909059654946
Cppa WBbt:0006168,0.236891309649622,3,12.664035689773506,8.872050995513811e-05,0.0019453909059654946
Epr WBbt:0006547,0.18144866271034873,3,16.533602150537636,3.053964912908739e-05,0.0019453909059654946
ABarppaa WBbt:0006465,0.16632794081781968,3,18.036656891495603,2.145651734520766e-05,0.0019453909059654946
Cppp WBbt:0006268,0.19656938460287782,3,15.261786600496277,4.216409275740716e-05,0.0019453909059654946
Capp WBbt:0006098,0.19656938460287782,3,15.261786600496277,4.216409275740716e-05,0.0019453909059654946
Eal WBbt:0006441,0.18144866271034873,3,16.533602150537636,3.053964912908739e-05,0.0019453909059654946
Capa WBbt:0006444,0.20664986586456385,3,14.517309205350118,5.152400734365453e-05,0.0019453909059654946
SDQR WBbt:0004991,0.1915291439720348,3,15.663412563667233,3.7982435546278124e-05,0.0019453909059654946
Epl WBbt:0006000,0.18144866271034873,3,16.533602150537636,3.053964912908739e-05,0.0019453909059654946
ABaraaaa WBbt:0006360,0.18648890334119178,3,16.08674803836094,3.4112606135259804e-05,0.0019453909059654946
Ear WBbt:0006370,0.1713681814486627,3,17.506166982922203,2.4225876352821758e-05,0.0019453909059654946
MSappp WBbt:0006125,0.1713681814486627,3,17.506166982922203,2.4225876352821758e-05,0.0019453909059654946
Cpapa WBbt:0005962,0.22681082838793593,3,13.226881720430109,7.467185231847794e-05,0.0019453909059654946
thermosensory neuron WBbt:0005838,4.218681408015609,11,2.6074498015184795,0.0008317194662557821,0.008123217952314549
AWB WBbt:0005671,4.2892447768474105,11,2.5645540351010196,0.0009620868212364227,0.008123217952314549
ventral nerve cord WBbt:0005829,7.076497845703601,15,2.119692583402261,0.001256541913182428,0.0081376047710862
amphid sensillum WBbt:0005391,6.849687017315666,14,2.0438890075719813,0.0025380770654168435,0.01438243670402878
AVE WBbt:0006819,2.2832290057718883,6,2.6278572954496906,0.00750960434943147,0.0408522476609072
