Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
dorsal nerve cord WBbt:0006750,6.028127794488253,26,4.313113604488078,3.306281037861399e-11,8.993084422983005e-09
Cpapa WBbt:0005962,0.45362165677587185,8,17.635842293906812,5.234509131487471e-10,7.118932418822961e-08
Epr WBbt:0006547,0.36289732542069747,7,19.289202508960575,2.028742349541183e-09,1.839393063584006e-07
Epl WBbt:0006000,0.36289732542069747,7,19.289202508960575,2.028742349541183e-09,1.839393063584006e-07
Cpapp WBbt:0005897,0.473782619299244,7,14.774708304735759,1.9218648495393187e-08,1.0454944781493894e-06
Cpaaa WBbt:0006212,0.40321925046744167,6,14.880241935483872,1.261969162422959e-07,5.720926869650748e-06
head muscle WBbt:0006761,1.7943256645801156,11,6.130436752446538,2.2667211989280006e-07,8.807830944405945e-06
tail WBbt:0005741,18.618648890334118,40,2.1483836037515065,3.4969732311159796e-07,8.807830944405945e-06
Epla WBbt:0006661,0.44354117551418587,6,13.5274926686217,2.5087542787481755e-07,8.807830944405945e-06
Caaap WBbt:0006267,0.44354117551418587,6,13.5274926686217,2.5087542787481755e-07,8.807830944405945e-06
ventral nerve cord WBbt:0005829,14.152995691407202,34,2.402318261189229,2.2878812693041183e-07,8.807830944405945e-06
Eplp WBbt:0006496,0.473782619299244,6,12.664035689773506,4.0156006912555415e-07,9.10202823351256e-06
Cppa WBbt:0006168,0.473782619299244,6,12.664035689773506,4.0156006912555415e-07,9.10202823351256e-06
ABarppaa WBbt:0006465,0.33265588163563936,5,15.030547409579668,8.23624353210634e-07,1.6001844576663744e-05
Ear WBbt:0006370,0.3427363628973254,5,14.588472485768502,9.919115352122885e-07,1.798666250518283e-05
ABplppppa WBbt:0006352,0.3427363628973254,5,14.588472485768502,9.919115352122885e-07,1.798666250518283e-05
ABprappaa WBbt:0006350,0.3528168441590115,5,14.171658986175114,1.1873158386040161e-06,1.8997053417664258e-05
ABprappap WBbt:0006220,0.36289732542069747,5,13.778001792114697,1.4130944182451306e-06,2.1353426764593086e-05
ABarpaapa WBbt:0005844,0.36289732542069747,5,13.778001792114697,1.4130944182451306e-06,2.1353426764593086e-05
Eal WBbt:0006441,0.36289732542069747,5,13.778001792114697,1.4130944182451306e-06,2.1353426764593086e-05
ABplppppp WBbt:0006574,0.36289732542069747,5,13.778001792114697,1.4130944182451306e-06,2.1353426764593086e-05
Caaaa WBbt:0005899,0.37297780668238356,5,13.405623365300784,1.6727663581851024e-06,2.1353426764593086e-05
Ep WBbt:0006612,0.3830582879440696,5,13.052843803056026,1.970123177822819e-06,2.3298848015991595e-05
Cpaap WBbt:0006594,0.40321925046744167,5,12.400201612903226,2.694481993975057e-06,3.053746259838398e-05
Capa WBbt:0006444,0.4132997317291277,5,12.097757671125098,3.130522200869851e-06,3.406008154546398e-05
hermaphrodite WBbt:0007849,22.681082838793596,43,1.8958530465949819,3.7970569983935735e-06,3.9723057829348155e-05
ABprappp WBbt:0006702,0.4334606942524998,5,11.535071267816955,4.175254099129864e-06,4.206181907271567e-05
Epra WBbt:0006321,0.473782619299244,5,10.553363074811255,7.115769402509803e-06,6.912461705295237e-05
MSpppp WBbt:0006409,0.33265588163563936,4,12.024437927663735,1.8172760056029383e-05,0.00017044795638758594
ABplapppp WBbt:0006656,0.33265588163563936,4,12.024437927663735,1.8172760056029383e-05,0.00017044795638758594
ASJ WBbt:0005667,0.8467604259816275,6,7.085829493087558,2.1250058292107793e-05,0.00018544236408268134
ABprpppp WBbt:0006179,0.3427363628973254,4,11.670777988614802,2.1134975318246773e-05,0.00018544236408268134
ABarpaapp WBbt:0006620,0.3427363628973254,4,11.670777988614802,2.1134975318246773e-05,0.00018544236408268134
ABalappa WBbt:0006157,0.3427363628973254,4,11.670777988614802,2.1134975318246773e-05,0.00018544236408268134
ABprapapp WBbt:0006290,0.3528168441590115,4,11.337327188940092,2.4459585231315216e-05,0.0001900859195119354
Ea WBbt:0006733,0.3528168441590115,4,11.337327188940092,2.4459585231315216e-05,0.0001900859195119354
ABplappap WBbt:0006067,0.36289732542069747,4,11.022401433691757,2.8176761168723072e-05,0.00020713727129439665
ABprapapa WBbt:0006510,0.36289732542069747,4,11.022401433691757,2.8176761168723072e-05,0.00020713727129439665
Caapa WBbt:0006123,0.3830582879440696,4,10.442275042444821,3.691617508196081e-05,0.0002574666569818805
Capp WBbt:0006098,0.39313876920575563,4,10.174524400330851,4.2005430354739206e-05,0.0002856369264122266
Cppp WBbt:0006268,0.39313876920575563,4,10.174524400330851,4.2005430354739206e-05,0.0002856369264122266
Eala WBbt:0006104,0.40321925046744167,4,9.92016129032258,4.762128011982607e-05,0.00030840448077601646
nerve ring WBbt:0006749,8.86074302902203,21,2.3700044038313335,6.026953151365188e-05,0.00038123982724914675
Ealp WBbt:0006546,0.42338021299081374,4,9.447772657450077,6.058139099854426e-05,0.00038123982724914675
Eara WBbt:0006161,0.4334606942524998,4,9.228057014253563,6.80032511164992e-05,0.000411041873415284
Earp WBbt:0006646,0.4334606942524998,4,9.228057014253563,6.80032511164992e-05,0.000411041873415284
ABarpaaa WBbt:0006398,0.45362165677587185,4,8.817921146953406,8.493434235522113e-05,0.0004915349174600031
Psub2 WBbt:0006873,0.45362165677587185,4,8.817921146953406,8.493434235522113e-05,0.0004915349174600031
sex organ WBbt:0008422,16.138850499959354,31,1.9208307307932542,8.742641085334546e-05,0.0004915349174600031
PVC WBbt:0005840,0.473782619299244,4,8.442690459849004,0.00010493527056756568,0.0005708478718875574
HSN WBbt:0006830,1.1088529387854646,6,5.4109970674486805,0.00012029208927796087,0.0006415578094824579
Eprp WBbt:0006507,0.5040240630843021,4,7.936129032258064,0.0001414892378611273,0.0007400975518889735
lateral ganglion WBbt:0005105,5.332574587431917,14,2.6253734983840475,0.000274898547378171,0.001410800092204953
P11 WBbt:0004410,0.5846679131777904,4,6.841490545050055,0.00028695358287823526,0.001445395824868148
ADE WBbt:0005415,0.33265588163563936,3,9.018328445747802,0.0003210099003577306,0.0015875398708600497
ABplappaa WBbt:0006371,0.33265588163563936,3,9.018328445747802,0.0003210099003577306,0.0015875398708600497
ABplpppaa WBbt:0006222,0.33265588163563936,3,9.018328445747802,0.0003210099003577306,0.0015875398708600497
ABprapaap WBbt:0006624,0.33265588163563936,3,9.018328445747802,0.0003210099003577306,0.0015875398708600497
ABprpppa WBbt:0005943,0.33265588163563936,3,9.018328445747802,0.0003210099003577306,0.0015875398708600497
ABarpapa WBbt:0006603,0.3427363628973254,3,8.753083491461101,0.00036099322370641786,0.0016365026141357609
ABprpapa WBbt:0006259,0.3427363628973254,3,8.753083491461101,0.00036099322370641786,0.0016365026141357609
ABprapap WBbt:0006678,0.3427363628973254,3,8.753083491461101,0.00036099322370641786,0.0016365026141357609
ABarpppap WBbt:0006251,0.3427363628973254,3,8.753083491461101,0.00036099322370641786,0.0016365026141357609
ABprppppp WBbt:0005983,0.3528168441590115,3,8.502995391705069,0.0004044169189889048,0.0017187719057028452
ABarppapp WBbt:0006240,0.3528168441590115,3,8.502995391705069,0.0004044169189889048,0.0017187719057028452
ABpraapaa WBbt:0006108,0.36289732542069747,3,8.266801075268818,0.0004514469387129892,0.0018605085959080767
ABplpppap WBbt:0006665,0.36289732542069747,3,8.266801075268818,0.0004514469387129892,0.0018605085959080767
ABalaaap WBbt:0005982,0.37297780668238356,3,8.04337401918047,0.0005022504451773296,0.002009001780709318
Caap WBbt:0005921,0.37297780668238356,3,8.04337401918047,0.0005022504451773296,0.002009001780709318
ABarapaa WBbt:0006515,0.37297780668238356,3,8.04337401918047,0.0005022504451773296,0.002009001780709318
ABprappa WBbt:0006269,0.3830582879440696,3,7.8317062818336165,0.0005569956534212113,0.002133842503247457
pm5 WBbt:0003737,0.3830582879440696,3,7.8317062818336165,0.0005569956534212113,0.002133842503247457
ABalaaaa WBbt:0006427,0.39313876920575563,3,7.630893300248139,0.0006158516789283104,0.0022946802283356224
ABalpppa WBbt:0006649,0.39313876920575563,3,7.630893300248139,0.0006158516789283104,0.0022946802283356224
EMS WBbt:0006876,0.6955532070563369,4,5.750818139317437,0.0006444164357956386,0.0023370836071521825
ABalppaa WBbt:0005944,0.42338021299081374,3,7.085829493087558,0.0008187862509098826,0.002930392897993264
excretory cell WBbt:0005812,8.669213885049995,18,2.076312828207052,0.0009575374004194994,0.0033824697781052442
PDE WBbt:0006747,0.45362165677587185,3,6.6134408602150545,0.001064862648706398,0.0037133671852325675
AIY WBbt:0005413,0.7862775384115113,4,5.0872622001654255,0.0011264272807390257,0.0038783319033039877
pharyngeal-intestinal valve WBbt:0005767,1.643118445654825,6,3.6515931130021766,0.0012976024947090976,0.0044118484820109315
postdeirid sensillum WBbt:0005471,0.493943581822616,3,6.0735681369321926,0.0014680738230084711,0.0049298281463988165
reproductive tract WBbt:0005744,17.388830176408423,29,1.667737260402057,0.0016356012377777044,0.005425408983847995
excretory secretory system WBbt:0006850,9.505893829769937,18,1.8935620702630591,0.0027734650037654954,0.009088945554508612
ASI WBbt:0005666,1.441508820421104,5,3.4685878637491543,0.003229023838732874,0.010455886715896926
osmosensory neuron WBbt:0008433,1.0483700512153484,4,3.8154466501240694,0.003988440601497965,0.01276300992479349
nociceptor neuron WBbt:0008434,1.0483700512153484,4,3.8154466501240694,0.003988440601497965,0.01276300992479349
amphid sensillum WBbt:0005391,13.699374034631331,23,1.6789088276484132,0.0042880342185306775,0.013406267901613153
AB WBbt:0004015,1.1491748638322088,4,3.4807583474816073,0.005880912169307808,0.015837704059918058
CAN WBbt:0006827,0.7661165758881392,3,3.9158531409168083,0.007219051515025097,0.017224403614796723
posterior lateral ganglion WBbt:0005465,1.7439232582716853,5,2.867098638821555,0.008089068019297662,0.01890648366451408
preanal ganglion WBbt:0005448,1.7842451833184294,5,2.8023054492436668,0.00900119415041203,0.01990507974725262
PHB WBbt:0007808,0.9072433135517437,3,3.3067204301075273,0.012915430369769667,0.027880929052201183
midbody WBbt:0005740,7.328509877245753,13,1.7738940409105026,0.014642673149565254,0.031360685800643696
oocyte WBbt:0006797,1.4717502642061622,4,2.7178524083075564,0.016047631182872713,0.033836865749933165
pharynx WBbt:0003681,50.94675229656126,62,1.2169568658488326,0.017600623997892226,0.036825920980205276
male WBbt:0007850,6.794244370376392,12,1.7662008232028334,0.018231469846336175,0.037854654948117857
ADL WBbt:0005661,1.0584505324770344,3,2.834331797235023,0.0215510597965987,0.04407434785469809
PLM WBbt:0005490,2.822534753272092,6,2.125748847926267,0.02318328485414669,0.04698643406629596
BAG WBbt:0006825,4.8386310056093,9,1.860030241935484,0.02314772854736639,0.04698643406629596
lateral nerve cord WBbt:0006769,4.173319242338022,8,1.9169393797724792,0.02407510486296115,0.0481502097259223
