Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
tail WBbt:0005741,59.75985692220145,123,2.0582378595739934,1.0157831834538011e-16,2.762930258994339e-14
sex organ WBbt:0008422,51.80050402406309,99,1.9111783150606247,2.3582106915735417e-11,3.2071665405400167e-09
nerve ring WBbt:0006749,28.440126818957808,63,2.215179995540844,5.411563319517059e-10,3.8463679075446495e-08
hermaphrodite WBbt:0007849,72.79895943419234,122,1.6758481295365717,4.24231754508601e-10,3.8463679075446495e-08
pharynx WBbt:0003681,163.52264043573695,214,1.308687282872614,8.41479367531516e-08,4.577647759371447e-06
ventral nerve cord WBbt:0005829,45.42655068693602,80,1.7610846254062336,1.1377130480455632e-07,5.1576324844732204e-06
amphid sensillum WBbt:0005391,43.97057149825218,78,1.7739137187038947,1.2379871102458986e-07,5.1576324844732204e-06
dorsal nerve cord WBbt:0006750,19.348345662954234,43,2.2224122283659096,2.7124142740553457e-07,9.222208531788175e-06
HSN WBbt:0006830,3.559060239004959,15,4.214595705801736,4.616059357196704e-07,1.3950757168416705e-05
RIC WBbt:0006834,1.1000731647833508,8,7.272243570795153,9.08048260137041e-07,2.4698912675727514e-05
anal depressor muscle WBbt:0004292,15.012763189984554,35,2.3313496361115926,1.0318338316217614e-06,2.55144365637381e-05
AWB WBbt:0005671,27.534184212665636,53,1.9248799815765079,1.2851686590894724e-06,2.9130489606028043e-05
midbody WBbt:0005740,23.522152670514593,47,1.998116441906921,1.7775233358416617e-06,3.7191257488379383e-05
SDQL WBbt:0004993,1.1971384440289408,8,6.68260220019014,1.9759575793079445e-06,3.839003296941149e-05
ABplpapp WBbt:0006420,1.1324282578652143,7,6.181407035175879,1.2230235525972789e-05,0.0002217749375376399
nervous system WBbt:0005735,319.6359645557272,350,1.0949956788701072,1.4787412069652776e-05,0.00025138600518409717
thermosensory neuron WBbt:0005838,27.081212909519554,49,1.809372429651243,1.75106879370385e-05,0.00026000060753302815
PVC WBbt:0005840,1.5206893748475734,8,5.260771944830536,1.625003797081426e-05,0.00026000060753302815
preanal ganglion WBbt:0005448,5.726851475489798,17,2.9684723050279644,1.7109634530627286e-05,0.00026000060753302815
reproductive tract WBbt:0005744,55.81253556621413,85,1.522955356492608,1.917863868253483e-05,0.00026082948608247366
somatic gonad WBbt:0005785,16.565807657913993,34,2.052420304648241,2.374313351095262e-05,0.00030753011023710057
P4.p WBbt:0006892,2.070725957239249,9,4.34630182160804,3.5687153526705426e-05,0.0004412229890574489
P3.p WBbt:0006891,2.070725957239249,9,4.34630182160804,3.5687153526705426e-05,0.0004412229890574489
P8.p WBbt:0006896,2.103081050321112,9,4.279435639737147,4.097868101304991e-05,0.0004644250514812323
ABalppaa WBbt:0005944,1.358913909438257,7,5.151172529313233,5.0300907522984404e-05,0.0005472738738500704
