Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,46.288702928870286,258,5.5737141824098355,9.858701630312569e-165,2.6914255450753314e-162
pharynx WBbt:0003681,23.680848729882626,158,6.672058159833663,2.9146843515155807e-93,3.9785441398187674e-91
hermaphrodite WBbt:0007849,10.542522683465751,112,10.623643255295429,4.819260925433186e-84,4.385527442144199e-82
tail WBbt:0005741,8.654239731716109,96,11.09282883026439,6.130995187732143e-73,4.1844042156271875e-71
labial sensillum WBbt:0005107,14.033269083102189,107,7.624737996996108,3.284855844477747e-65,1.79353129108485e-63
sex organ WBbt:0008422,7.5015905849905185,85,11.330930292313125,6.149610857005172e-65,2.798072939937353e-63
PVD WBbt:0006831,13.550655822481314,105,7.748702452157259,1.4311472316784151e-64,5.581474203545818e-63
amphid sensillum WBbt:0005391,6.367683700813314,65,10.207793454266245,1.6904863928629024e-46,5.768784815644654e-45
reproductive tract WBbt:0005744,8.08260072399041,69,8.536856187290969,2.831354120857756e-44,8.588440833268527e-43
corpus WBbt:0003733,9.947455847554572,73,7.338559840699963,2.120606268696137e-42,5.789255113540455e-41
AWB WBbt:0005671,3.9874163571686023,51,12.790236943356035,1.86866084776761e-41,4.637676467641432e-40
thermosensory neuron WBbt:0005838,3.9218184382492596,49,12.494204097289652,2.21989740813367e-39,5.050266603504099e-38
ventral nerve cord WBbt:0005829,6.578534154482629,57,8.664544207186347,6.36807820927194e-37,1.3372964239471076e-35
lateral ganglion WBbt:0005105,2.4786642220237254,36,14.523951925447776,1.0561155743717504e-31,2.059425370024913e-30
midbody WBbt:0005740,3.4064062181687116,39,11.449016207164643,3.425392598766748e-30,6.234214529755481e-29
nerve ring WBbt:0006749,4.118612195007287,38,9.226408848607987,5.1604640924778446e-26,8.805041857790322e-25
somatic gonad WBbt:0005785,2.3990096061930957,30,12.505160430602006,8.178971021270647e-25,1.3134465228275803e-23
dorsal nerve cord WBbt:0006750,2.801968250983342,31,11.063651413295153,6.096621668165823e-24,9.246542863384831e-23
excretory secretory system WBbt:0006850,4.418488395781424,36,8.147582787446312,6.838373779631741e-23,9.825663378102448e-22
excretory cell WBbt:0005812,4.029586447902465,32,7.941261569572996,3.2238484292576975e-20,4.400553105936758e-19
anal depressor muscle WBbt:0004292,2.1741024556124926,25,11.498998097105295,3.825598394803531e-20,4.97327791324459e-19
male WBbt:0007850,3.1580712394026293,28,8.86617111439715,3.252908417724126e-19,4.036563627448574e-18
posterior lateral ganglion WBbt:0005465,0.8106028552175888,16,19.73839580876525,1.1535579011089488e-17,1.3692230739249696e-16
preanal ganglion WBbt:0005448,0.8293451177659725,16,19.292330366759252,1.705177863358144e-17,1.9396398195698888e-16
retrovesicular ganglion WBbt:0005656,5.0229263629667935,32,6.370788199470873,2.202413420293098e-17,2.405035454960063e-16
anal sphincter muscle WBbt:0005798,0.6044379671853697,14,23.16201291125457,7.496979704247893e-17,7.871828689460288e-16
striated muscle WBbt:0005779,6.7706423456035605,35,5.169376583999722,5.13798540396972e-16,5.009535768870477e-15
spermatheca WBbt:0005319,2.5770611004027395,22,8.536856187290969,3.255806354294085e-15,3.064948740421673e-14
coelomic system WBbt:0005749,4.207637942112108,26,6.179238888350925,3.567597196580761e-14,3.2465134488884923e-13
pharyngeal interneuron WBbt:0003668,4.812075909297478,27,5.610884056885497,1.269457630636985e-13,1.1179417198835385e-12
intestinal muscle WBbt:0005796,0.937113127419178,13,13.872391304347826,9.80678809533243e-13,8.366416093830478e-12
uterine muscle WBbt:0005342,0.6184946640966574,11,17.785117056856187,1.8992097439736736e-12,1.5249537061906262e-11
BAG WBbt:0006825,2.2490715058060267,18,8.003302675585285,2.2722154245321934e-12,1.7723280311351107e-11
Z4.a WBbt:0007025,2.900365129362356,20,6.895683511543594,2.8769451299073227e-12,2.1816833901797195e-11
Z1.p WBbt:0007023,2.9050506949994515,20,6.884561441363686,2.965380037084601e-12,2.1879695949299895e-11
hyp7 syncytium WBbt:0005734,0.7075204112014793,11,15.547254645728588,9.41958666284187e-12,6.767229365673238e-11
hermaphrodite distal tip cell WBbt:0006863,0.9089997335966026,12,13.201324000965418,1.113052365153118e-11,7.791366556071827e-11
posterior gonad arm WBbt:0005466,0.9558553899675615,12,12.554200275427897,2.0947510459871863e-11,1.4296675888862548e-10
male distal tip cell WBbt:0006864,2.914421826273643,19,6.5193033584617535,2.4956246650459673e-11,1.6617208135549978e-10
AVE WBbt:0006819,2.1225612336044377,16,7.538062858535073,7.601234808253279e-11,4.825900238728244e-10
lateral nerve cord WBbt:0006769,1.9398241737576984,15,7.732659589937472,1.8049534137870248e-10,1.0712006129649081e-09
AVA WBbt:0005842,2.703571372604328,14,5.178335642204228,1.2846119612834198e-07,4.804096786717446e-07
gonadal primordium WBbt:0008366,2.81602494789463,14,4.971546864478934,2.157639627349776e-07,7.959940787384984e-07
