Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,26.782426778242677,146,5.451335728792376,2.3170631502912625e-91,6.325582400295147e-89
pharynx WBbt:0003681,13.70162819488192,88,6.422594362389089,3.7889131580072323e-51,5.171866460679872e-49
hermaphrodite WBbt:0007849,6.099854261670819,56,9.180547206165704,3.898627928570336e-39,3.547751414999006e-37
tail WBbt:0005741,5.007302587247113,47,9.38629115797841,3.7311605520279175e-33,2.5465170767590536e-31
labial sensillum WBbt:0005107,8.11958378386849,56,6.896905246702114,1.402648702414722e-32,7.658461915184383e-31
PVD WBbt:0006831,7.840346011000894,54,6.88745113088528,2.4245673394623934e-31,1.103178139455389e-29
sex organ WBbt:0008422,4.340385187971103,39,8.985377636087271,7.218913312847659e-27,2.815376192010587e-25
excretory secretory system WBbt:0006850,2.5565166972247035,30,11.73471702045495,2.545586848239925e-24,8.686815119618745e-23
excretory cell WBbt:0005812,2.3314998511275133,29,12.438345207689204,2.74804512999576e-24,8.686815119618745e-23
reproductive tract WBbt:0005744,4.676554933947628,37,7.91180698668007,1.3376064363573644e-23,3.651665571255605e-22
gonadal primordium WBbt:0008366,1.629338849450739,20,12.274917526665575,2.9325652388103785e-17,7.278093729047575e-16
Z1.p WBbt:0007023,1.6808487298826258,19,11.303813164273727,7.900765481479291e-16,1.74344757191606e-14
male distal tip cell WBbt:0006864,1.6862708225596665,19,11.267466498150661,8.39619751891568e-16,1.74344757191606e-14
Z4.a WBbt:0007025,1.6781376835441055,19,11.32207457487837,7.663505810620045e-16,1.74344757191606e-14
amphid sensillum WBbt:0005391,3.6843119740491748,26,7.056948538325103,8.425505695366153e-16,1.74344757191606e-14
dorsal nerve cord WBbt:0006750,1.621205710435178,17,10.486022773406537,7.58565185581984e-14,1.2943018478992602e-12
midbody WBbt:0005740,1.9709306881043047,18,9.132741251957924,1.8120516579202195e-13,2.909941780071882e-12
nerve ring WBbt:0006749,2.3830097315594,19,7.9731105368028565,5.135289370227698e-13,7.788522211512008e-12
coelomic system WBbt:0005749,2.434519611991287,19,7.804414434131082,7.573702128086959e-13,1.0882214110356527e-11
somatic gonad WBbt:0005785,1.3880557253224266,13,9.365618226156068,1.7269134514004852e-10,2.3572368611616624e-09
corpus WBbt:0003733,5.755551376678732,24,4.169887197471133,7.962864893702825e-10,1.0351724361813672e-08
ventral nerve cord WBbt:0005829,3.806309059282591,19,4.991712365989823,1.9361673970407758e-09,2.2981465190962253e-08
male WBbt:0007850,1.8272452321627253,11,6.019991080770485,3.7935226855917726e-07,3.983198819871361e-06
