Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,22.757322175732217,129,5.668505239933811,1.0479711604674254e-85,2.8609612680760714e-83
pharynx WBbt:0003681,11.642423957500823,79,6.785528536701582,1.3586089403226614e-48,1.854501203540433e-46
hermaphrodite WBbt:0007849,5.183113158760754,50,9.646712018140589,1.9375369510363794e-36,1.7631586254431052e-34
reproductive tract WBbt:0005744,3.973720088383245,45,11.324401064773735,9.72132664289612e-36,6.634805433776602e-34
labial sensillum WBbt:0005107,6.899299515772649,48,6.957228033116418,1.7650442119449441e-28,9.637141397219395e-27
PVD WBbt:0006831,6.662028113393823,47,7.054908685465888,3.9116887675856547e-28,1.779818389251473e-26
ventral nerve cord WBbt:0005829,3.2342626110667103,34,10.512442583871156,5.08692335781609e-26,1.983900109548275e-24
tail WBbt:0005741,4.254760001880495,37,8.696142669303779,2.5729246741432255e-25,8.780105450513757e-24
sex organ WBbt:0008422,3.6880729631893185,34,9.218906550752719,3.7677583772161305e-24,1.1428867077555597e-22
dorsal nerve cord WBbt:0006750,1.3775562973061917,24,17.422155484267282,4.660352589293407e-24,1.2722762568771e-22
nerve ring WBbt:0006749,2.024869540689201,23,11.358756471872026,7.427929648827552e-19,1.843477085572656e-17
amphid sensillum WBbt:0005391,3.1306003478914954,25,7.985688756738899,1.2302719533625345e-16,2.798868693899766e-15
lateral nerve cord WBbt:0006769,0.9536928212119787,16,16.77689046633146,1.6023400275741886e-16,3.364914057905796e-15
midbody WBbt:0005740,1.674721451741808,18,10.748056031215787,8.941064204988302e-15,1.743507519972719e-13
coelomic system WBbt:0005749,2.0686380518076253,19,9.184787055133858,3.3218448190869066e-14,6.04575757073817e-13
somatic gonad WBbt:0005785,1.179446194349114,15,12.717833227040815,8.68991832056781e-14,1.4827173134468827e-12
corpus WBbt:0003733,4.890555216021814,25,5.111894027512088,3.5084428311404403e-12,5.634146428831413e-11
spermatheca WBbt:0005319,1.2669832165859622,13,10.260593692022262,4.954862365909865e-11,7.119354873123121e-10
excretory secretory system WBbt:0006850,2.1723003149828406,15,6.90512260047179,7.347044714581868e-10,9.551158128956428e-09
pharyngeal interneuron WBbt:0003668,2.365803206243242,15,6.340341394590942,2.469168124008865e-09,2.9307952080626963e-08
retrovesicular ganglion WBbt:0005656,2.469465469418457,15,6.074189003959793,4.51442646758021e-09,5.1351601068724896e-08
excretory cell WBbt:0005812,1.981101029570777,12,6.057237778832464,1.1746973610335458e-07,1.282769518248632e-06
striated muscle WBbt:0005779,3.328710450848573,14,4.2058329214038555,1.4276124743573692e-06,9.505809890233214e-06
