Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,18.732217573221757,95,5.071476435112799,9.61233611000875e-55,2.624167758032389e-52
pharynx WBbt:0003681,9.583219720119725,63,6.57399098005998,3.7164821884672486e-38,5.072998187257794e-36
hermaphrodite WBbt:0007849,4.266372055850689,39,9.141256198347106,5.868734280598902e-28,5.340548195345001e-26
tail WBbt:0005741,3.5022174165138766,31,8.851534988612313,7.0024872003707435e-22,4.7791975142530326e-20
PVD WBbt:0006831,5.483710215786752,34,6.200181749597064,5.402807104085589e-19,2.949932678830732e-17
labial sensillum WBbt:0005107,5.679015247676806,34,5.986953462382207,1.6087105295868821e-18,7.319632909620314e-17
sex organ WBbt:0008422,3.0357607384075345,26,8.564574826683735,3.508808478366637e-18,1.3684353065629882e-16
excretory secretory system WBbt:0006850,1.7880839327409777,20,11.185157270185709,1.2376873301498839e-16,4.2236080141364785e-15
reproductive tract WBbt:0005744,3.2708852428188613,25,7.643190801293568,2.3252641588303133e-16,7.053301281785283e-15
excretory cell WBbt:0005812,1.630702208014041,18,11.0381895060542,4.557924328550417e-15,1.244313341694264e-13
nerve ring WBbt:0006749,1.6667293498190026,16,9.599638958621272,1.155316557075743e-12,2.867285637106162e-11
amphid sensillum WBbt:0005391,2.576888721733816,18,6.985167752175578,1.3589985505691985e-11,3.0917217025449264e-10
male distal tip cell WBbt:0006864,1.179414852772946,12,10.174536950918126,2.3774334112589816e-10,4.707828114155459e-09
Z4.a WBbt:0007025,1.1737263566984784,12,10.223848115462156,2.2418229115025995e-10,4.707828114155459e-09
Z1.p WBbt:0007023,1.175622522056634,12,10.207358037856572,2.2862231661469634e-10,4.707828114155459e-09
striated muscle WBbt:0005779,2.73995894253522,17,6.204472532814779,3.122723053923866e-10,5.3281462107575964e-09
corpus WBbt:0003733,4.025559055364894,20,4.968254030044807,5.850335369898501e-10,9.394950329307593e-09
male WBbt:0007850,1.2780154513970508,12,9.389557838977856,6.280697385901576e-10,9.52572436861739e-09
thermosensory neuron WBbt:0005838,1.5870904047764562,12,7.561005953967831,8.29684738561413e-09,1.1921259664592934e-07
AWB WBbt:0005671,1.6136367197906383,12,7.436618076934282,1.0083893844985141e-08,1.3764515098404717e-07
midbody WBbt:0005740,1.3785122153793115,11,7.97961735650869,1.650985896408161e-08,2.1462816653306092e-07
ventral nerve cord WBbt:0005829,2.6622161628508296,14,5.258776576958396,7.793749215367306e-08,8.510774143181098e-07
