Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,51.087866108786606,291,5.696068796068797,1.4380050219118696e-191,3.925753709819404e-189
pharynx WBbt:0003681,26.136053782144703,171,6.542686261107314,6.41280663502937e-99,8.753481056815091e-97
tail WBbt:0005741,9.551502045037845,105,10.993035389083035,3.9674723319925445e-79,3.610399822113215e-77
labial sensillum WBbt:0005107,15.488223402754924,122,7.876952496585218,5.29661529690424e-76,3.614939940137144e-74
PVD WBbt:0006831,14.955573315782052,118,7.890035206840185,2.4179245661073845e-73,1.320186813094632e-71
hermaphrodite WBbt:0007849,11.63556015232006,106,9.110004040404041,1.45120358855031e-71,6.602976327903911e-70
sex organ WBbt:0008422,8.279347468384184,90,10.870421895406281,7.473792215674856e-67,2.9147789641131936e-65
reproductive tract WBbt:0005744,8.920596116778713,79,8.855910408432148,1.1033819476441745e-51,3.7652908963357455e-50
amphid sensillum WBbt:0005391,7.0278783320013165,69,9.818041340557897,5.306964245545541e-48,1.6097791544821475e-46
nerve ring WBbt:0006749,4.545625499506371,54,11.879553211293825,5.3081352448993676e-42,1.4491209218575274e-40
thermosensory neuron WBbt:0005838,4.328428376663062,51,11.78256761159987,1.4990243188082955e-39,3.7203058094060425e-38
AWB WBbt:0005671,4.400827417610832,51,11.588729836555924,3.434559642984277e-39,7.81362318778923e-38
ventral nerve cord WBbt:0005829,7.260589535047718,60,8.263791763791764,1.7028448587082977e-37,3.575974203287425e-36
dorsal nerve cord WBbt:0006750,3.0924733204832875,43,13.904727880814836,1.2193313323997478e-36,2.377696098179508e-35
anal depressor muscle WBbt:0004292,2.3995110714117813,37,15.419807993730407,1.8311480793703208e-33,3.332689504453984e-32
corpus WBbt:0003733,10.978797423722439,61,5.556164090266775,1.6322721774244014e-28,2.785064402730385e-27
midbody WBbt:0005740,3.759578769216304,38,10.107515318244342,2.0976916756205447e-27,3.3686460437906396e-26
excretory secretory system WBbt:0006850,4.876592543839029,41,8.407509881422925,2.709164976929997e-26,4.1089002150104955e-25
somatic gonad WBbt:0005785,2.647736354661276,32,12.085795454545455,7.913706425597469e-26,1.1370746600990048e-24
spermatheca WBbt:0005319,2.844248037233793,32,11.25077685950413,7.61269158184908e-25,1.0391324009223994e-23
lateral nerve cord WBbt:0006769,2.1409430680268913,26,12.144180939833113,1.851898690612544e-21,2.4074682977963075e-20
lateral ganglion WBbt:0005105,2.735649475812138,28,10.235229420862693,7.011935794713556e-21,8.701174872530913e-20
intestinal muscle WBbt:0005796,1.0342720135395609,19,18.370409090909092,7.299509110301572e-20,8.664199943966649e-19
excretory cell WBbt:0005812,4.447369658220111,33,7.420116279069768,7.743649722833616e-20,8.80840155972324e-19
coelomic system WBbt:0005749,4.643881340792628,31,6.675450496051833,1.9512286293702164e-17,2.1307416632722763e-16
pharyngeal interneuron WBbt:0003668,5.3109867895256455,30,5.648667787908294,5.744135382363495e-15,6.031342151481669e-14
hermaphrodite distal tip cell WBbt:0006863,1.003243853133374,14,13.95473289597001,1.456703329839813e-13,1.4728889223935888e-12
male WBbt:0007850,3.4854966856283203,23,6.598772592392771,2.319654109779094e-13,2.261662757034617e-12
posterior gonad arm WBbt:0005466,1.054957453810352,14,13.270677361853833,3.0393410609190616e-13,2.861172791830703e-12
posterior lateral ganglion WBbt:0005465,0.8946452917117201,13,14.5308985811876,5.09888400745578e-13,4.639984446784759e-12
retrovesicular ganglion WBbt:0005656,5.543697992572047,28,5.050780189959294,6.740914398084989e-13,5.936353647345813e-12
preanal ganglion WBbt:0005448,0.9153307319825115,12,13.110015408320493,1.1957307797363336e-11,1.0201078214625595e-10
AVA WBbt:0005842,2.9838747590616332,19,6.367559476918229,3.870655202172858e-11,3.20208748543391e-10
striated muscle WBbt:0005779,7.472615297823328,28,3.7470147845234347,7.647747217542084e-10,6.140691148202909e-09
Z4.a WBbt:0007025,3.2010718819049413,18,5.623116463504185,9.03109360225757e-10,7.044253009760904e-09
Z1.p WBbt:0007023,3.2062432419726385,18,5.614046920821115,9.273416062429958e-10,7.044253009760904e-09
male distal tip cell WBbt:0006864,3.2165859621080344,18,5.59599532300497,9.776250001237945e-10,7.213287163075564e-09
gonadal primordium WBbt:0008366,3.1079874006863806,16,5.148026017243987,2.3077239976158176e-08,1.368920765178386e-07
AVE WBbt:0006819,2.3426261106671054,12,5.1224563515954245,8.942911188019798e-07,3.7560226989683154e-06
BAG WBbt:0006825,2.482252832494946,11,4.4314583333333335,9.47098294974543e-06,2.9719291325063243e-05
