Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,23.376569037656903,123,5.261678897440487,1.0949054999729132e-73,2.989092014926053e-71
pharynx WBbt:0003681,11.959224609405608,85,7.107484203712487,2.3476437702197005e-54,3.204533746349891e-52
hermaphrodite WBbt:0007849,5.324150251516149,44,8.264229580573952,4.5337292801156055e-29,4.125693644905201e-27
PVD WBbt:0006831,6.843307789948757,47,6.8680236871754,1.5401357925244772e-27,1.0511426783979557e-25
labial sensillum WBbt:0005107,7.0870355570181625,47,6.631827880905261,7.06332633582443e-27,3.8565761793601386e-25
reproductive tract WBbt:0005744,4.081848526162381,35,8.574546501583644,9.728731487527207e-24,4.426572826824879e-22
sex organ WBbt:0008422,3.788428690078824,33,8.710735426120264,1.1826140516724148e-22,4.6121948015224176e-21
excretory secretory system WBbt:0006850,2.231410527635435,25,11.203675742487341,3.6288843090520325e-20,1.238356770464006e-18
tail WBbt:0005741,4.3705357842445895,32,7.321756777591728,1.006949432651547e-19,3.0544132790430257e-18
ventral nerve cord WBbt:0005829,3.322269756946077,25,7.524975943850116,5.252281706158226e-16,1.4338729057811956e-14
excretory cell WBbt:0005812,2.0350085405795055,20,9.827968581549362,2.0894843094814705e-15,5.185720149894922e-14
nerve ring WBbt:0006749,2.079968031592309,20,9.615532400605746,3.2022409093535726e-15,7.285098068779378e-14
corpus WBbt:0003733,5.02363154843057,27,5.3745979854822465,1.55176204570137e-13,3.258700295972877e-12
midbody WBbt:0005740,1.7202921034898844,16,9.300746057917415,2.2536123131825462e-12,4.101574409992234e-11
coelomic system WBbt:0005749,2.1249275226051116,17,8.000272865381495,6.247627534909674e-12,1.0032954806060829e-10
somatic gonad WBbt:0005785,1.211539968345008,12,9.904749586092715,3.5976184986731566e-10,5.456388056320954e-09
anal depressor muscle WBbt:0004292,1.0979580963126636,11,10.018597282484585,1.4277926377674621e-09,2.0515125795290377e-08
dorsal nerve cord WBbt:0006750,1.4150408224029587,12,8.480320715851956,2.328350919807144e-09,3.1781990055367516e-08
striated muscle WBbt:0005779,3.4192876059737043,17,4.971795870666147,1.1702959778871022e-08,1.5213847712532328e-07
pharyngeal interneuron WBbt:0003668,2.4301788036920375,14,5.760892975747532,2.6917431640758505e-08,3.3402085626941233e-07
amphid sensillum WBbt:0005391,3.2157867519157537,16,4.975454292940368,2.885893942159737e-08,3.4254306356939486e-07
retrovesicular ganglion WBbt:0005656,2.5366618087223607,13,5.124845556983296,3.081671807016932e-07,3.2357553973677786e-06
