Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
tail WBbt:0005741,65.61572229900008,134,2.042193475968823,9.125465950952839e-18,2.482126738659172e-15
sex organ WBbt:0008422,56.876432810340624,118,2.07467300900324,5.14880821344374e-16,7.002379170283487e-14
amphid sensillum WBbt:0005391,48.27924558978945,104,2.154134736976812,3.712572751222339e-15,3.3660659611082544e-13
hermaphrodite WBbt:0007849,79.93252581090968,145,1.8140300025425884,9.5440338535102e-15,6.489943020386936e-13
AWB WBbt:0005671,30.232257540037395,74,2.4477166451099395,1.1333182478276342e-13,6.16525126818233e-12
thermosensory neuron WBbt:0005838,29.7348996016584,73,2.455027626726158,1.4509142340951183e-13,6.5774778612312034e-12
ventral nerve cord WBbt:0005829,49.87789610600764,97,1.944749229074172,1.9271569468551575e-11,7.488381279208612e-10
nerve ring WBbt:0006749,31.22697341679538,65,2.081533779544573,4.0977582808072885e-09,1.393237815474478e-07
lateral ganglion WBbt:0005105,18.793024957320544,46,2.447716645109939,5.56096434603856e-09,1.68064700235832e-07
pharynx WBbt:0003681,179.5462157548167,236,1.31442480704954,1.1587046879004674e-08,3.1516767510892713e-07
anal depressor muscle WBbt:0004292,16.483863100560928,41,2.487281030537363,2.2438477654884974e-08,5.548423565571557e-07
midbody WBbt:0005740,25.827087228680597,54,2.0908281108848312,7.411316305868372e-08,1.6798983626634976e-06
labial sensillum WBbt:0005107,106.39907324607755,153,1.4379824497732683,1.33998514916321e-07,2.8036612351722548e-06
PVD WBbt:0006831,102.73993984228925,148,1.4405303354001096,2.178626337069905e-07,3.9505757578867605e-06
dorsal nerve cord WBbt:0006750,21.24428908218844,46,2.165287801443408,2.386278926131723e-07,4.056674174423928e-06
AVE WBbt:0006819,16.093081863263148,35,2.1748475709862047,5.165939680875303e-06,7.025677965990413e-05
somatic gonad WBbt:0005785,18.189090317860337,38,2.089164402173913,5.710754705460979e-06,7.396787047073268e-05
anal sphincter muscle WBbt:0005798,4.582798146492155,15,3.273109467298175,1.306333898943997e-05,0.000148051175213653
male WBbt:0007850,23.944232176245833,45,1.879367008671207,1.4891509602998633e-05,0.00016201962448062512
posterior lateral ganglion WBbt:0005465,6.145923095683278,17,2.7660612954855095,4.3288145593445594e-05,0.00044867433954739853
preanal ganglion WBbt:0005448,6.2880253637915615,17,2.7035514357005264,5.8575531454416344e-05,0.0005493980881241808
lateral nerve cord WBbt:0006769,14.707584749207383,30,2.0397638709249493,7.343383335291239e-05,0.0006443226668384571
reproductive tract WBbt:0005744,61.28160312169742,89,1.452311876098564,8.213480994158279e-05,0.0006676759694961465
HSN WBbt:0006830,3.9078123729778067,12,3.0707717911379238,0.0001384066222217585,0.0010457389234532865
corpus WBbt:0003733,75.42077879847167,101,1.3391535013166247,0.0005853394491727199,0.004082367440384098
uterine muscle WBbt:0005342,4.689374847573368,12,2.5589764926149368,0.0008304669594007095,0.005647175323924824
hyp7 syncytium WBbt:0005734,5.364360621087717,13,2.4234015790989134,0.0009672969496310432,0.006066644830779207
pharyngeal-intestinal valve WBbt:0005767,5.790667425412568,13,2.244991646895312,0.0020130621197419238,0.011650061629144752
spermatheca WBbt:0005319,19.53906186488903,32,1.6377449552735595,0.0022608894171136807,0.012464327394240846
posterior gonad arm WBbt:0005466,7.247215673522478,15,2.0697603984385515,0.0025407105235673304,0.013039118158685166
nervous system WBbt:0005735,350.9570766604341,372,1.0599586808159045,0.003287709989125533,0.01568872135161658
hermaphrodite distal tip cell WBbt:0006863,6.891960003251769,14,2.0313524735190733,0.00390952100260863,0.018023554452704194
intestinal muscle WBbt:0005796,7.105113405414195,14,1.970411899313501,0.005181941050294219,0.02308201328288842
retrovesicular ganglion WBbt:0005656,38.08340785302008,52,1.3654240240445372,0.008377175501463508,0.033508702005854034
excretory secretory system WBbt:0006850,33.500609706527925,46,1.3731093375006977,0.01115104575563984,0.042719499232873756
