Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
hermaphrodite WBbt:0007849,35.302007966831965,66,1.8695820379965458,3.331040703048257e-08,9.06043071229126e-06
dorsal nerve cord WBbt:0006750,9.382489228518008,28,2.9842826693468725,5.4046269893953917e-08,9.06043071229126e-06
sex organ WBbt:0008422,25.119339891065767,50,1.9904981666251338,3.7160830189231587e-07,3.369248603823664e-05
ventral nerve cord WBbt:0005829,22.028452971303146,45,2.042812541517205,7.588264101874177e-07,5.16001958927444e-05
tail WBbt:0005741,28.979026095439394,53,1.8289089435045207,2.3072331929189937e-06,0.00012551348569479325
head muscle WBbt:0006761,2.792781074709373,10,3.5806601851312805,0.00011368729043688153,0.005153823833138629
ABprappaa WBbt:0006350,0.5491423461507194,4,7.284085862324204,0.00019990950018692976,0.007767912007263555
ABprappap WBbt:0006220,0.5648321274693114,4,7.0817501439263095,0.00022922300921295716,0.007793582313240543
nerve ring WBbt:0006749,13.791317779042354,27,1.9577534527577853,0.00025431518742348403,0.007793582313240543
pharynx WBbt:0003681,79.29615478416389,100,1.261095197770811,0.0009622045185770604,0.026171962905296043
midbody WBbt:0005740,11.406471018616372,22,1.9287297503403156,0.0010324603250969314,0.026171962905296043
pharyngeal-intestinal valve WBbt:0005767,2.5574343549304936,8,3.128135032899965,0.0010727175012306479,0.026171962905296043
AIY WBbt:0005413,1.2238029428501749,5,4.085625083034409,0.0013892365790953993,0.029067103808765277
excretory secretory system WBbt:0006850,14.79546378343224,26,1.757295369754779,0.0016634865332801545,0.03231916693230014
excretory cell WBbt:0005812,13.493211933989105,23,1.7045607904566817,0.004208020506454489,0.0340459587647075
P4.p WBbt:0006892,1.004146004389887,4,3.983484455958549,0.003254393117214687,0.0340459587647075
P8.p WBbt:0006896,1.019835785708479,4,3.922200079713033,0.0034815514833997467,0.0340459587647075
P3.p WBbt:0006891,1.004146004389887,4,3.983484455958549,0.003254393117214687,0.0340459587647075
EMS WBbt:0006876,1.082594910982847,4,3.694826162048509,0.004504960305376815,0.03500997723035696
P5.p WBbt:0006893,1.1139744736200308,4,3.59074655184996,0.005089724485455638,0.03741635297416036
P6.p WBbt:0006894,1.1296642549386229,4,3.5408750719631548,0.005401410904693608,0.03791827101742501
P7.p WBbt:0006895,1.1296642549386229,4,3.5408750719631548,0.005401410904693608,0.03791827101742501
anal depressor muscle WBbt:0004292,7.28005853182668,14,1.9230614614972308,0.006425295432220751,0.0416114370848582
