Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,18.577405857740583,110,5.921171171171172,1.6424620185486407e-78,4.483921310637789e-76
pharynx WBbt:0003681,9.504019557143529,66,6.944430154333201,6.686618100458906e-42,9.127233707126407e-40
labial sensillum WBbt:0005107,5.632081237365427,43,7.6348330550918195,1.0271906641952868e-27,9.34743504417711e-26
hermaphrodite WBbt:0007849,4.23111278266184,38,8.98108888888889,5.599659799103048e-27,3.8217678128878305e-25
PVD WBbt:0006831,5.438390296648019,41,7.53899550484094,3.568447992206788e-26,1.9483726037449065e-24
tail WBbt:0005741,3.473273470922853,30,8.63738494856524,6.512825859599619e-21,2.9633357661178266e-19
sex organ WBbt:0008422,3.010671806685158,26,8.635946283572768,2.7921765141833574e-18,1.0889488405315094e-16
amphid sensillum WBbt:0005391,2.555592120727751,21,8.217273730684328,1.2291833446806481e-14,4.194588163722712e-13
excretory secretory system WBbt:0006850,1.773306379577829,17,9.586611876988336,2.553839150753796e-13,7.746645423953181e-12
thermosensory neuron WBbt:0005838,1.5739739551502046,16,10.165352449223416,4.631070218591253e-13,1.264282169675412e-11
AWB WBbt:0005671,1.6003008791312117,16,9.998119858989423,6.025231591132617e-13,1.4953529312538222e-11
corpus WBbt:0003733,3.9922899722627045,23,5.761104569006124,1.495927768127026e-12,3.183389392067633e-11
reproductive tract WBbt:0005744,3.2438531333740777,21,6.473782608695652,1.3992920404692894e-12,3.183389392067633e-11
excretory cell WBbt:0005812,1.6172253302618589,15,9.27514534883721,8.714763260449835e-12,1.699378835787718e-10
midbody WBbt:0005740,1.3671195524422923,14,10.24050894085282,9.614953498664213e-12,1.7499215367568866e-10
somatic gonad WBbt:0005785,0.9628132198768277,11,11.424853515625,3.015422245614011e-10,4.842413370897794e-09
nerve ring WBbt:0006749,1.6529547270932257,13,7.8647042093287824,1.391193935891867e-09,1.9989260236762088e-08
ventral nerve cord WBbt:0005829,2.640214376380988,15,5.681356837606838,1.008063087354893e-08,1.2870719925168702e-07
pharyngeal interneuron WBbt:0003668,1.931267923463871,13,6.73132911392405,9.900553788591309e-09,1.2870719925168702e-07
striated muscle WBbt:0005779,2.717314653753937,15,5.520155709342561,1.5027331692431633e-08,1.783678935666885e-07
retrovesicular ganglion WBbt:0005656,2.0158901791171076,13,6.448763992537314,1.6884213886164912e-08,1.9205793295512587e-07
