Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,12.694560669456067,69,5.435398813447594,1.8079126146989825e-44,4.935601438128222e-42
pharynx WBbt:0003681,6.494413364048078,45,6.929032304767053,2.37275820129254e-29,3.238814944764317e-27
tail WBbt:0005741,2.3734035384639496,28,11.797403832186669,5.6071946236690474e-24,5.102547107538833e-22
hermaphrodite WBbt:0007849,2.8912604014855905,27,9.33848780487805,1.9088625101148622e-20,1.3027986631533935e-18
labial sensillum WBbt:0005107,3.848588845533042,30,7.7950649456411085,2.0118190842737678e-20,1.3027986631533935e-18
PVD WBbt:0006831,3.716233369376146,29,7.803600344094727,9.356860515700904e-20,4.257371534643911e-18
sex organ WBbt:0008422,2.057292401234858,23,11.179742843649548,2.6471328734588864e-19,1.0323818206489657e-17
ventral nerve cord WBbt:0005829,1.8041464905270086,21,11.639853033145716,4.213907065518994e-18,1.4379957861083568e-16
dorsal nerve cord WBbt:0006750,0.768432764483726,14,18.218900399706335,1.774604919639795e-15,5.3829682562407114e-14
amphid sensillum WBbt:0005391,1.746321282497297,18,10.307381683088353,8.472653269543165e-15,2.3130343425852843e-13
reproductive tract WBbt:0005744,2.216632974472286,18,8.120424178154826,5.694752629025118e-13,1.413334061567143e-11
corpus WBbt:0003733,2.7280648143795148,18,6.598083705754628,2.0441996968442586e-11,4.6505543103206886e-10
excretory cell WBbt:0005812,1.105103975678937,12,10.858706749858197,8.394550582963355e-11,1.7628556224223047e-09
nerve ring WBbt:0006749,1.1295190635137042,12,10.623990676766836,1.0961663938431809e-10,2.1375244679942025e-09
excretory secretory system WBbt:0006850,1.2117593593781832,12,9.902956314822957,2.57724392707681e-10,4.690583947279794e-09
thermosensory neuron WBbt:0005838,1.0755488693526396,11,10.227336305621122,8.586902554083861e-10,1.4651402482905587e-08
AWB WBbt:0005671,1.0935389340729946,11,10.059084004471066,1.034312289355025e-09,1.6609838529054224e-08
