Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,20.1255230125523,112,5.565072765072766,8.049292590567135e-73,2.197456877224828e-70
pharynx WBbt:0003681,10.29602118690549,75,7.284367294755106,2.3281946336156822e-49,3.1779856748854063e-47
labial sensillum WBbt:0005107,6.101421340479213,49,8.030915628611789,1.8504753227150015e-32,1.6839325436706512e-30
sex organ WBbt:0008422,3.2615611239089213,38,11.650862441743142,6.26818571668078e-31,4.278036751634632e-29
hermaphrodite WBbt:0007849,4.583705514550327,41,8.944728205128206,8.021507340701366e-29,4.379743008022946e-27
PVD WBbt:0006831,5.891589488035354,44,7.4682732205553775,1.0601411193119774e-27,4.823642092869497e-26
corpus WBbt:0003733,4.324980803284597,39,9.017381064531325,1.5416432878514072e-27,6.012408822620488e-26
tail WBbt:0005741,3.7627129268330908,33,8.770267793927783,5.511245378822462e-23,1.8807124855231652e-21
reproductive tract WBbt:0005744,3.5141742278219175,32,9.105979933110367,8.171287398191643e-23,2.4786238441181317e-21
lateral ganglion WBbt:0005105,1.0776800965320545,20,18.558383015849934,4.987336315109278e-21,1.3615428140248329e-19
ventral nerve cord WBbt:0005829,2.860232241079404,28,9.789414858645628,5.9451354689578516e-21,1.475474530023176e-19
retrovesicular ganglion WBbt:0005656,2.1838810273768665,25,11.447510045924226,1.5869724339001832e-20,3.6103622871229166e-19
anal depressor muscle WBbt:0004292,0.9452619372228229,18,19.042340848806365,2.3355320443197444e-19,4.904617293071463e-18
amphid sensillum WBbt:0005391,2.7685581307883975,26,9.391169977924944,4.192231705273511e-19,8.174851825283347e-18
pharyngeal interneuron WBbt:0003668,2.09220691708586,22,10.515212343644672,1.7819823233885624e-17,3.2432078285671834e-16
somatic gonad WBbt:0005785,1.0430476548665633,17,16.298392427884615,3.155904227166131e-17,5.384761587602211e-16
thermosensory neuron WBbt:0005838,1.7051384514127215,20,11.72925282602702,5.337484135407894e-17,8.571371582155029e-16
AWB WBbt:0005671,1.7336592857254791,20,11.536292144987797,7.420382068388553e-17,1.125424613705597e-15
male WBbt:0007850,1.3730744519141866,17,12.380974663318877,3.649082701433678e-15,5.243155671007337e-14
AVA WBbt:0005842,1.1754658141757948,15,12.76089854686042,7.64661844640969e-14,9.940603980332597e-13
nerve ring WBbt:0006749,1.7907009543509944,16,8.935048569178262,3.7968821015305506e-12,4.3189533904910016e-11
striated muscle WBbt:0005779,2.9437575415667654,18,6.114634016502529,1.383275901659364e-10,1.3986456339000235e-09
spermatheca WBbt:0005319,1.1204613480011911,11,9.817384615384615,1.7117694956212783e-09,1.6114243872572724e-08
midbody WBbt:0005740,1.4810461818124834,12,8.102380700454978,3.783775961750783e-09,3.3321639921224636e-08
dorsal nerve cord WBbt:0006750,1.2182470656449313,11,9.029367121173141,4.345655829358359e-09,3.595042549741915e-08
excretory secretory system WBbt:0006850,1.9210819112093147,13,6.767020148462354,9.666989746541074e-09,7.330800557793647e-08
excretory cell WBbt:0005812,1.7519941077836805,12,6.8493381037567085,2.7221525057671024e-08,1.955651668616892e-07
coelomic system WBbt:0005749,1.8294078009183081,12,6.559499743018674,4.492224337749797e-08,3.144557036424858e-07
