Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,37.580396525851484,1160,30.867157008363076,0.0,0.0
reproduction GO:0000003,21.813552513907204,758,34.74903959438693,0.0,0.0
embryo development GO:0009790,22.59088819163395,833,36.873273548779,0.0,0.0
organelle part GO:0044422,41.34325153219246,546,13.206508432817627,0.0,0.0
intrinsic component of membrane GO:0031224,68.79076794042007,613,8.911079471171503,0.0,0.0
sex differentiation GO:0007548,7.436282014359409,272,36.57741859100689,0.0,0.0
cellular component organization or biogenesis GO:0071840,37.14701468782684,541,14.56375443750765,0.0,0.0
membrane-bounded organelle GO:0043227,68.79076794042007,876,12.734266911494675,0.0,0.0
cytoplasm GO:0005737,55.29401927050965,853,15.426623190963014,0.0,0.0
establishment of localization GO:0051234,68.79076794042007,561,8.15516408373118,0.0,0.0
developmental process GO:0032502,39.045639882982435,1211,31.01498665739115,0.0,0.0
reproductive system development GO:0061458,6.913472178012217,257,37.17379536398069,5.0413e-319,1.0586725e-317
nucleus GO:0005634,46.55071266528226,474,10.182443465650987,2.186652e-317,4.23874085e-316
receptor-mediated endocytosis GO:0006898,5.338163592176597,196,36.716746614369384,5.059832932384401e-242,9.107699278291921e-241
cell periphery GO:0071944,14.549247419398846,262,18.007804283448323,8.903846312505393e-237,1.4958461805009061e-235
multi-organism reproductive process GO:0044703,5.042363290032791,169,33.516030138895644,2.7080112707847643e-201,4.265117751486004e-200
non-membrane-bounded organelle GO:0043228,27.76395394075354,293,10.55325191164208,7.612797061248093e-198,1.1284852114320703e-196
regulation of metabolic process GO:0019222,43.89538902278205,349,7.9507211980480745,3.6601702071808904e-196,5.124238290053246e-195
growth GO:0040007,4.615860528802187,160,34.66309239666735,2.8695358249163463e-193,3.805910673046943e-192
single-organism localization GO:1902578,23.010511876070513,259,11.255725270038157,1.4086454777559862e-181,1.7748933019725426e-180
biosynthetic process GO:0009058,68.79076794042007,398,5.785660080793243,2.616573650802704e-175,3.139888380963245e-174
cell death GO:0008219,5.241856517060009,153,29.18813201049098,3.029221674804915e-172,3.469835736594721e-171
maintenance of location GO:0051235,5.152428518737463,145,28.142069215068005,7.887271888141032e-161,8.641706590484957e-160
mitochondrion GO:0005739,8.2204967688802,166,20.193426828949733,1.5853584706527908e-158,1.66462639418543e-157
catabolic process GO:0009056,15.450406479418346,201,13.00936646992131,4.501325740593169e-153,4.537336346517914e-152
ion binding GO:0043167,68.79076794042007,369,5.364091883951525,1.3205417311211392e-151,1.2799096778558733e-150
regulation of gene expression GO:0010468,36.63108392827369,278,7.589183015832786,2.1610881268629181e-150,2.017015585072057e-149
macromolecule biosynthetic process GO:0009059,63.741525573593236,353,5.5379910791818325,5.15702929139887e-149,4.641326362258983e-148
organelle fission GO:0048285,4.657134989566439,128,27.484709008169915,8.716255068671724e-141,7.574125094156119e-140
cell communication GO:0007154,61.84977945523168,326,5.270835286259451,2.6117581490411294e-131,2.1938768451945487e-130
signaling GO:0023052,61.203146236591735,321,5.244828407335743,1.172164839756549e-128,9.528565794150011e-128
macromolecule modification GO:0043412,56.50473678626104,294,5.203103610801798,9.673804441662392e-117,7.618120997809133e-116
nervous system development GO:0007399,3.116221787701029,99,31.769240684578026,2.832418615261036e-116,2.162937851653882e-115
localization of cell GO:0051674,2.538379337001501,93,36.6375500479206,7.23665919419084e-116,5.36364152040027e-115
organic cyclic compound biosynthetic process GO:1901362,49.36425507404544,274,5.550574997819885,3.153819205195067e-115,2.2707498277404484e-114
aromatic compound biosynthetic process GO:0019438,48.47685416761402,269,5.549039941203756,4.5493648491618393e-113,3.1845553944132873e-112
heterocycle biosynthetic process GO:0018130,48.92399415922676,270,5.5187644557651,6.058128671091877e-113,4.126076824635549e-112
endoplasmic reticulum GO:0005783,6.211806345019932,120,19.318052324056307,1.0511275021185126e-112,6.970635014049084e-112
membrane-enclosed lumen GO:0031974,9.135413982487785,132,14.44926308244362,6.803831958794594e-107,4.396322188759584e-106
carbohydrate derivative binding GO:0097367,64.14739110444172,296,4.6143731631745855,1.1545934903637318e-104,7.27393898929151e-104
transporter activity GO:0005215,42.69155058382469,243,5.691992834105907,2.4103110594890285e-104,1.4814594804664274e-103
oxidation-reduction process GO:0055114,28.665113000773044,196,6.837579883069509,7.591192453566946e-98,4.554715472140167e-97
oviposition GO:0018991,2.7722679479989285,83,29.939385931259224,1.434543920824452e-95,8.407094605761905e-95
nucleoside phosphate binding GO:1901265,68.79076794042007,293,4.259292471538744,2.6778493610937458e-95,1.5336773613536907e-94
phosphorus metabolic process GO:0006793,54.21400421384506,258,4.758917990678735,6.921005452342034e-94,3.875763053311539e-93
extracellular region GO:0005576,11.467421015668025,131,11.423667084431077,5.509240284449494e-93,3.0181055471332013e-92
mitotic cell cycle GO:0000278,3.811008543899272,89,23.35339818182059,6.690592504764735e-92,3.587296406810028e-91
organic acid metabolic process GO:0006082,12.9533016031811,135,10.422053321667923,1.3245022001189803e-90,6.953636550624647e-90
transmembrane transport GO:0055085,44.10864040339735,225,5.1010413819662865,1.8199900366912095e-87,9.35994876012622e-87
protein complex subunit organization GO:0071822,6.741495258161168,101,14.981839507745807,7.027928230303886e-84,3.5420758280731586e-83
cytoskeleton GO:0005856,8.316803843996786,106,12.745280757885453,1.5437005935407505e-80,7.62769705043665e-80
protein complex biogenesis GO:0070271,6.108620193109302,93,15.224387350994036,4.457933666539565e-78,2.160383238399943e-77
immune system process GO:0002376,2.3457651867683245,68,28.988408722051645,8.855217048387622e-78,4.2104050871578884e-77
female gamete generation GO:0007292,2.0362067310364345,65,31.922102510148775,1.7060329742711944e-77,7.961487213265574e-77
envelope GO:0031975,5.881610658905916,91,15.47195237450954,4.30393535819734e-77,1.9719849277558723e-76
organelle localization GO:0051640,1.7610436592747538,62,35.20639574917371,4.972687370129894e-77,2.2377093165584523e-76
"hydrolase activity, acting on acid anhydrides GO:0016817",25.404430600397134,162,6.376840423948236,1.1432811347189788e-76,5.054506069283907e-76
protein catabolic process GO:0030163,7.106086328245393,95,13.368821544201115,2.3208264581538968e-74,1.0083590818185897e-73
cell morphogenesis involved in differentiation GO:0000904,1.4170898195726533,56,39.517608006588965,4.1159275695295296e-73,1.7579894025787145e-72
cell part morphogenesis GO:0032990,1.4721224339249894,56,38.040314249333306,4.883382524891132e-72,2.0510206604542755e-71
chromosome segregation GO:0007059,2.7585097944108448,67,24.28847638523962,4.261309089761788e-71,1.7604096567540503e-70
taxis GO:0042330,1.767922736068796,58,32.80686356744892,2.982002537380373e-70,1.2120397409997645e-69
regulation of protein metabolic process GO:0051246,8.39935276552529,96,11.429452087549775,1.0019616069579271e-68,4.0078464278317084e-68
nucleobase-containing small molecule metabolic process GO:0055086,9.90587058342049,102,10.296924348145428,1.9524380705215993e-68,7.687724902678798e-68
ribonucleoprotein complex GO:1990904,13.620572052203174,114,8.369692518278637,1.3414017244812449e-66,5.20051130106575e-66
actin filament-based process GO:0030029,3.5633617793137597,68,19.083103039033997,1.3087698121518371e-64,4.997121100943378e-64
mitochondrial envelope GO:0005740,4.099929769249036,70,17.073463190766205,6.047625551151114e-63,2.27462931177624e-62
DNA binding GO:0003677,49.378013227633524,200,4.050385726902304,1.8510660743226968e-61,6.859833098960582e-61
gene silencing GO:0016458,1.5202759714832836,49,32.23099024066815,2.0612984808146314e-59,7.528220538627349e-59
glycosyl compound metabolic process GO:1901657,4.677772219948565,70,14.964388326024496,7.0301832087907245e-59,2.530865955164661e-58
organelle inner membrane GO:0019866,3.480812857785256,61,17.524642229347716,6.472114209901059e-56,2.297144761824038e-55
purine-containing compound metabolic process GO:0072521,5.372558976146807,71,13.215303976229428,7.394043748946041e-56,2.5879153121311143e-55
cellular amide metabolic process GO:0043603,17.699864591070085,115,6.497224846455586,1.0218855493639253e-55,3.5276049101330025e-55
cellular macromolecule localization GO:0070727,9.135413982487785,86,9.41391382644054,7.004096801928743e-55,2.3851789109270852e-54
nuclear outer membrane-endoplasmic reticulum membrane network GO:0042175,3.5564827025197174,60,16.87060082071842,4.996123191034877e-54,1.6786973921877187e-53
regulation of molecular function GO:0065009,12.4786453043922,96,7.693142777782952,3.487204196115904e-53,1.1562834966068523e-52
contractile fiber GO:0043292,1.4514852035428634,44,30.313777841208733,2.3391977402436782e-52,7.655556240797493e-52
cation transport GO:0006812,19.90804824195757,117,5.877020116588552,3.447419201245134e-52,1.1137815880945818e-51
ribose phosphate metabolic process GO:0019693,5.400075283322976,67,12.407234433733867,4.7925441043556796e-51,1.5287609041742168e-50
secretion GO:0046903,3.047431019760609,54,17.719843254808758,4.334963690388785e-50,1.3655135624724673e-49
response to organic substance GO:0010033,13.035850524709604,94,7.210883541647085,1.013218699323987e-49,3.1522359534524038e-49
regulation of cell cycle process GO:0010564,2.049964884624518,47,22.9272219990289,1.698431997657379e-49,5.219571504995848e-49
chromosome GO:0005694,7.6976869325330055,75,9.743186577649041,3.1490109216277716e-49,9.560852436749378e-49
cellular response to chemical stimulus GO:0070887,12.623105917067084,91,7.209002332537141,3.405266235354624e-48,1.0215798706063871e-47
phosphorylation GO:0016310,34.01015566974368,146,4.292835393572909,4.36796340722824e-48,1.294972680731196e-47
ATPase activity GO:0016887,9.76828904753965,81,8.292137917479169,1.1844035866714146e-47,3.4705779516418196e-47
Golgi apparatus GO:0005794,3.5289663953435495,54,15.3019309198446,1.4273923723692001e-46,4.1345158372073386e-46
zinc ion binding GO:0008270,42.271926899388134,157,3.714048814800361,6.994749001431866e-44,2.0030417595009434e-43
extracellular space GO:0005615,5.44822882088127,60,11.012753313524522,5.965061865987979e-43,1.6889838092460345e-42
microtubule cytoskeleton organization GO:0000226,1.6303412001879556,39,23.921373020263392,2.353125192157482e-42,6.588750538040949e-42
generation of precursor metabolites and energy GO:0006091,3.2881987075520795,49,14.901775822568327,6.043491707016234e-42,1.673582318866034e-41
cellular response to DNA damage stimulus GO:0006974,7.209272480156024,65,9.016166357828281,6.358938440167029e-41,1.7417961814370557e-40
supramolecular complex GO:0099080,2.5452584137955427,44,17.28704628241903,7.474231180524464e-41,2.0252755456904998e-40
small molecule catabolic process GO:0044282,2.242579034857694,42,18.728436923368083,1.2089205034822727e-40,3.240935817846093e-40
protein serine/threonine kinase activity GO:0004674,6.246201728990143,61,9.765934986839145,1.4553847500648588e-40,3.860599547540467e-40
organonitrogen compound catabolic process GO:1901565,3.5908780864899277,48,13.367204021933214,7.221207855366141e-39,1.8955670620336122e-38
regulatory region nucleic acid binding GO:0001067,1.4446061267488215,35,24.22805728975395,1.571500167910339e-38,4.0826602300351076e-38
cellular homeostasis GO:0019725,4.0930506924549945,50,12.215827204917955,1.9630216580293287e-38,5.047769977789702e-38
ion homeostasis GO:0050801,1.5959458162177456,35,21.930569098484177,6.750764114852321e-37,1.7183763201442273e-36
cell proliferation GO:0008283,1.4652433571309476,34,23.204336559200964,7.96953173241179e-37,2.008321996567771e-36
protein modification by small protein conjugation GO:0032446,4.031139001308616,47,11.659235760598317,2.3740022752201462e-35,5.923253201539375e-35
system process GO:0003008,12.065900696749681,74,6.132985995810007,5.573405003035284e-35,1.376958883102835e-34
