Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,36.48073204607969,213,5.838698624001147,3.3877029450599607e-109,5.3470940938316037e-107
single-multicellular organism process GO:0044707,35.11174051580925,210,5.980905444019397,2.1303163720444637e-109,5.3470940938316037e-107
embryo development GO:0009790,21.106892889239905,150,7.10668314787671,6.1565053866411e-85,5.150942840156387e-83
reproduction GO:0000003,20.38062038726545,147,7.212734313615445,5.708957380367886e-84,3.5823707561808486e-82
cytoplasm GO:0005737,51.66175549443068,156,3.019641870606146,1.1247547572837095e-38,5.646268881564222e-37
sex differentiation GO:0007548,6.947792695879517,50,7.196530205867135,2.9842180643574853e-28,1.2483978902562147e-26
cellular component organization or biogenesis GO:0071840,34.70682752798279,107,3.0829668863779034,1.9721982136304593e-26,7.071739308874932e-25
reproductive system development GO:0061458,6.459326234374575,46,7.121485791382073,6.179782137779817e-26,1.9389066457284174e-24
membrane-bounded organelle GO:0043227,64.27190282959776,150,2.3338347457627115,8.058537171560913e-25,2.2474364778464324e-23
multi-organism reproductive process GO:0044703,4.711130477409516,37,7.853741299974564,1.0625432892898295e-22,2.6669836561174723e-21
oviposition GO:0018991,2.5901576840327896,28,10.810152668545232,1.825418100028739e-21,4.165272210065577e-20
cell death GO:0008219,4.897518995615349,31,6.329735530939988,1.1359512712528138e-16,2.376031409037136e-15
mitotic cell cycle GO:0000278,3.560663416759716,26,7.302010034877317,8.017784524634151e-16,1.548049165910132e-14
growth GO:0040007,4.312644679866009,28,6.4925358054004905,1.51738767882144e-15,2.7204593384584386e-14
organelle localization GO:0051640,1.6453607124377025,18,10.939850370762711,9.187130369680053e-15,1.5373131485264622e-13
female gamete generation GO:0007292,1.9024483237560936,19,9.987130668804397,1.0816815526205054e-14,1.6968879356734179e-13
cell periphery GO:0071944,13.593507448459924,47,3.4575329566854993,7.141080133315509e-14,1.0543594785071724e-12
organelle fission GO:0048285,4.351207821563769,26,5.97535237713742,9.832478389225646e-14,1.3710844864975763e-12
receptor-mediated endocytosis GO:0006898,4.987499659576786,27,5.413534204088765,3.83283348734153e-13,5.063374764856443e-12
nucleus GO:0005634,43.492796644788804,91,2.09230049617661,5.062084270666188e-12,6.352915759686066e-11
localization of cell GO:0051674,2.371633214412157,18,7.589706490285242,6.0886484357794e-12,7.277384558955379e-11
nervous system development GO:0007399,2.9115171981807784,19,6.5258072361282595,2.6902893409644983e-11,3.0693755662822226e-10
intrinsic component of membrane GO:0031224,64.27190282959776,115,1.7892733050847456,1.1766005059916507e-10,1.2840292478430622e-09
microtubule cytoskeleton organization GO:0000226,1.5232440970614667,12,7.877923192447973,6.296750045407442e-09,6.585351089155284e-08
chromosome segregation GO:0007059,2.57730330346687,15,5.820036772475591,1.0888382056238336e-08,1.0931935584463288e-07
non-membrane-bounded organelle GO:0043228,25.940139982025652,57,2.1973667081016615,1.1344613923873128e-08,1.0951915749585211e-07
regulation of cell cycle process GO:0010564,1.915302704322013,13,6.787438857922876,1.1847591091901855e-08,1.1013871718768021e-07
cell morphogenesis involved in differentiation GO:0000904,1.324001198289714,11,8.308149580385058,1.2364103893156764e-08,1.1083535989936956e-07
maintenance of location GO:0051235,4.813965521936872,19,3.9468500373379194,1.3076014150191244e-07,1.1317515695510353e-06
taxis GO:0042330,1.6517879027206623,11,6.659450636417596,1.3988754880903882e-07,1.1703924917022916e-06
cell proliferation GO:0008283,1.3689915302704323,10,7.304647091589082,1.6973055948913939e-07,1.3742700139281932e-06
cell part morphogenesis GO:0032990,1.375418720553392,10,7.2705132266751145,1.7790456815692773e-07,1.3954389564809018e-06
single-organism localization GO:1902578,21.49895149650045,47,2.186153125079172,2.412234745008279e-07,1.8347603666578124e-06
catabolic process GO:0009056,14.435469375527656,36,2.49385725281857,2.533642040424805e-07,1.8454442359033515e-06
organelle part GO:0044422,38.627413600588255,71,1.8380728446938717,2.4998049410643007e-07,1.8454442359033515e-06
cellular component disassembly GO:0022411,1.2854380565919552,9,7.0015042372881355,8.287104768346361e-07,5.7779536023748235e-06
contractile fiber GO:0043292,1.3561371497045127,9,6.636496907382119,1.345840478548428e-06,9.129890813936634e-06
sister chromatid segregation GO:0000819,1.3625643399874723,9,6.605192676686921,1.4044518409409736e-06,9.276774002004852e-06
protein complex subunit organization GO:0071822,6.29864647730058,20,3.175285368384642,2.186720456583656e-06,1.4073508579551222e-05
regulation of metabolic process GO:0019222,41.01190119556633,69,1.6824384627030988,8.154274378918584e-06,5.116807172771412e-05
regulation of molecular function GO:0065009,11.658923173289033,28,2.4015940051949993,9.026409879767137e-06,5.525924097125735e-05
regulatory region nucleic acid binding GO:0001067,1.349709959421553,8,5.927199354317998,1.0220281023612542e-05,6.107834611730352e-05
extracellular region GO:0005576,10.714126201693945,26,2.4267027950342137,1.4643620344328035e-05,8.547787689363574e-05
cytoplasmic vesicle part GO:0044433,1.4268362428170702,8,5.606810200030539,1.5902073030802957e-05,9.071409842571686e-05
regulation of protein metabolic process GO:0051246,7.847599335493886,21,2.675977595469121,1.888067584570792e-05,0.00010402492906610998
receptor binding GO:0005102,3.5670906070426756,13,3.6444266300198502,1.8649887681175097e-05,0.00010402492906610998
positive regulation of cellular component organization GO:0051130,1.458972194231869,8,5.483312178003435,1.8961820154754542e-05,0.00010402492906610998
protein complex biogenesis GO:0070271,5.707344971268281,17,2.978617918766224,2.3938699328920666e-05,0.00012517944857414766
Golgi apparatus GO:0005794,3.297148615158365,12,3.6395083754584197,3.512262229000822e-05,0.0001799138407100421
actin filament-based process GO:0030029,3.329284566573164,12,3.604377985733918,3.8770836172555645e-05,0.00019462959758622932
protein catabolic process GO:0030163,6.639287562297448,18,2.7111342641967613,5.278104184964527e-05,0.00025976551969139145
lipid transport GO:0006869,2.146681554508565,9,4.192517507358165,7.169972336037519e-05,0.0003460890492971956
ribonucleoprotein complex subunit organization GO:0071826,1.4332634331000298,7,4.883959109219427,0.000110113399133799,0.0005214804374072368
cytoskeleton GO:0005856,7.770473052098369,19,2.445153579789993,0.00014083710172242312,0.0006546317135616333
establishment of localization GO:0051234,64.27190282959776,92,1.4314186440677965,0.00014765450289584838,0.0006738414586701444
secretion GO:0046903,2.8472452953511804,10,3.5121666602900103,0.0001649676285174807,0.0007394084778194224
synaptic signaling GO:0099536,1.5810888096081048,7,4.427328785999724,0.00021511874588973104,0.0009472772845319735
cell junction GO:0030054,3.0593425746888534,10,3.268676114513602,0.000304135175471442,0.0013161711904022748
mitochondrion GO:0005739,7.6804923881369325,18,2.3435997446989574,0.00033452074518650976,0.001423130627827355
synapse GO:0045202,2.6222936354475883,9,3.432109920239282,0.00035811759646492923,0.0014981252785449541
mitochondrial matrix GO:0005759,1.2982924371578746,6,4.62145494210438,0.0003626353559783137,0.0014981252785449541
immune system process GO:0002376,2.1916718864892832,8,3.6501814205477414,0.00041145778841153105,0.0016657404014724887
carboxylic ester hydrolase activity GO:0052689,2.3202156921484787,8,3.4479553030658723,0.000618283239476426,0.002463318938231475
cell surface receptor signaling pathway involved in cell-cell signaling GO:1905114,1.5103897164955473,6,3.9724846736386583,0.0008867095209269215,0.00347756390238527
cell-cell signaling by wnt GO:0198738,1.5168169067785071,6,3.955652111462223,0.0009088517094912914,0.003509565832035602
chromosome GO:0005694,7.192025926631989,16,2.224686084730616,0.0011053249650137052,0.004203584336643031
membrane-enclosed lumen GO:0031974,8.535308695770581,18,2.108886818460282,0.0011634972477815402,0.0043587732715398
small molecule catabolic process GO:0044282,2.0952640322448866,7,3.340867734220651,0.0013531205394504305,0.004994606697089089
cellular amide metabolic process GO:0043603,16.537160598055504,29,1.7536263149920621,0.001452154861111268,0.005282476378825047
regulation of cytoskeleton organization GO:0051493,1.71605980555026,6,3.4963816415920776,0.0018410422669378204,0.006601451557162756
GTPase activity GO:0003924,7.596938914458454,16,2.106111445696751,0.0019619460359296815,0.006935893732652818
small molecule biosynthetic process GO:0044283,3.290721424875405,9,2.7349625926906778,0.001978382901565578,0.006935893732652818
extracellular space GO:0005615,5.0903347041041425,12,2.357408834103749,0.002125409881183401,0.00730791616680868
modification-dependent macromolecule catabolic process GO:0043632,3.99771235600098,10,2.501430595672789,0.00259814691047032,0.008812633439568248
regulation of gene expression GO:0010468,34.2247882567608,50,1.4609294183178165,0.0030272216719323362,0.010131101862066885
nucleoside-triphosphatase regulator activity GO:0060589,1.9088755140390532,6,3.1432117788049996,0.0033241709121922826,0.010978511828424513
extrinsic component of membrane GO:0019898,1.458972194231869,5,3.4270701112521467,0.0036913874044904316,0.012032964136715563
signaling GO:0023052,57.182711947493125,76,1.3290730259485677,0.004207582246616282,0.01353978389616265
cell communication GO:0007154,57.786867834091346,76,1.3151777012417314,0.005451623632166086,0.017320981413590984
organic acid metabolic process GO:0006082,12.102399302813257,21,1.7351931195261798,0.005830371485331734,0.018292790535228316
lipid catabolic process GO:0016042,1.632506331871783,5,3.062775256906446,0.0063232563126667165,0.019594288079991924
Golgi membrane GO:0000139,1.664642283286582,5,3.0036483214449317,0.006930229730074809,0.021213264173765574
ion binding GO:0043167,64.27190282959776,82,1.275829661016949,0.008587309163968819,0.025968850604291247
single-organism behavior GO:0044708,2.8986628176148588,7,2.4149066105453043,0.00938076723761861,0.028030625912407993
supramolecular complex GO:0099080,2.378060404695117,6,2.5230645900137425,0.0105956754359038,0.031288406287198284
enzyme linked receptor protein signaling pathway GO:0007167,1.9217298946049728,5,2.6018224590442722,0.013389016366926774,0.03907724544300721
protein modification by small protein conjugation GO:0032446,3.766333505814429,8,2.1240816798750504,0.014485797323785113,0.04179235779620762
ubiquitin-like protein transferase activity GO:0019787,3.14932323865029,7,2.2226997578692496,0.01480997102809814,0.04224207645514356
endoplasmic reticulum GO:0005783,5.803752825512678,11,1.8953253749272667,0.01510702045301452,0.04260519251355781
regulation of cellular component biogenesis GO:0044087,1.4975353359296277,4,2.6710555030188403,0.01789954124997977,0.049919831708276914
