Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,4.631561396328801,146,31.5228467263171,2.751505351385409e-178,6.93379348549123e-176
single-multicellular organism process GO:0044707,4.457755445409486,141,31.63026813083683,7.53099345022308e-172,9.489051747281081e-170
cytoplasm GO:0005737,6.558930673659426,124,18.905520757824483,3.939899575973282e-122,3.309515643817557e-120
reproduction GO:0000003,2.587505494672063,89,34.39606222412283,4.901875724347316e-109,3.0881817063388096e-107
embryo development GO:0009790,2.6797124076010896,88,32.83934490521639,5.293632885412918e-106,2.6679909742481106e-104
membrane-bounded organelle GO:0043227,8.159903799028896,83,10.17168854489164,1.438775604752342e-58,6.042857539959837e-57
organelle part GO:0044422,4.9041021832163665,61,12.438566269839225,5.912333406865834e-48,2.1284400264717003e-46
cellular component organization or biogenesis GO:0071840,4.406348051475604,57,12.935882352941176,8.896383529725403e-46,2.802360811863502e-44
cell death GO:0008219,0.6217846694860019,31,49.85648814022086,5.946013464089185e-44,1.6648837699449718e-42
intrinsic component of membrane GO:0031224,8.159903799028896,68,8.333431578947367,2.553916245573683e-42,6.435868938845681e-41
catabolic process GO:0009056,1.83271439326189,37,20.18863393883588,3.0518840752903388e-37,6.991588972483322e-36
non-membrane-bounded organelle GO:0043228,3.2933371732880623,43,13.056664938157205,5.206995482176745e-35,1.0934690512571163e-33
extracellular region GO:0005576,1.3602559632981168,32,23.524984167253237,1.2368541277784155e-34,2.3975941553858513e-33
localization of cell GO:0051674,0.30110045018416626,21,69.74416672959299,5.976136377815211e-34,1.075704548006738e-32
biosynthetic process GO:0009058,8.159903799028896,59,7.2304773993808045,2.039244958539541e-33,3.425931530346429e-32
sex differentiation GO:0007548,0.8820856006750236,27,30.609274178535525,9.651961075795271e-33,1.5201838694377553e-31
establishment of localization GO:0051234,8.159903799028896,58,7.10792693498452,1.802227886940358e-32,2.6715378088762958e-31
cellular amide metabolic process GO:0043603,2.0995432474901348,33,15.717704333763699,6.630109287551744e-30,9.282153002572441e-29
immune system process GO:0002376,0.27825271954688535,18,64.68939469598612,6.325419363069427e-29,8.389503576281556e-28
cell periphery GO:0071944,1.7258196534946115,30,17.383044595217704,1.102251149868331e-28,1.3888364488340969e-27
nervous system development GO:0007399,0.369643642096009,19,51.400857031554345,2.437721485687571e-28,2.9252657828250854e-27
regulation of metabolic process GO:0019222,5.206834614160338,44,8.450431646194222,6.316711810946586e-28,7.235506256175181e-27
macromolecule biosynthetic process GO:0009059,7.560966860180174,50,6.612910878279994,1.0490688381714254e-26,1.149414553126953e-25
growth GO:0040007,0.547529544914839,20,36.52770920902677,1.4684688632579818e-26,1.5418923064208809e-25
reproductive system development GO:0061458,0.8200703318024041,22,26.82696733053001,6.883128410124967e-26,6.9381934374059665e-25
maintenance of location GO:0051235,0.6111767945472643,20,32.72375551302666,1.4439392431654559e-25,1.3995103433757495e-24
single-organism localization GO:1902578,2.7294878207751654,31,11.357442141359732,5.643052685954397e-24,5.266849173557438e-23
oviposition GO:0018991,0.32884412310086447,16,48.65527122433145,6.036821138217419e-24,5.433139024395678e-23
signaling GO:0023052,7.259866409996008,46,6.33620474567731,6.607436882672585e-24,5.74163480839135e-23
