Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
organ system physiology variant WBPhenotype:0000575,18.75519821732388,157,8.371012568397255,4.5993048312245314e-105,1.149826207806133e-102
embryonic development variant WBPhenotype:0000749,17.300570637035698,150,8.670234245273496,7.536461329830588e-102,9.420576662288235e-100
fertility reduced WBPhenotype:0001384,16.200852191457006,139,8.579795578487973,9.072935764506097e-93,7.560779803755081e-91
behavior variant WBPhenotype:0000517,14.77621693241188,115,7.782776912793258,1.4197654561816371e-70,8.873534101135232e-69
developmental growth variant WBPhenotype:0001015,9.322613186383004,79,8.474018863658387,3.317051610429311e-50,1.6585258052146555e-48
movement variant WBPhenotype:0001206,9.852477528343647,79,8.018287762923842,2.0154639499979527e-48,8.397766458324802e-47
developmental timing variant WBPhenotype:0000033,10.567294517969795,78,7.3812648892637736,3.5056941427646145e-45,1.2520336224159338e-43
brood size variant WBPhenotype:0000673,5.933480885917762,56,9.437967539915348,4.4904540299325114e-38,1.4032668843539099e-36
body morphology variant WBPhenotype:0000072,6.758269720101782,54,7.990210843373493,4.683916382889326e-33,1.3010878841359238e-31
hermaphrodite fertility reduced WBPhenotype:0001259,5.168676694219854,46,8.899763463913681,2.288013795982667e-30,5.720034489956668e-29
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,4.458858424800879,42,9.419451347992869,7.565260794796156e-29,1.7193774533627627e-27
cell death variant WBPhenotype:0000729,3.9040004818043577,38,9.733605356123597,8.710222583539918e-27,1.8146297049041494e-25
transgene subcellular localization variant WBPhenotype:0000679,6.0084616890254,44,7.323005833650743,1.2823362184741694e-25,2.4660311893734027e-24
protruding vulva WBPhenotype:0000697,3.9689838444976435,37,9.32228536311493,1.8305119069543132e-25,3.2687712624184166e-24
progeny variant WBPhenotype:0000069,3.9289940828402368,36,9.162650602409638,1.440377858863413e-24,2.4006297647723553e-23
transgene expression reduced WBPhenotype:0001278,3.8140235180751914,35,9.176660771526473,5.827212393832972e-24,9.105019365364018e-23
endocytic transport variant WBPhenotype:0001421,4.20392369423491,35,8.325555491884302,1.489188668856422e-22,2.1899833365535615e-21
sick WBPhenotype:0000032,3.3091527771504285,31,9.367956721144395,1.017209494984768e-21,1.412790965256622e-20
oocyte physiology variant WBPhenotype:0001424,3.739042714967553,29,7.7559959087687655,3.4578310865781366e-18,4.549777745497548e-17
dumpy WBPhenotype:0000583,1.934504720177063,22,11.372419912206967,6.990811755232679e-18,8.738514694040849e-17
transgene expression increased WBPhenotype:0001236,4.898745803032356,30,6.124016474059504,6.633749288286147e-16,7.897320581293032e-15
germ cell compartment expansion variant WBPhenotype:0001980,2.1844407305358566,21,9.613444625182654,1.1647784005306382e-15,1.3236118187848162e-14
gonad development variant WBPhenotype:0000691,2.5143562642094643,22,8.74975448513737,2.0196846066059126e-15,2.1536260537527625e-14
embryonic cell physiology variant WBPhenotype:0000763,1.9844919222488218,20,10.078146338502625,1.9813359694525415e-15,2.1536260537527625e-14
sinusoidal movement variant WBPhenotype:0004018,1.7495520725115559,19,10.859922547332186,2.170835242632441e-15,2.170835242632441e-14
germline nuclear positioning variant WBPhenotype:0001952,1.3746480569733652,17,12.366801752464402,5.372615353447587e-15,5.1659763013919106e-14
cell membrane organization biogenesis variant WBPhenotype:0001982,1.619585347124983,18,11.113955823293173,6.890873174907575e-15,6.380438124914421e-14
VPC competence variant WBPhenotype:0002017,1.4846199015312342,17,11.450742363392967,2.0303243140243287e-14,1.8127895660931507e-13
protein interaction variant WBPhenotype:0001369,2.8742641191261273,22,7.654133053954951,3.384720256041223e-14,2.91786228969071e-13
foraging behavior variant WBPhenotype:0000662,2.3643946579941884,20,8.458824728087826,6.086911169059283e-14,5.07242597421607e-13
oocyte number decreased WBPhenotype:0001944,1.6395802279536866,17,10.368507566852777,1.1096392612659304e-13,8.948703719886535e-13
cytokinesis variant WBPhenotype:0002408,1.4846199015312342,16,10.77716928319338,2.739468088355567e-13,2.1402094440277866e-12
eggshell formation variant WBPhenotype:0002075,0.749808031076381,12,16.00409638554217,9.528648233578102e-13,7.2186729042258356e-12
turning variant WBPhenotype:0002311,1.384645497387717,15,10.833097733895872,1.2068473718856284e-12,8.87387773445315e-12
germ cell partition morphology variant WBPhenotype:0001977,0.4648809792673563,10,21.510882238631947,1.746299357720377e-12,1.2473566840859836e-11
rachis wide WBPhenotype:0001943,0.34991041450231114,9,25.720869191049914,2.587479955601135e-12,1.796861080278566e-11
acetylcholinesterase inhibitor response variant WBPhenotype:0001290,1.4796211813240585,15,10.137729973949854,3.29729476400939e-12,2.2279018675739124e-11
