Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
behavior variant WBPhenotype:0000517,10.103015794149087,97,9.601093572097072,3.6792202877126915e-70,9.198050719281729e-68
organ system physiology variant WBPhenotype:0000575,12.823584323290724,96,7.486206475489137,1.8921562402260978e-59,2.3651953002826223e-57
embryonic development variant WBPhenotype:0000749,11.829004622310553,90,7.608417011711366,6.560338947764132e-56,5.466949123136776e-54
developmental timing variant WBPhenotype:0000033,7.225228480660071,68,9.411467081216477,2.59203661948364e-47,1.620022887177275e-45
fertility reduced WBPhenotype:0001384,11.077088697170906,79,7.131837810432685,2.0174607414751956e-46,1.0087303707375978e-44
movement variant WBPhenotype:0001206,6.736483129319301,65,9.648951649132687,7.974908409899627e-46,3.322878504124844e-44
developmental growth variant WBPhenotype:0001015,6.3741963653883795,55,8.628538696838351,4.034591483606359e-36,1.440925529859414e-34
hermaphrodite fertility reduced WBPhenotype:0001259,3.5340048481563455,42,11.884533780962688,2.4748112026588146e-33,7.733785008308796e-32
avoids bacterial lawn WBPhenotype:0000402,1.52433864823765,31,20.336688330929853,2.7328140420449217e-32,7.591150116791449e-31
cell death variant WBPhenotype:0000729,2.6693015342457507,33,12.362784637339454,4.595847342901542e-27,1.1489618357253854e-25
body morphology variant WBPhenotype:0000072,4.620865139949109,40,8.656387665198238,1.67473716227656e-26,3.806220823355818e-25
transgene expression reduced WBPhenotype:0001278,2.607781140370688,32,12.270968412422562,3.389652028289462e-26,7.0617750589363795e-25
germ cell compartment expansion variant WBPhenotype:0001980,1.493578451300119,25,16.73832397504007,2.680692029896699e-24,5.155176980570575e-23
transgene subcellular localization variant WBPhenotype:0000679,4.1081951909902585,35,8.5195562461976,3.903701775831747e-23,6.970896028270977e-22
transgene expression increased WBPhenotype:0001236,3.349443666531159,31,9.25526836285175,9.61194794362776e-22,1.60199132393796e-20
pachytene progression during oogenesis variant WBPhenotype:0001946,0.9330593071051085,19,20.36312146003776,1.0049922194200876e-20,1.5703003428438868e-19
rachis narrow WBPhenotype:0001941,0.9569839047231883,19,19.854043423536815,1.663202494456558e-20,2.445886021259644e-19
oocyte number decreased WBPhenotype:0001944,1.1210382883900205,20,17.840603846567102,1.740380461822468e-20,2.445886021259644e-19
lipid metabolism variant WBPhenotype:0000725,2.6180345393498654,26,9.931114203885393,2.586169131955221e-19,3.4028541209937114e-18
extended life span WBPhenotype:0000061,1.6234548383696945,21,12.935376767910967,2.1200342431640624e-18,2.650042803955078e-17
gonad vesiculated WBPhenotype:0001979,0.6938133309243115,15,21.619648011110872,2.5014946617703015e-17,2.977969835440835e-16
gonad development variant WBPhenotype:0000691,1.7191532288420133,20,11.633634317443358,1.0334826148018103e-16,1.1744120622747845e-15
endocytic transport variant WBPhenotype:0001421,2.874369513829291,24,8.349657162911784,3.021068895534619e-16,3.283770538624586e-15
neuronal outgrowth variant WBPhenotype:0000572,0.7724227230980021,14,18.124790456512414,3.2788708909950772e-15,3.415490511453205e-14
diplotene absent during oogenesis WBPhenotype:0001954,0.36570456359064696,11,30.078924616081355,3.5294252047987355e-15,3.5294252047987354e-14
foraging behavior variant WBPhenotype:0000662,1.6166192390502432,18,11.1343472632275,6.2449922759824814e-15,6.00480026536777e-14
brood size variant WBPhenotype:0000673,4.056928196094373,26,6.408789789533456,1.2117098286055815e-14,1.1219535450051682e-13
apoptosis reduced WBPhenotype:0000182,0.8578677145911439,14,16.319532442915563,1.54026856862275e-14,1.3752397934131697e-13
pleiotropic defects severe early emb WBPhenotype:0000270,0.4135537588268064,11,26.598718462154586,1.5980568452368042e-14,1.3776352114110382e-13
oocyte physiology variant WBPhenotype:0001424,2.556514145474803,21,8.214310113312447,2.4634934781327873e-14,2.052911231777323e-13
oxygen response variant WBPhenotype:0000464,0.24608157550024842,9,36.573237885462554,7.937726730813802e-14,6.401392524849841e-13
protein interaction variant WBPhenotype:0001369,1.9652348043422618,18,9.159210879141927,2.008838550565688e-13,1.5694051176294436e-12
nuclei small WBPhenotype:0001792,0.5605191441950103,11,19.62466423122381,6.283313178927401e-13,4.760085741611668e-12
dauer development variant WBPhenotype:0000308,0.7724227230980021,12,15.535534677010642,1.4668455413285536e-12,1.0785628980357011e-11
molt variant WBPhenotype:0002041,0.9638195040426397,13,13.488002624425906,1.4690703880915266e-12,1.0785628980357011e-11
neurite morphology variant WBPhenotype:0001398,0.6425463360284265,11,17.119387946386727,3.1777612121609346e-12,2.2067786195562046e-11
cell membrane organization biogenesis variant WBPhenotype:0001982,1.1073670897511179,13,11.739557839778104,9.445467803830888e-12,6.382072840426276e-11
pathogen susceptibility increased WBPhenotype:0001013,0.5434301458963819,10,18.401629124761033,1.0799957765370744e-11,7.105235371954437e-11
sick WBPhenotype:0000032,2.262583374738395,17,7.513535275563305,2.1827824309220674e-11,1.3992195070013254e-10
short WBPhenotype:0000324,0.6322929370492494,10,15.815454220740566,5.562702751227388e-11,3.4766892195171177e-10
sexually dimorphic morphology variant WBPhenotype:0001023,0.6596353343270548,10,15.15989135148707,8.764472360525599e-11,5.344190463735121e-10
dumpy WBPhenotype:0000583,1.3226884683138354,13,9.828467028651435,9.860414744456455e-11,5.86929449074789e-10
diplotene region organization variant WBPhenotype:0001950,0.6801421322854088,10,14.702809200185953,1.2164097476953885e-10,7.072149695903421e-10
fat content increased WBPhenotype:0001184,0.8988813105078519,11,12.237433208823973,1.5825710849505962e-10,8.991881164492024e-10
sinusoidal movement variant WBPhenotype:0004018,1.1962298809039855,12,10.031516677155443,3.383263917443288e-10,1.879591065246271e-09
gonad small WBPhenotype:0001957,0.27000617311832814,7,25.925333184631686,3.4833374449063217e-10,1.893118176579523e-09
dauer constitutive WBPhenotype:0000012,0.4443139557643374,8,18.005286343612337,8.348845950465729e-10,4.440875505566877e-09
embryo osmotic integrity defective early emb WBPhenotype:0000365,0.46140295406296583,8,17.338423886441507,1.167839783557957e-09,6.082498872697692e-09
amphid phasmid sensillum morphology variant WBPhenotype:0001527,0.32810876733366456,7,21.334388766519826,1.6844413087183137e-09,8.594088309787314e-09
dauer metabolism variant WBPhenotype:0001547,2.276254573377298,15,6.589772591975236,1.719863854588383e-09,8.599319272941915e-09
no oocytes WBPhenotype:0000291,0.7006489302437628,9,12.845234769528313,2.882118613168744e-09,1.4128032417493844e-08
eggshell formation variant WBPhenotype:0002075,0.5126699489588509,8,15.604581497797357,2.9650677148121244e-09,1.4255133244289059e-08
cytoplasmic processing body variant WBPhenotype:0001794,0.9330593071051085,10,10.717432347388296,3.4139242047666517e-09,1.6103416060220054e-08
pathogen resistance increased WBPhenotype:0001014,0.3622867639309213,7,19.321710580999085,3.7204044503020535e-09,1.7224094677324324e-08
oxidative stress response variant WBPhenotype:0000068,0.5365945465769306,8,14.908835825921042,4.427554667236006e-09,2.0125248487436392e-08
distal tip cell migration variant WBPhenotype:0000195,0.5502657452158334,8,14.538429966891945,5.520002823527412e-09,2.4642869747890235e-08
sluggish WBPhenotype:0000646,0.751915925139648,9,11.969423307969564,5.6724131175128955e-09,2.487900490137235e-08
oocyte septum formation variant WBPhenotype:0001810,0.574190342833913,8,13.932662051604783,8.007750696816544e-09,3.4516166796623035e-08
forward locomotion increased WBPhenotype:0002346,0.40671815950735507,7,17.21093547551179,9.313381702009794e-09,3.946348178817709e-08
pesticide response variant WBPhenotype:0000459,0.5878615414728157,8,13.608646655055836,9.830976712410571e-09,4.096240296837738e-08
mRNA levels reduced WBPhenotype:0000137,0.4272249574657091,7,16.384810572687226,1.3724585029326695e-08,5.624829930051924e-08
male nervous system development variant WBPhenotype:0001008,0.27684177243777947,6,21.673029858051887,1.3926798778713556e-08,5.624829930051924e-08
pronuclear nuclear appearance variant emb WBPhenotype:0001374,0.8373609166327898,9,10.748053582666547,1.5787354698155318e-08,6.264823292918777e-08
hermaphrodite reproductive system morphology variant WBPhenotype:0001335,3.0486772964753,16,5.248177633788349,1.6128147580964183e-08,6.300057648814134e-08
accumulated germline cell corpses WBPhenotype:0001180,0.8578677145911439,9,10.491127999017147,1.9843274514585068e-08,7.628281078831613e-08
body posture amplitude decreased WBPhenotype:0002292,0.4477317554240631,7,15.634361233480176,1.9833530804962194e-08,7.628281078831613e-08
rachis absent WBPhenotype:0001942,0.29393077073640783,6,20.412969982583753,2.1211204297444648e-08,7.914628469195765e-08
