Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
PVD WBbt:0006831,118.73818814348175,750,6.316417756802128,0.0,0.0
nervous system WBbt:0005735,405.60669456066944,2076,5.118258716731999,0.0,0.0
labial sensillum WBbt:0005107,122.96710701581183,780,6.343159719124749,0.0,0.0
pharynx WBbt:0003681,207.50442699763371,1173,5.65289144415881,0.0,0.0
hermaphrodite WBbt:0007849,92.37929575478351,543,5.877940458015267,1.2178353969518732e-266,6.649381267357228e-265
tail WBbt:0005741,75.83313744848229,437,5.762652248126733,3.801534203167081e-208,1.729698062441022e-206
sex organ WBbt:0008422,65.73300111262596,399,6.070010394266942,2.913269979847075e-198,1.1361752921403592e-196
corpus WBbt:0003733,87.16499772773572,437,5.013480311959527,1.666095375535958e-182,5.685550469016456e-181
reproductive tract WBbt:0005744,70.82412674533403,380,5.365403252572187,2.242162168611066e-168,6.8012252447869e-167
striated muscle WBbt:0005779,59.328036606960964,342,5.764559549908872,2.2029472177152843e-161,6.014045904362726e-160
ventral nerve cord WBbt:0005829,57.64468055098491,306,5.3083822665883735,2.568620517397875e-133,6.374849102269271e-132
excretory secretory system WBbt:0006850,38.717189287449266,253,6.534565257866319,1.651886131074867e-132,3.758040948195323e-131
amphid sensillum WBbt:0005391,55.79709463588924,294,5.269091552499874,4.550916085840408e-127,9.556923780264857e-126
nerve ring WBbt:0006749,36.08951154153542,237,6.56700492405492,1.3968759362119438e-124,2.7239080756132906e-123
excretory cell WBbt:0005812,35.30941971071725,233,6.598805698562045,5.7336231948699235e-123,1.0435194214663261e-121
retrovesicular ganglion WBbt:0005656,44.013602244056855,255,5.793663481257833,3.696910847478046e-120,6.307854133509417e-119
pharyngeal interneuron WBbt:0003668,42.166016328961184,248,5.881513635654132,1.988597960247567e-118,3.193454371456387e-117
coelomic system WBbt:0005749,36.869603372353595,231,6.2653237049252795,1.3449550991684745e-116,2.0398485670721863e-115
dorsal nerve cord WBbt:0006750,24.552363938382463,171,6.964706145165819,1.8151024914711825e-94,2.608015685113857e-93
thermosensory neuron WBbt:0005838,34.36509802077946,198,5.7616596897315935,9.659420143990644e-93,1.318510849654723e-91
AWB WBbt:0005671,34.939902527698116,197,5.638252706739265,1.8371700787317948e-90,2.3883211023513333e-89
midbody WBbt:0005740,29.84877689499005,167,5.594869115994834,2.990823371554307e-76,3.7113399110651173e-75
anal depressor muscle WBbt:0004292,19.050663657875354,134,7.033875690971309,6.431292804276886e-75,7.633664937250392e-74
lateral nerve cord WBbt:0006769,16.997790418880165,122,7.177403473835602,1.704038484597129e-69,1.938343776229234e-68
AVA WBbt:0005842,23.69015717800448,136,5.740780822099039,7.928430500894597e-64,8.657846106976899e-63
somatic gonad WBbt:0005785,21.021421967310737,126,5.99388567509542,1.3747170050924202e-61,1.4434528553470412e-60
gonadal primordium WBbt:0008366,24.675536332722174,134,5.430479734793156,9.006169676711845e-60,9.10623822867531e-59
Z4.a WBbt:0007025,25.414570698760443,134,5.2725659460592675,3.9586845821475324e-58,3.859717467593844e-57
Z1.p WBbt:0007023,25.455628163540343,134,5.264061807436592,4.863308155792379e-58,4.5782176776942054e-57
male distal tip cell WBbt:0006864,25.537743093100154,134,5.247135563682776,7.330097488849424e-58,6.670388714852975e-57
spermatheca WBbt:0005319,22.58160562894708,124,5.491195003469812,5.16506722038513e-56,4.548591455371421e-55
male WBbt:0007850,27.672731261655148,131,4.733902077151336,3.866489606280302e-51,3.2985989453578825e-50
Psub1 WBbt:0006874,9.566389293717581,75,7.839948563378436,1.1466382991313262e-46,9.485825929177336e-46
BAG WBbt:0006825,19.707583094353815,105,5.327898377862596,2.149296019693035e-46,1.7257582746358782e-45
cephalic sheath cell WBbt:0008406,12.440411828310847,75,6.0287393243141105,1.0820941269013733e-37,8.440334189830712e-37
lateral ganglion WBbt:0005105,21.719398868569098,94,4.327928252932943,6.370711489473261e-34,4.8311228795172224e-33
intestinal muscle WBbt:0005796,8.211492955980757,52,6.332587786259541,5.545142414125094e-28,4.0914158893409474e-27
AVE WBbt:0006819,18.599031545296413,76,4.086234265203983,3.710805611722721e-26,2.665920873685007e-25
hermaphrodite distal tip cell WBbt:0006863,7.965148167301333,48,6.026253246242229,5.80121114656083e-25,4.0608478025925815e-24
posterior gonad arm WBbt:0005466,8.37572281510037,48,5.730848675348002,6.500131884799643e-24,4.436340011375757e-23
