Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
nervous system WBbt:0005735,74.61924686192468,395,5.2935404283952,1.0569045969313629e-233,2.8853495496226206e-231
pharynx WBbt:0003681,38.17447855452651,225,5.893990134760355,3.66301572853917e-117,5.000016469455967e-115
PVD WBbt:0006831,21.84420102486954,144,6.59213856510735,6.771143070150782e-77,6.161740193837212e-75
labial sensillum WBbt:0005107,22.622192970084466,146,6.453839386529416,8.153900356476937e-77,6.161740193837212e-75
hermaphrodite WBbt:0007849,16.994969677025058,129,7.59048132780083,1.119932490617641e-75,6.11483139877232e-74
sex organ WBbt:0008422,12.092865090185384,91,7.525098421370462,2.030540426113241e-52,9.238958938815246e-51
reproductive tract WBbt:0005744,13.029476752385879,90,6.907414757351614,9.717153348625641e-49,3.789689805964e-47
corpus WBbt:0003733,16.035698055255196,87,5.425395246294781,6.76412822210891e-39,2.3082587557946657e-37
tail WBbt:0005741,13.950981774873458,76,5.447645278763139,4.04635904585115e-34,1.2273955772415155e-32
ventral nerve cord WBbt:0005829,10.604861078463635,67,6.3178573961768985,5.279441145055832e-34,1.441287432600242e-32
coelomic system WBbt:0005749,6.782881231097112,50,7.371498673862618,8.717848207236402e-29,2.163611418705034e-27
nerve ring WBbt:0006749,6.639368153824456,49,7.380220356025093,2.8776239674227005e-28,6.546594525886644e-27
excretory secretory system WBbt:0006850,7.122780624637613,49,6.879335835573762,6.927169586906719e-27,1.454705613250411e-25
amphid sensillum WBbt:0005391,10.264961684923135,56,5.455451439458474,1.9342836269172123e-25,3.771853072488564e-24
midbody WBbt:0005740,5.491263535643207,42,7.648512901881775,4.2536335663508225e-25,7.741613090758496e-24
retrovesicular ganglion WBbt:0005656,8.097158886120383,49,6.05150531058401,2.075153788136233e-24,3.5407311510074474e-23
pharyngeal interneuron WBbt:0003668,7.757259492579882,46,5.929929254526135,1.1756156600465055e-22,1.8879004423099763e-21
excretory cell WBbt:0005812,6.495855076551799,42,6.465661487986105,2.880684093181713e-22,4.369037541325598e-21
BAG WBbt:0006825,3.6255935310986787,31,8.550324170124481,1.695103287836459e-20,2.4355957767334383e-19
somatic gonad WBbt:0005785,3.8672997665052575,31,8.015928909491702,1.1472006883496867e-19,1.5659289395973224e-18
dorsal nerve cord WBbt:0006750,4.516885274160438,32,7.084527956258066,1.2901621134255806e-18,1.6772107474532546e-17
striated muscle WBbt:0005779,10.914547192578315,47,4.306179557495441,1.779183493889726e-17,2.2078049719631598e-16
male WBbt:0007850,5.090937583251061,32,6.285679106590986,4.3913560334799823e-17,5.212348683217544e-16
anal depressor muscle WBbt:0004292,3.50474041339539,27,7.703851588210044,5.662019893930866e-17,6.440547629346359e-16
spermatheca WBbt:0005319,4.15432592105057,28,6.739962278385514,5.39113076693939e-16,5.887114797497814e-15
AB WBbt:0004015,0.8610784636359363,15,17.420015287180604,5.737338450016405e-16,6.024205372517225e-15
thermosensory neuron WBbt:0005838,6.322128719853321,32,5.061586281770996,2.121964623905374e-14,2.1455420086154337e-13
AWB WBbt:0005671,6.4278751978437,32,4.978316942235398,3.3661748878142604e-14,3.282020515618904e-13
lateral nerve cord WBbt:0006769,3.127074420572611,22,7.035329845450718,1.9952683295948692e-13,1.878304324066894e-12
male distal tip cell WBbt:0006864,4.6981649507153715,26,5.5340755960560895,5.626024939261624e-13,5.119682694728078e-12
gonadal primordium WBbt:0008366,4.539545233729805,25,5.5071595749822215,1.6414958865237323e-12,1.4455754097450932e-11
Z4.a WBbt:0007025,4.675504991146005,25,5.347016000911656,3.1721955374988974e-12,2.7062793179287467e-11
Z1.p WBbt:0007023,4.68305831100246,25,5.338391781555347,3.2881992045148528e-12,2.7202375237350147e-11
anal sphincter muscle WBbt:0005798,0.9743782614827698,12,12.315545691402106,2.3586987087226485e-11,1.8938963161214207e-10
oocyte WBbt:0006797,1.1027846990425147,12,10.881543795827888,1.1317226573358382e-10,8.827436727219538e-10
cephalic sheath cell WBbt:0008406,2.288655916506041,16,6.991002834723306,2.416581864554936e-10,1.8325745806208265e-09
EMS WBbt:0006876,0.5211790700954351,8,15.349810571892478,2.818841341815028e-09,2.07984780085271e-08
Psub1 WBbt:0006874,1.7599235265541504,13,7.386684593877442,3.8836303462204785e-09,2.7900818013636596e-08
AVA WBbt:0005842,4.35826555717487,20,4.588981496796278,4.964380601597093e-09,3.475066421117965e-08
pharyngeal-intestinal valve WBbt:0005767,1.2311911366022599,11,8.93443728839447,5.217059267067798e-09,3.560642949773772e-08
intestinal muscle WBbt:0005796,1.5106639712911163,12,7.943526970954356,5.450418359712598e-09,3.6291810053696076e-08
ABalppap WBbt:0006112,0.2643661949759454,6,22.695791345583874,7.522995779463791e-09,4.8899472566514645e-08
