Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,85.48239331136469,535,6.258598750871345,3.208908570746879e-294,8.054360512574665e-292
single-multicellular organism process GO:0044707,82.27454451373949,514,6.247375820040721,7.186505900207869e-280,9.019064904760875e-278
reproduction GO:0000003,47.756284212533025,316,6.616930215794927,1.2440929995778573e-167,1.0408911429801407e-165
embryo development GO:0009790,49.45810071080367,320,6.47012310220192,5.075795831480358e-167,3.185061884253925e-165
cytoplasm GO:0005737,121.05487622211933,392,3.2382008245643323,1.8966220000285233e-105,9.521042440143188e-104
membrane-bounded organelle GO:0043227,150.60322993545577,391,2.596225858951175,3.194474700079709e-76,1.336355249533345e-74
sex differentiation GO:0007548,16.280209156022767,121,7.4323369460666155,1.4525367673452774e-67,5.208381837195208e-66
reproductive system development GO:0061458,15.135624608513304,111,7.3336913983428245,2.0288751265145835e-61,6.365595709439506e-60
cellular component organization or biogenesis GO:0071840,81.3257441651461,252,3.098649789029536,3.24269294943204e-60,9.043510336749356e-59
organelle part GO:0044422,90.51254119120891,257,2.839385532852118,3.079235852545267e-54,7.728881989888621e-53
growth GO:0040007,10.105476728669082,81,8.015455596489005,3.736947490522264e-48,8.52703472837353e-47
multi-organism reproductive process GO:0044703,11.039216754268908,81,7.3374770876454605,3.471423527256082e-45,7.261060877843972e-44
receptor-mediated endocytosis GO:0006898,11.686810642991366,79,6.759756995581738,1.7979499713951192e-41,3.4714264832321146e-40
localization of cell GO:0051674,5.557259184618317,55,9.896965063683187,2.608123461072899e-38,4.67599277663784e-37
oviposition GO:0018991,6.069310166398867,54,8.8972220103294,3.654694119075723e-35,6.115521492586711e-34
nervous system development GO:0007399,6.822326316076145,54,7.915188675855958,1.7425386282293595e-32,2.7336074730348077e-31
maintenance of location GO:0051235,11.280181922165637,64,5.673667361183205,1.6866023175673948e-29,2.490218715937742e-28
cell periphery GO:0071944,31.85258313134889,109,3.4220144579961445,3.501428100334047e-29,4.882546962132477e-28
nucleus GO:0005634,101.91320569732291,221,2.168511906654756,1.042972948394683e-28,1.3778221581424497e-27
cell death GO:0008219,11.47596612108173,63,5.489733878201934,2.8995194222593663e-28,3.638896874935505e-27
intrinsic component of membrane GO:0031224,150.60322993545577,282,1.8724698010849907,1.1028214846995536e-26,1.3181342507599428e-25
taxis GO:0042330,3.870503009341213,34,8.78438795111208,7.827348317904044e-23,8.930292853608704e-22
single-organism localization GO:1902578,50.376780413409946,129,2.5607035412223587,1.098263926019359e-22,1.1985401975254744e-21
cell morphogenesis involved in differentiation GO:0000904,3.102426536670389,30,9.669850243157358,1.0660027052743114e-21,1.114861162599384e-20
endoplasmic reticulum GO:0005783,13.599471663171656,59,4.338403833714822,2.156361256808047e-21,2.164986701835279e-20
cell part morphogenesis GO:0032990,3.2229091206187532,30,9.308360514441196,3.401826341442259e-21,3.284070814238488e-20
organelle localization GO:0051640,3.8554426863476676,30,7.781207617540686,7.138866941466203e-19,6.636502230770433e-18
mitotic cell cycle GO:0000278,8.34341893842425,42,5.033907599506466,3.876427356635048e-18,3.474940237554989e-17
female gamete generation GO:0007292,4.45785560608949,31,6.954016177117444,5.821787155050371e-18,5.0388571583367e-17
organelle fission GO:0048285,10.195838666630356,46,4.511644554611478,8.874237390604506e-18,7.42477861680577e-17
actin filament-based process GO:0030029,7.801247310656609,40,5.12738519971793,1.1715127537799204e-17,9.485474232218066e-17
Golgi apparatus GO:0005794,7.72594569568888,39,5.0479257214766875,4.886597453382708e-17,3.832924877497062e-16
contractile fiber GO:0043292,3.1777281516381164,25,7.867255727055356,3.017021950207479e-16,2.294765180309325e-15
cellular macromolecule localization GO:0070727,20.000108935428525,63,3.149982842763459,8.34553863043131e-16,6.1609711654066446e-15
protein catabolic process GO:0030163,15.55731365233258,54,3.471036273148837,1.557810574938868e-15,1.1171727265990169e-14
non-membrane-bounded organelle GO:0043228,60.78346360194994,127,2.0893840606333236,2.4898934130025167e-15,1.736009018510088e-14
protein complex biogenesis GO:0070271,13.373566818268472,48,3.589169639802551,1.446949163613051e-14,9.815790272077726e-14
secretion GO:0046903,6.67172308614069,33,4.946248453949114,1.707215806434324e-14,1.1086084656704547e-13
immune system process GO:0002376,5.135570140799041,29,5.646890063794923,1.6783713822899312e-14,1.1086084656704547e-13
protein complex subunit organization GO:0071822,14.759116533674666,50,3.387736649813632,4.05332908011609e-14,2.5434639977728466e-13
protein localization to organelle GO:0033365,6.3705166262697785,31,4.866167348526627,1.4848588799038381e-13,9.090233630630814e-13
microtubule cytoskeleton organization GO:0000226,3.5692965494703013,23,6.443846758379686,3.325683758191077e-13,1.9874919602522865e-12
synaptic signaling GO:0099536,3.704839456412212,23,6.208096267219453,7.492415954766092e-13,4.373480010805323e-12
positive regulation of cellular component organization GO:0051130,3.4186933195348455,22,6.435207239645984,1.0168327851582856e-12,5.8005688426074925e-12
regulatory region nucleic acid binding GO:0001067,3.162667828644571,21,6.639963833634719,1.606896561032795e-12,8.962911929316256e-12
cytoplasmic vesicle part GO:0044433,3.343391704567118,21,6.281046869654464,4.9060218286874726e-12,2.676981476088164e-11
nuclear outer membrane-endoplasmic reticulum membrane network GO:0042175,7.786186987663062,32,4.109842218110465,6.499860788441112e-12,3.471202250848338e-11
catabolic process GO:0009056,33.82548544350336,77,2.2763900943449396,1.518198174570366e-11,7.93891128785754e-11
gene silencing GO:0016458,3.3283313815735722,20,6.009017044013321,3.3033510480610675e-11,1.6921247205374038e-10
establishment of localization GO:0051234,150.60322993545577,228,1.513911754068716,4.3564516407878164e-11,2.1869387236754836e-10
Golgi vesicle transport GO:0048193,4.894604972902312,23,4.699051328418418,2.6046406374842053e-10,1.2672829820472303e-09
regulation of cell cycle process GO:0010564,4.487976252076582,22,4.901986722817578,2.5749574535621014e-10,1.2672829820472303e-09
cell proliferation GO:0008283,3.207848797625208,18,5.611237042508213,8.256789623140096e-10,3.910290934732385e-09
mitochondrion GO:0005739,17.997085977286964,47,2.611533892726626,1.5479503507005427e-09,7.1951025560340035e-09
regulation of anatomical structure size GO:0090066,3.7952013943734855,19,5.006321938057923,2.3052083996292213e-09,1.05201328783079e-08
ion homeostasis GO:0050801,3.493994934502574,18,5.1516960778200405,3.4348103414429114e-09,1.5395310637538763e-08
membrane-enclosed lumen GO:0031974,20.000108935428525,48,2.399986927819778,1.549714549340319e-08,6.824181612007369e-08
chromosome segregation GO:0007059,6.039189520411776,23,3.8084580591919837,1.6262229970660953e-08,7.037620211441206e-08
single-organism intracellular transport GO:1902582,5.135570140799041,21,4.089127287575634,1.6854812040646634e-08,7.170436986783569e-08
cell junction GO:0030054,7.168713744927694,25,3.487375963043445,2.6617817279397148e-08,1.1135120228547808e-07
synapse GO:0045202,6.144611781366595,22,3.5803726553912707,9.477353966649352e-08,3.899698107588504e-07
