Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,1.5457937307660885,9,5.822251585623678,6.756207694447245e-07,7.622839917052536e-05
regulatory region nucleic acid binding GO:0001067,0.05719109997548953,3,52.455714285714286,3.036988014761966e-07,7.622839917052536e-05
single-multicellular organism process GO:0044707,1.4877856150766633,9,6.049258649093905,4.738932391774849e-07,7.622839917052536e-05
regulation of metabolic process GO:0019222,1.737792423540946,9,5.178984485190409,1.9854781586027343e-06,0.00012458875445232157
regulation of gene expression GO:0010468,1.4502028922356272,8,5.516469483568076,4.419620434669585e-06,0.00022186494582041318
nucleus GO:0005634,1.8429151120673222,8,4.3409487217378455,3.10706226854101e-05,0.0011141037562911336
G-protein coupled receptor signaling pathway GO:0007186,0.7889648410904436,5,6.337418018639973,9.009152109360372e-05,0.002826621474311817
heterocycle biosynthetic process GO:0018130,1.9368719191699122,7,3.614074803149606,0.00033263523848603123,0.007124438478184683
DNA binding GO:0003677,1.9548462648764944,7,3.580844246308164,0.00035447830327385343,0.007124438478184683
aromatic compound biosynthetic process GO:0019438,1.9191699120346415,7,3.6474102454945365,0.0003122263874901654,0.007124438478184683
organic cyclic compound biosynthetic process GO:1901362,1.9543015877338707,7,3.5818422519509476,0.0003537993568645809,0.007124438478184683
signal transducer activity GO:0004871,1.0787330809662572,5,4.6350669022974,0.0004928693301173684,0.007731887616216217
membrane-bounded organelle GO:0043227,2.723385713118549,8,2.93752,0.0006478489344145857,0.009056073949237223
molecular transducer activity GO:0060089,1.201285438056592,5,4.162208116073453,0.0008714328556682971,0.01093648233863713
system process GO:0003008,0.4776818540809935,3,6.280330672748004,0.001157039258305563,0.013829373992128396
macromolecule biosynthetic process GO:0009059,2.523489201775648,7,2.773936973883013,0.001965563156734804,0.01973425409361743
cell periphery GO:0071944,0.5759960783245731,3,5.208368794326241,0.0022972230032847893,0.021464313049832384
