Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
immune system process GO:0002376,41.613346632931105,109,2.6193519344041856,1.230721356937728e-22,3.3229476637318654e-20
mitochondrion GO:0005739,69.3982580770728,150,2.1614375368530427,7.692552557840607e-21,1.038494595308482e-18
cytoplasm GO:0005737,416.00542526274813,599,1.4398850678970663,9.468860647829193e-21,1.038494595308482e-18
structural constituent of ribosome GO:0003735,18.309872518489684,53,2.8946132719645927,4.0067965240769525e-14,2.7045876537519428e-12
aging GO:0007568,120.1025204359673,201,1.673570207106213,6.811841033555403e-14,3.6783941581199175e-12
glycosyl compound metabolic process GO:1901657,20.87069384974698,56,2.683188225708121,3.633632204728015e-13,1.635134492127607e-11
ribonucleoprotein complex GO:1990904,64.14857434799534,122,1.9018349392797151,6.263327363678066e-13,2.4158548402758253e-11
organelle inner membrane GO:0019866,20.48657065005839,52,2.538248147444423,2.555114259944491e-11,8.623510627312657e-10
embryo development GO:0009790,418.1821233943169,546,1.3056512209756983,2.670020925830111e-11,8.623510627312657e-10
oxoacid metabolic process GO:0043436,46.99107142857142,87,1.8514155424662742,3.666376855282884e-09,9.899217509263787e-08
response to biotic stimulus GO:0009607,19.7183242506812,46,2.3328554402086605,6.680930318108559e-09,1.6398647144448283e-07
organelle GO:0043226,555.8262699493966,678,1.2198056059166225,1.6794884692333105e-08,3.778849055774949e-07
cytosolic large ribosomal subunit GO:0022625,6.786176527831841,22,3.2418844263441113,3.641498860416808e-08,7.563113017788756e-07
intracellular GO:0005622,691.037636239782,822,1.1895155298238713,4.379945521672607e-08,8.44703779179717e-07
hydrogen transport GO:0006818,11.779778123783574,31,2.6316285140728133,5.5653864980027555e-08,1.001769569640496e-06
defense response to Gram-negative bacterium GO:0050829,12.291942390035032,30,2.440623218696561,5.891791822209382e-07,9.942398699978332e-06
ribose phosphate metabolic process GO:0019693,25.352131179447255,50,1.9722207827850997,6.519637628888123e-07,9.984836110713106e-06
envelope GO:0031975,37.38799143635656,67,1.7920192400292558,6.286748662300844e-07,9.984836110713106e-06
single-multicellular organism process GO:0044707,653.7776858699883,768,1.1747112460377336,7.797496403515293e-07,1.1080652783942785e-05
small nuclear ribonucleoprotein complex GO:0030532,6.914217594394707,20,2.892590481418146,1.287393394653681e-06,1.7379810827824693e-05
amide biosynthetic process GO:0043604,47.631276761385756,79,1.6585740582970177,2.0898689366466517e-06,2.6869743471171237e-05
nucleoside phosphate metabolic process GO:0006753,32.26634877384196,58,1.7975383705955623,2.765564225599089e-06,3.394101549598882e-05
nucleolus GO:0005730,16.38925652004671,35,2.1355453163594906,3.1446515360804543e-06,3.6915474553987945e-05
developmental process GO:0032502,687.0683631763333,796,1.1585455577085126,3.66861942241439e-06,4.127196850216189e-05
purine nucleotide metabolic process GO:0006163,23.68759731413001,45,1.8997283432016476,6.1911202250807535e-06,6.686409843087214e-05
membrane-enclosed lumen GO:0031974,80.02566660179058,117,1.462030932927988,1.0115785653310562e-05,0.00010504854332284045
establishment of localization GO:0051234,319.0783378746594,389,1.21913634937138,1.6446131782119517e-05,0.00016446131782119517
respiratory chain GO:0070469,7.426381860646166,19,2.5584464085646705,1.9074442019045207e-05,0.00018393211946936448
RNA interference GO:0016246,19.7183242506812,38,1.9271414506071545,1.9205774333150056e-05,0.00018393211946936448
mitochondrial matrix GO:0005759,15.749051187232388,32,2.0318684357278682,2.3116302832845914e-05,0.00020804672549561322
rRNA metabolic process GO:0016072,16.64533865317244,33,1.9825370145719756,3.119872382586045e-05,0.00027173082041878453
small molecule catabolic process GO:0044282,13.444311989100818,28,2.082665146621065,3.935700534990283e-05,0.0003320747326398051
programmed cell death GO:0012501,73.3675311405216,104,1.4175207804227146,0.00010077686497585945,0.0008245379861661228
pyridoxal phosphate binding GO:0030170,6.786176527831841,16,2.3577341282502626,0.00021691669892527057,0.0017164832862755213
catabolic process GO:0009056,102.9450175165434,137,1.3308074864136472,0.0002161497471606212,0.0017164832862755213
posttranscriptional gene silencing GO:0016441,22.151104515375632,38,1.7154900774190855,0.0002817432714105264,0.0021130745355789483
gene silencing by RNA GO:0031047,23.303474114441414,39,1.6735702071062133,0.0004119203940221784,0.0030059055779996804
lytic vacuole GO:0000323,11.907819190346439,23,1.931503966624375,0.0005274530493113957,0.003747692718791496
"oxidoreductase activity, acting on CH-OH group of donors GO:0016614",7.298340794083301,16,2.1922791017063843,0.0005664546689669242,0.003921609246694091
vacuolar part GO:0044437,6.786176527831841,15,2.2103757452346215,0.0007026201909417876,0.004742686288857066
RNA splicing GO:0008380,18.822036784741144,32,1.7001348135682166,0.0008527081817924401,0.0056153953435111904
protein folding GO:0006457,12.4199834565979,23,1.8518543185161533,0.0010072247378306262,0.0064750161717683115
response to unfolded protein GO:0006986,11.139572790969249,21,1.8851710378897575,0.0011782460060056291,0.007398288874919066
identical protein binding GO:0042802,14.724722654729467,26,1.7657378417004683,0.0011945947013417143,0.007398288874919066
reproduction GO:0000003,402.4330722070845,458,1.1380774385369645,0.0014273811835933247,0.008564287101559948
biosynthetic process GO:0009058,281.3062232386143,327,1.1624342904160587,0.0017509023090587646,0.010277035292301446
fertilization GO:0009566,10.115244258466328,19,1.8783530594525433,0.001897656844354744,0.010901432935654912
organic cyclic compound metabolic process GO:1901360,272.85551284546517,317,1.1617870450707608,0.0020852994299541123,0.011729809293491883
cellular aromatic compound metabolic process GO:0006725,267.60582911638767,310,1.1584202071516692,0.002713955769858236,0.014954450160443342
striated muscle dense body GO:0055120,12.035860256909302,21,1.7447859606000948,0.0033704497397539094,0.018200428594671112
heterocycle metabolic process GO:0046483,266.5815005838848,307,1.1516177954118643,0.003906702058997909,0.02068254031234187
protein complex biogenesis GO:0070271,46.094783962631375,63,1.3667490024700741,0.004137011531768627,0.02148063679956787
electron carrier activity GO:0009055,8.83483359283768,16,1.8110131709748392,0.005388720489701303,0.027451972306025505
reproductive system development GO:0061458,128.68127189567926,155,1.204526484053228,0.006482617918743119,0.0324130895937156
development of primary sexual characteristics GO:0045137,127.27282016348772,153,1.2021419797523505,0.007259538482762472,0.03563773436992486
response to starvation GO:0042594,6.402053328143246,12,1.8743986319589587,0.008783808888413727,0.04235050714056618
protein catabolic process GO:0030163,53.77724795640327,70,1.3016657166381658,0.0089413502766971,0.04235050714056618
"oxidoreductase activity, acting on the CH-CH group of donors GO:0016627",6.402053328143246,12,1.8743986319589587,0.008783808888413727,0.04235050714056618
