Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,48.074185026825354,240,4.9922843177909355,1.1944745429167454e-104,2.998131102721031e-102
contractile fiber GO:0043292,1.7871129388055231,75,41.967129425031615,4.6795223799079714e-102,5.872800586784504e-100
single-multicellular organism process GO:0044707,46.27013262888423,216,4.668238185795939,3.5846293040790122e-87,2.99913985107944e-85
cytoplasm GO:0005737,68.07968626596585,247,3.6281013257765165,1.475088844988605e-78,9.256182502303496e-77
embryo development GO:0009790,27.81459190065089,133,4.781662821984013,1.2763004555177685e-52,6.407028286699198e-51
cell periphery GO:0071944,17.913478035894222,103,5.749860512493064,1.1293119095936794e-47,4.7242881551335585e-46
reproduction GO:0000003,26.857512459489637,115,4.281855967616492,1.217993613536604e-40,4.367377099966965e-39
actin filament-based process GO:0030029,4.38731991611972,50,11.396479161752474,9.790135045534596e-38,3.071654870536479e-36
mitochondrion GO:0005739,10.121326833519433,66,6.520884177104494,4.921323934319532e-34,1.3725025639046696e-32
cellular component organization or biogenesis GO:0071840,45.73653966611291,129,2.8205019649874954,1.7276693414372064e-27,4.336450047007388e-26
non-membrane-bounded organelle GO:0043228,34.1838285356355,109,3.188642251887355,1.996382405909503e-27,4.555381671666229e-26
organelle part GO:0044422,50.903074702470114,136,2.6717443061136046,9.280334932900946e-27,1.9411367234651146e-25
nervous system development GO:0007399,3.836787494212805,33,8.600945465386172,1.0328957058154194e-21,1.994283247382079e-20
growth GO:0040007,5.683188539992919,38,6.686387356779007,9.271605202388537e-21,1.6622663612853733e-19
protein complex biogenesis GO:0070271,7.521119856205234,43,5.717233712812491,1.4002179694072377e-20,2.3430314021414446e-19
protein complex subunit organization GO:0071822,8.300334976442715,45,5.421467944090819,1.568177452552884e-20,2.460078378692337e-19
cell junction GO:0030054,4.031591274272175,32,7.937312545597017,4.683978330422553e-20,6.915756240800357e-19
cell morphogenesis involved in differentiation GO:0000904,1.7447642909665297,22,12.609153060905939,6.1999011649235015e-19,8.645417735532216e-18
cell part morphogenesis GO:0032990,1.8125221275089192,22,12.137782853021607,1.469532986070137e-18,1.9413304184400233e-17
maintenance of location GO:0051235,6.343827446281217,37,5.8324411111922,2.816465763006269e-18,3.534664532572868e-17
oviposition GO:0018991,3.4133010158228707,28,8.203202668092203,3.2177778101091738e-18,3.8460106206542984e-17
extracellular region GO:0005576,14.11903918952041,55,3.89544920597874,4.6104997432234506e-18,5.260161070677664e-17
receptor-mediated endocytosis GO:0006898,6.5725101446117815,37,5.6295082374780385,9.0586574804011e-18,9.885752293829026e-17
localization of cell GO:0051674,3.125330210517715,26,8.319120940405547,3.086020731889251e-17,3.2274633487675083e-16
sex differentiation GO:0007548,9.155777662790381,41,4.478046705592951,5.905859104918538e-16,5.929482541338212e-15
reproductive system development GO:0061458,8.51207821563768,38,4.464244692934043,6.911870234111658e-15,6.672613187546254e-14
catabolic process GO:0009056,19.023012609275852,57,2.99637082573378,1.0724890124757496e-13,9.970175634496782e-13
cytoskeleton GO:0005856,10.239903047468614,39,3.808629810185665,5.058876892597601e-13,4.534921785864277e-12
intrinsic component of membrane GO:0031224,84.69729567798687,150,1.7710128617363343,5.898744623810343e-13,5.105465174401365e-12
system process GO:0003008,14.855905661918898,48,3.2310382882304847,5.944199718121636e-13,5.105465174401365e-12
membrane-bounded organelle GO:0043227,84.69729567798687,149,1.7592061093247588,1.2161573958769738e-12,9.846951818229692e-12
lipid catabolic process GO:0016042,2.1513113102208665,17,7.90215712585766,1.0153010103305683e-11,7.963767299780396e-11
taxis GO:0042330,2.176720498924263,16,7.350507337945875,1.1184246738413534e-10,8.506805852550901e-10
actin binding GO:0003779,3.1761485879245077,19,5.982087888531619,1.2237254477488861e-10,9.033973158381483e-10
cell death GO:0008219,6.4539339306626,27,4.183494948983467,1.6025586554999074e-10,1.1492634929442194e-09
mitochondrial matrix GO:0005759,1.7108853726953348,14,8.182897710992965,2.795482464318949e-10,1.9490724959557115e-09
endoplasmic reticulum GO:0005783,7.648165799722215,29,3.7917588032745435,3.892540911538067e-10,2.640615591340689e-09
synapse GO:0045202,3.4556496636618643,19,5.498242544606267,5.328828462025571e-10,3.519831431495838e-09
single-organism localization GO:1902578,28.33124540428661,64,2.258989998029405,6.722356117209665e-10,4.3264394497939125e-09
small molecule biosynthetic process GO:0044283,4.336501538712928,21,4.84261329381029,8.652802445006627e-10,5.429633534241659e-09
generation of precursor metabolites and energy GO:0006091,4.048530733407772,20,4.940063770533708,1.409844452589066e-09,8.630998965850136e-09
fatty acid metabolic process GO:0006631,2.3715242789836326,14,5.903376205787781,2.3815064598008168e-08,1.4232336224047738e-07
synaptic signaling GO:0099536,2.083553473678477,13,6.239340705304159,3.282575258469537e-08,1.9161078834322178e-07
regulation of anatomical structure size GO:0090066,2.134371851085269,13,6.090784974225489,4.432072675167347e-08,2.5282960033341e-07
