Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
cytoplasm GO:0005737,20.164142906946783,377,18.696554658423846,0.0,0.0
single-multicellular organism process GO:0044707,13.704492747032877,371,27.071414232411062,0.0,0.0
developmental process GO:0032502,14.238824973852939,402,28.232666722022447,0.0,0.0
embryo development GO:0009790,8.238248980643597,257,31.19594960092143,4.7120770351882764e-299,2.968608532168614e-297
reproduction GO:0000003,7.9547769542085405,223,28.033469861404473,1.506647751770955e-247,7.593504668925614e-246
membrane-bounded organelle GO:0043227,25.0860200385006,266,10.603515407854985,4.186841283700717e-187,1.758473339154301e-185
contractile fiber GO:0043292,0.5293150228123626,88,166.25260233959995,6.376133051651669e-173,2.295407898594601e-171
organelle part GO:0044422,15.07669804313886,202,13.398159160714016,1.6114520522787645e-159,5.0760739646781084e-158
cellular component organization or biogenesis GO:0071840,13.546450820790323,193,14.247274253105068,3.911269900384955e-157,1.0951555721077873e-155
intrinsic component of membrane GO:0031224,25.0860200385006,233,9.2880416918429,5.652996851156253e-150,1.4245552064913756e-148
cell periphery GO:0071944,5.305693238142877,136,25.632842664609715,3.29619955348869e-144,7.551293522537726e-143
mitochondrion GO:0005739,2.9977793946008218,102,34.025185503545735,5.182978844317891e-121,1.0884255573067572e-119
non-membrane-bounded organelle GO:0043228,10.124717687538842,143,14.123850601385117,3.641496563107211e-115,7.058901030023208e-114
establishment of localization GO:0051234,25.0860200385006,197,7.852979456193353,1.4998850130548934e-112,2.699793023498808e-111
catabolic process GO:0009056,5.634320100647234,110,19.523207420778935,1.1830812768359598e-103,1.9875765450844127e-102
ion binding GO:0043167,25.0860200385006,170,6.776682779456193,7.966142578258473e-87,1.2546674560757095e-85
actin filament-based process GO:0030029,1.299455837994331,60,46.173173605197775,2.2934507975401034e-80,3.3997035351770945e-79
sex differentiation GO:0007548,2.7117987661619147,71,26.181883731914336,1.6081883989527495e-76,2.251463758533849e-75
protein complex subunit organization GO:0071822,2.458429963773059,67,27.25316603982983,1.6047045639503543e-73,2.1283450006078384e-72
protein complex biogenesis GO:0070271,2.227638579418853,65,29.178880542173594,2.3100555126419407e-73,2.910669945928845e-72
reproductive system development GO:0061458,2.5211450138693103,67,26.57522658610272,8.923667601299504e-73,1.0708401121559404e-71
single-organism localization GO:1902578,8.39127370287845,91,10.844599189844606,1.8479980695169833e-63,2.116797788719454e-62
receptor-mediated endocytosis GO:0006898,1.9466751549876464,56,28.766997850935933,3.3831486589066695e-63,3.7067541828020902e-62
extracellular region GO:0005576,4.18183954041805,70,16.73904494025666,6.6551250104906765e-62,6.98788126101521e-61
system process GO:0003008,4.400087914753005,71,16.13604122816385,1.191756001810363e-61,1.2012900498248459e-60
protein catabolic process GO:0030163,2.591385869977112,58,22.38184620513975,5.995817238023544e-59,5.811330553776665e-58
maintenance of location GO:0051235,1.8789429008836949,51,27.14292168006486,1.7932235702438158e-56,1.6736753322275614e-55
cell communication GO:0007154,22.554840616615888,127,5.630720347739482,1.198922937782522e-55,1.0790306440042697e-54
oxidation-reduction process GO:0055114,10.4533445500432,91,8.705347801783107,2.2055329330499073e-55,1.9165320659606091e-54
signaling GO:0023052,22.319032028253982,126,5.645406119785786,2.482857823336546e-55,2.0856005716026988e-54
nucleus GO:0005634,16.975709760053356,111,6.538754583398999,6.16850795108546e-55,5.014400011850116e-54
cell junction GO:0030054,1.1940945538326284,43,36.010548630328266,1.640807800075737e-53,1.2921361425596428e-52
oviposition GO:0018991,1.010966607551574,41,40.555246527179094,2.189667845480508e-53,1.672109991094206e-52
localization of cell GO:0051674,0.9256741394206721,39,42.131456782845774,1.2972892217382353e-51,9.615202467001039e-51
growth GO:0040007,1.6832719445833901,46,27.327729276320234,2.430860115362131e-51,1.7502192830607343e-50
cytoskeleton GO:0005856,3.032899822654722,53,17.475024926345462,2.130325791881571e-48,1.4912280543170996e-47
cell death GO:0008219,1.9115547269337456,45,23.541047172728785,2.5895534685367164e-47,1.76369587586825e-46
transporter activity GO:0005215,15.56838403589347,96,6.166343262002565,1.7495216233890203e-45,1.160209076563245e-44
nervous system development GO:0007399,1.136396707744077,37,32.55905243992717,9.189830032600273e-45,5.938044021064792e-44
organic acid metabolic process GO:0006082,4.723697573249663,58,12.278516797615168,4.333489508390089e-44,2.730098390285756e-43
transmembrane transport GO:0055085,16.085156048686585,95,5.906066420024388,1.7759437053136871e-43,1.0915556432659735e-42
phosphorus metabolic process GO:0006793,19.770292392342323,104,5.260417900560872,4.926150740566127e-43,2.9556904443396764e-42
multi-organism reproductive process GO:0044703,1.8388052688220937,41,22.29708642626627,2.2719603193175496e-42,1.3314744196930754e-41
biosynthetic process GO:0009058,25.0860200385006,114,4.544363746223564,4.3938850931872667e-41,2.516497826098162e-40
endoplasmic reticulum GO:0005783,2.265267609476604,42,18.540855757746083,5.894340137265852e-40,3.300830476868877e-39
generation of precursor metabolites and energy GO:0006091,1.1991117578403288,34,28.35432125295478,2.9908626513931155e-39,1.6384725829370983e-38
regulation of metabolic process GO:0019222,16.007389386567233,89,5.55993221947142,8.417170563187988e-39,4.5130361317518574e-38
membrane-enclosed lumen GO:0031974,3.3314234611128795,46,13.807911403923853,1.0217488988731738e-37,5.364181719084162e-37
passive transmembrane transporter activity GO:0022803,5.749715792824338,54,9.391768557915881,2.916623303262454e-35,1.4999776988206907e-34
nucleoside phosphate binding GO:1901265,25.0860200385006,104,4.145735347432024,3.3592888437291058e-34,1.6930815772394693e-33
cell morphogenesis involved in differentiation GO:0000904,0.5167720127931122,24,46.44214354852903,4.6308863643838455e-34,2.2882026741661354e-33
cation transport GO:0006812,7.259894199142074,58,7.989097142332192,5.821461973263667e-34,2.8211700331970077e-33
