Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,24.477013323632395,869,35.502697510933096,0.0,0.0
single-multicellular organism process GO:0044707,23.558478468464372,836,35.486162704398694,0.0,0.0
cytoplasm GO:0005737,34.662831764509725,553,15.953687908620344,0.0,0.0
nucleus GO:0005634,29.18180922498598,406,13.912776855945438,0.0,0.0
embryo development GO:0009790,14.161823776393373,470,33.187815878873764,0.0,0.0
membrane-bounded organelle GO:0043227,43.123702120564474,612,14.191731458699472,0.0,0.0
cellular component organization or biogenesis GO:0071840,23.286799145104816,430,18.46539738332357,0.0,0.0
reproduction GO:0000003,13.674525942430995,517,37.807526357881926,0.0,0.0
sex differentiation GO:0007548,4.66167219923302,212,45.477243130668896,1.8591892894264425e-280,5.205730010394039e-279
establishment of localization GO:0051234,43.123702120564474,403,9.345208787346222,1.769976488976663e-259,4.460340752221191e-258
reproductive system development GO:0061458,4.3339320631167295,194,44.76304593027831,4.926295636245398e-255,1.1285695457580366e-253
signaling GO:0023052,38.36715777666621,378,9.852176233650766,1.4720208240461378e-250,3.0912437304968897e-249
cell communication GO:0007154,38.77252057659952,379,9.774964185040341,4.873400202847998e-250,9.446898854751504e-249
regulation of metabolic process GO:0019222,27.51723432313219,333,12.101506862557974,1.4176397053378464e-247,2.5517514696081235e-246
growth GO:0040007,2.893600412289876,169,58.40474700038502,5.993579082389027e-244,1.0069212858413565e-242
cell periphery GO:0071944,9.120662998499387,223,24.449976941006366,1.8913976750675713e-231,2.9789513382314245e-230
regulation of gene expression GO:0010468,22.96337137920058,284,12.367521968365555,1.8568537495158368e-212,2.7525126169293583e-211
nervous system development GO:0007399,1.9535037060615708,137,70.13040189015234,1.3802731509704092e-210,1.932382411358573e-209
organelle part GO:0044422,25.917344974459247,281,10.842159961867889,8.874112497808288e-195,1.1769875523408887e-193
intrinsic component of membrane GO:0031224,43.123702120564474,338,7.837917047451669,1.6532179224670352e-191,2.0830545823084643e-190
ion binding GO:0043167,43.123702120564474,328,7.606026010544816,1.2068108324594844e-181,1.4481729989513814e-180
receptor-mediated endocytosis GO:0006898,3.346399284555803,140,41.83601181309224,1.3715069581018872e-179,1.5709988792803436e-178
single-organism localization GO:1902578,14.424878359328815,200,13.86493494211385,4.09222279226211e-158,4.483652798478486e-157
organic cyclic compound biosynthetic process GO:1901362,30.945568641717063,264,8.531108381188615,6.425331197577011e-157,6.746597757455861e-156
aromatic compound biosynthetic process GO:0019438,30.389272884361784,262,8.621463270838056,8.462610706117438e-157,8.530311591766378e-156
macromolecule biosynthetic process GO:0009059,39.95842238491504,292,7.3075958101447664,3.057429140011625e-156,2.9633543972420364e-155
heterocycle biosynthetic process GO:0018130,30.669576948145455,262,8.542667557592207,7.789491834340973e-156,7.270192378718242e-155
multi-organism reproductive process GO:0044703,3.1609673654373758,114,36.0649088777372,1.3717859480197032e-138,1.234607353217733e-137
biosynthetic process GO:0009058,43.123702120564474,282,6.539327240773287,1.6934085934091324e-138,1.4715136742727634e-137
cell death GO:0008219,3.2860261015870127,114,34.69235985220652,1.5475173604830255e-136,1.2999145828057414e-135
maintenance of location GO:0051235,3.229965288830279,112,34.6752952384081,3.7786769791262997e-134,3.071698705612347e-133
localization of cell GO:0051674,1.591264608248829,91,57.18722048380413,3.201524106746224e-131,2.5212002340626515e-130
oviposition GO:0018991,1.7378851954587482,90,51.787080202523256,2.0883009960943798e-125,1.5947025788357082e-124
macromolecule modification GO:0043412,35.421808921831655,231,6.521406078096336,1.74535544487199e-112,1.2936163885521808e-111
carbohydrate derivative binding GO:0097367,40.212852227426374,243,6.042844178913196,2.0431625224768458e-111,1.4710770161833291e-110
cell part morphogenesis GO:0032990,0.9228472253800797,67,72.60139940541696,1.5345670696538176e-105,1.0741969487576723e-104
DNA binding GO:0003677,30.954193382141177,206,6.654994929341314,1.0854026479041353e-101,7.392472088428164e-101
taxis GO:0042330,1.108279144498507,68,61.3563833060937,3.455293350439173e-101,2.2914050639754513e-100
cell morphogenesis involved in differentiation GO:0000904,0.8883482636836281,64,72.04381729144983,1.0607537106641819e-100,6.854100899676253e-100
non-membrane-bounded organelle GO:0043228,17.40472617585982,161,9.250360986621287,3.093654232218877e-100,1.9490021662978925e-99
catabolic process GO:0009056,9.68558349627878,128,13.215517686588305,1.2171792553171765e-98,7.481199325364109e-98
nucleoside phosphate binding GO:1901265,43.123702120564474,233,5.403061159929702,6.079140039741612e-97,3.6474840238449673e-96
response to organic substance GO:0010033,8.171941551846968,117,14.317283017468037,3.107733377375197e-94,1.8212763048803479e-93
synapse GO:0045202,1.7594470465190306,71,40.35358730486922,5.396482311640054e-91,3.0907125966665764e-90
cellular response to chemical stimulus GO:0070887,7.913199339123581,112,14.153567375241233,9.972492655339945e-90,5.5845958869903685e-89
protein serine/threonine kinase activity GO:0004674,3.9156321525472544,87,22.218634593498138,3.750723500701548e-87,2.054744178645196e-86
phosphorus metabolic process GO:0006793,33.98578964121686,197,5.796540321107761,7.358045545439458e-87,3.9451648456398796e-86
synaptic signaling GO:0099536,1.060843072165886,59,55.61614299798535,2.63839579028256e-85,1.385157789898344e-84
regulation of molecular function GO:0065009,7.8226395646703955,106,13.550413402495336,4.639244495473574e-83,2.3858971691006952e-82
protein catabolic process GO:0030163,4.45467842905431,87,19.530029245785393,3.302766574072173e-82,1.6645943533323753e-81
immune system process GO:0002376,1.4705182423112486,60,40.80194197774559,1.1484295372555313e-77,5.6745930076155665e-77
organelle localization GO:0051640,1.1039667742864505,55,49.82033996045694,9.496288981006572e-77,4.602047736949338e-76
cell junction GO:0030054,2.052688220938869,64,31.1786268110056,1.3492914889865305e-74,6.415499155181239e-74
