Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,27.672812440425936,207,7.480266071460205,7.16594954793467e-133,1.7986533365316023e-130
developmental process GO:0032502,28.751763392249245,208,7.234338887752241,9.035629370924461e-131,1.1339714860510199e-128
embryo development GO:0009790,16.635093548299245,149,8.956967964585543,3.233490484610859e-101,2.7053537054577523e-99
reproduction GO:0000003,16.06269233911599,144,8.964873195593126,1.7561240059369035e-97,1.101967813725407e-95
sex differentiation GO:0007548,5.475802717938942,64,11.687784110690021,6.7056806677549e-49,3.3662516952129603e-47
reproductive system development GO:0061458,5.090824913532503,62,12.1787728026534,1.7817614878946792e-48,7.453702224359409e-47
nucleus GO:0005634,34.27822108445219,133,3.8800146504780475,1.581863553188724e-45,5.672110740719567e-44
membrane-bounded organelle GO:0043227,50.65497426400501,157,3.099399462365591,1.445533320527971e-42,4.535360793156509e-41
cellular component organization or biogenesis GO:0071840,27.353686102562705,102,3.728930704898447,1.4321119529919672e-32,3.994001113344264e-31
receptor-mediated endocytosis GO:0006898,3.9308260028867887,43,10.93917664338765,4.473446071206203e-32,1.122834963872757e-30
organelle part GO:0044422,30.443639532667014,102,3.3504535451666575,8.842196322486366e-29,2.0176284335855252e-27
organelle fission GO:0048285,3.4293417576731393,36,10.49764139705532,1.537042424061512e-26,3.2149804036619963e-25
membrane-enclosed lumen GO:0031974,6.726980582259865,47,6.98678990154165,2.9574609748835136e-26,5.71017465150586e-25
multi-organism reproductive process GO:0044703,3.713009613551568,33,8.887668881749768,3.3521264719854857e-22,6.009883889059692e-21
cell proliferation GO:0008283,1.078950951823307,20,18.53652380231208,8.165750711908552e-21,1.3664022857926978e-19
cellular response to DNA damage stimulus GO:0006974,5.308641302867725,33,6.216279857178034,1.943178761573423e-17,3.0483616822183074e-16
synapse GO:0045202,2.0667229499714046,22,10.64487138941598,3.16535742377394e-17,4.673557137454464e-16
cell death GO:0008219,3.859909038917182,27,6.994983489966979,6.639873886518595e-16,8.83216466486881e-15
mRNA processing GO:0006397,3.2267218606171193,25,7.747801353792137,6.333823265642971e-16,8.83216466486881e-15
RNA splicing GO:0008380,2.1680328984994146,21,9.686199879409104,1.0569780285417654e-15,1.3265074258199157e-14
cell periphery GO:0071944,10.713527056837059,41,3.8269376445766294,7.684254017290208e-14,9.18451313495163e-13
synaptic signaling GO:0099536,1.2461123668945233,15,12.037437713086808,2.476242742287e-13,2.8251678559728956e-12
gene silencing GO:0016458,1.1194749312345107,14,12.505862891062133,7.509734055584698e-13,8.195405425877213e-12
nucleoplasm GO:0005654,3.3584247937035325,22,6.550690085794449,8.913129402734768e-13,9.321647833693446e-12
growth GO:0040007,3.398948773114736,22,6.47258945884012,1.137503506761318e-12,1.142053520788363e-11
regulation of cell cycle process GO:0010564,1.5095182330673493,15,9.936945226239446,4.587289855963625e-12,4.4284990532571913e-11
cell junction GO:0030054,2.4111767749666386,18,7.465234480889129,8.098466697214993e-12,7.528574596299863e-11
chromosome segregation GO:0007059,2.0312644679866008,16,7.876866972354062,4.057568680228717e-11,3.6373204954907425e-10
localization of cell GO:0051674,1.8691685503417848,15,8.024958475391205,1.0975471334568153e-10,9.499459672333125e-10
nucleolus GO:0005730,1.1245404286609113,12,10.67102586457425,1.6169261302944204e-10,1.352828195679665e-09
chromosome GO:0005694,5.668291620142161,25,4.410499966367821,2.014478620511608e-10,1.6310778508013344e-09
non-membrane-bounded organelle GO:0043228,20.444347612952424,51,2.4945770325138272,7.79034502039082e-10,6.11055187536905e-09
oviposition GO:0018991,2.041395462839402,14,6.858053843485685,3.352606888145164e-09,2.550013117952837e-08
establishment of localization GO:0051234,50.65497426400501,90,1.776725806451613,1.3846263619867004e-08,1.0221800495842995e-07
transporter complex GO:1990351,1.960347504016994,13,6.631477313772887,1.6007013026357154e-08,1.1479315056044703e-07
