Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,25.66430186007244,121,4.7147201065401765,3.1509204780598185e-50,7.908810399930144e-48
developmental process GO:0032502,26.66494185571503,122,4.575295932019895,2.621232601888546e-49,3.289646915370125e-47
single-organism behavior GO:0044708,2.118726000163403,35,16.519361161991068,9.673778698501361e-33,8.093728177746139e-31
cellular component organization or biogenesis GO:0071840,25.368337917699282,93,3.6659871175523353,2.8773258122315e-29,1.8055219471752662e-27
taxis GO:0042330,1.2073449712682807,26,21.53485591834433,4.872991284312422e-28,2.446241624724836e-26
reproduction GO:0000003,14.896851766115635,60,4.027696653092565,8.061945357728232e-21,3.3725804746496436e-19
multi-organism reproductive process GO:0044703,3.4435169803099215,30,8.712023251675662,3.819800537607209e-20,1.3696713356277277e-18
cytoskeleton GO:0005856,5.679688989351562,37,6.514441207849342,4.857985904729288e-20,1.524193077608814e-18
cell periphery GO:0071944,9.935932351098886,48,4.830950765751876,4.908859571851364e-20,1.524193077608814e-18
microtubule-based movement GO:0007018,1.6724311664261011,22,13.154502524018888,2.987461805573685e-19,7.49852913198995e-18
single-organism intracellular transport GO:1902582,1.6019635610991583,20,12.484678481873434,2.889572856246073e-17,6.593479881070584e-16
single-organism localization GO:1902578,15.714275987908167,56,3.5636385693550836,4.1971696610041144e-17,8.77907987426694e-16
embryo development GO:0009790,15.427707726245268,52,3.3705590566470724,5.5756229951775425e-15,1.0765241321458178e-13
cellular macromolecule localization GO:0070727,6.238731991611972,31,4.968958442465515,7.454217883399721e-14,1.336434777666664e-12
protein localization to organelle GO:0033365,1.9871864702197772,18,9.058032685784767,2.774057026857388e-13,4.641922091608029e-12
organelle part GO:0044422,28.234020534328277,69,2.4438602329450916,1.3315646476662405e-12,2.0888920410264147e-11
intrinsic component of membrane GO:0031224,46.978403551294974,95,2.022205797101449,3.0228373800788544e-12,4.463130484704662e-11
female gamete generation GO:0007292,1.390560745118331,14,10.067880924402663,1.6838247706688204e-11,2.3480000968770773e-10
cytoplasm GO:0005737,37.7612407745309,80,2.1185744525099977,2.5539813352283936e-11,3.3739437639069834e-10
non-membrane-bounded organelle GO:0043228,18.96048367330265,51,2.6898048002757786,4.947565316469837e-11,6.209194472169646e-10
synaptic signaling GO:0099536,1.1556687273618562,12,10.3835984446801,2.281663850892968e-10,2.7271315551149288e-09
synapse GO:0045202,1.9167188648928348,14,7.304148905939187,1.4299572429386307e-09,1.6314512180799832e-08
organelle localization GO:0051640,1.2026471309131512,11,9.146490036231883,4.367149343236573e-09,4.7658890658799126e-08
exocytosis GO:0006887,0.9912443149323239,10,10.088330242461707,6.4535139018945314e-09,6.749299955731364e-08
system process GO:0003008,8.240011982897139,28,3.398053310858823,7.020114897954737e-09,7.048195357546555e-08
secretion GO:0046903,2.0811432773223673,13,6.246566558707102,3.356288432327044e-08,3.240109217361877e-07
cell communication GO:0007154,42.23828263296931,77,1.822990784665503,5.5411099307269004e-08,5.151179972638711e-07
signaling GO:0023052,41.79668563958713,75,1.7944006528825056,1.6181085480215764e-07,1.4505187341193416e-06
nervous system development GO:0007399,2.128121680873662,12,5.638775314329591,3.112857589964362e-07,2.694231914072603e-06
regulation of cell cycle process GO:0010564,1.39995642582859,9,6.428771520280129,1.8204240596973623e-06,1.5230881299467933e-05
enzyme linked receptor protein signaling pathway GO:0007167,1.4046542661837194,9,6.407270612185547,1.8756606562678863e-06,1.5230881299467933e-05
protein serine/threonine kinase activity GO:0004674,4.265639042457583,16,3.7509034029240884,1.9299370365187713e-06,1.5230881299467933e-05
establishment of localization GO:0051234,46.978403551294974,78,1.6603373913043478,1.975554888226597e-06,1.5230881299467933e-05
maintenance of location GO:0051235,3.5186824259919933,14,3.9787620208587295,3.4788870667613193e-06,2.5682372169326213e-05
neurotransmitter transport GO:0006836,1.1368773659413383,7,6.157216433105761,2.191194301959048e-05,0.000157139934226206
organelle fission GO:0048285,3.1804379204226696,12,3.773065313724231,2.4000234805060866e-05,0.0001673349704463966
oviposition GO:0018991,1.8932296631171872,9,4.753781421944115,2.5156281672665906e-05,0.00017065477567132818
regulation of protein metabolic process GO:0051246,5.736063073613115,16,2.7893696067609115,8.257229454125782e-05,0.000545411734996203
mitotic cell cycle GO:0000278,2.6026035567417414,9,3.4580756553131375,0.00033661332126992444,0.0021664088112500267
cell proliferation GO:0008283,1.0006399956425829,5,4.996802068449344,0.0005507196044133835,0.0034557655176939814
cytoplasmic vesicle part GO:0044433,1.0429205588387482,5,4.794229011620317,0.0006835821992227469,0.004184856878168524
cyclic nucleotide metabolic process GO:0009187,1.4986110732863094,6,4.003707237290446,0.0008514874922863935,0.005088651441997256
microtubule cytoskeleton organization GO:0000226,1.1133881641656906,5,4.49079679569498,0.0009586834275634597,0.0055960358213588
cell death GO:0008219,3.5797543506086766,10,2.79348777055042,0.0010926252177206092,0.006232930219269839
purine-containing compound metabolic process GO:0072521,3.669013317356137,10,2.7255284009723693,0.0013276120220723096,0.007405124834225549
G-protein coupled receptor signaling pathway GO:0007186,13.609643508810152,25,1.836932759026079,0.001389704212317957,0.007582951245474069
