Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,3.8505070256013822,117,30.385608758037947,1.7708945203516038e-140,4.462654191286041e-138
developmental process GO:0032502,4.0006366240734845,117,29.245345427265907,1.553683201562035e-138,1.957640833968164e-136
reproduction GO:0000003,2.2350279659860854,78,34.89889217810602,1.6772625008208046e-96,1.408900500689476e-94
cell periphery GO:0071944,1.4907234777863672,65,43.602989399832225,1.4339907555196963e-86,9.034141759774086e-85
embryo development GO:0009790,2.3146741848938204,70,30.241837255903498,4.487441760482883e-82,2.2616706472833728e-80
cellular component organization or biogenesis GO:0071840,3.8061024964758308,76,19.96793309438471,1.2293718091084505e-75,5.1633615982554925e-74
membrane-bounded organelle GO:0043227,7.048337956436725,88,12.485212903225806,1.4434336073076055e-70,5.19636098630738e-69
intrinsic component of membrane GO:0031224,7.048337956436725,82,11.633948387096773,4.010023705375961e-63,1.2631574671934277e-61
establishment of localization GO:0051234,7.048337956436725,79,11.208316129032257,1.6794208414003092e-59,4.702378355920866e-58
synapse GO:0045202,0.28757218862261835,33,114.75379506641366,3.2021014507313665e-59,8.069295655843044e-58
signaling GO:0023052,6.270906279841753,74,11.800527180238355,3.4400556166176297e-57,7.880854685342207e-56
cell communication GO:0007154,6.337160656632258,74,11.677153856365328,7.229316310993183e-57,1.5181564253085683e-55
synaptic signaling GO:0099536,0.1733891137283434,27,155.7191188040913,7.054357661277193e-53,1.3674601004937327e-51
nucleus GO:0005634,4.7696102951207315,63,13.208626303169556,1.638009723656313e-51,2.948417502581364e-50
nervous system development GO:0007399,0.3192897094265836,28,87.69465213985616,3.2390992964915834e-47,5.44168681810586e-46
cytoplasm GO:0005737,5.665454049383839,62,10.943518288131376,7.542345472280779e-46,1.1879194118842227e-44
organelle part GO:0044422,4.236051111818472,52,12.27558370457839,5.56620216925646e-41,8.251076156780164e-40
sex differentiation GO:0007548,0.7619253330908098,29,38.06147235236192,7.537826970872126e-38,1.0552957759220976e-36
reproductive system development GO:0061458,0.7083579646218908,28,39.52803723318889,4.171889686679546e-37,5.533243163385504e-36
localization of cell GO:0051674,0.26008367059251514,21,80.74324678730657,2.196998932529553e-35,2.7682186549872367e-34
cell junction GO:0030054,0.33550088672638806,22,65.57359718080781,8.266211660405413e-35,9.919453992486495e-34
single-organism localization GO:1902578,2.357669046428084,36,15.269318674960221,4.1070561888858846e-32,4.7044461799965585e-31
signal transducer activity GO:0004871,2.7918466645445865,37,13.252876839507781,9.698481608372793e-31,1.0626162457869321e-29
taxis GO:0042330,0.1811422854804238,17,93.84887661604118,1.842425424025426e-30,1.9345466952266974e-29
oviposition GO:0018991,0.28404801964439996,18,63.369566957496204,9.246724051447562e-29,9.320697843859143e-28
ion binding GO:0043167,7.048337956436725,50,7.093870967741935,2.6391587366040915e-28,2.5579538524008885e-27
receptor-mediated endocytosis GO:0006898,0.5469510254194898,21,38.39466245427336,3.027926260997761e-28,2.826064510264577e-27
cell morphogenesis involved in differentiation GO:0000904,0.1451957619025965,15,103.30880050109616,5.877902867078984e-28,5.2901125803710854e-27
cell part morphogenesis GO:0032990,0.1508344322677459,15,99.44678926741031,1.100890580412416e-27,9.566359526342374e-27
molecular transducer activity GO:0060089,3.109021872584239,35,11.257559912535378,8.649080141110628e-27,7.265227318532928e-26
organelle localization GO:0051640,0.18043745168478015,15,83.13130040322581,2.0766866971717315e-26,1.6881453151202463e-25
multi-organism reproductive process GO:0044703,0.5166431722068119,18,34.84029397526735,7.900466400761531e-24,6.221617290599705e-23
cell death GO:0008219,0.5370833522804784,18,33.51435102870205,1.6363492986883825e-23,1.2495758280893104e-22
organelle fission GO:0048285,0.47717247965076626,17,35.62653070948682,7.740981299862908e-23,5.737433198721921e-22
growth GO:0040007,0.4729434768769042,16,33.83068121724917,2.744381516608287e-21,1.9759546919579666e-20
regulation of gene expression GO:0010468,3.7532399618025556,32,8.525966984703922,5.3029748570890195e-21,3.7120823999623135e-20
system process GO:0003008,1.2362784775590014,21,16.986464118880345,1.2067927308123281e-20,8.219236977424505e-20
passive transmembrane transporter activity GO:0022803,1.6154790596152973,23,14.237262849743848,1.2641275826414634e-20,8.383161863832863e-20
regulation of metabolic process GO:0019222,4.497544450002273,34,7.5596807053197255,1.4805733505101894e-20,9.566781649450454e-20
transporter complex GO:1990351,0.27277067891410123,13,47.659081437025925,6.490700058448328e-20,4.0891410368224466e-19
catabolic process GO:0009056,1.583056705015688,21,13.265475540746275,2.1065035053450578e-18,1.2947289837730599e-17
non-membrane-bounded organelle GO:0043228,2.8447091992178617,26,9.139774289459382,3.526529965559934e-18,2.1159179793359606e-17
cellular macromolecule localization GO:0070727,0.936019280614797,17,18.162019043917606,1.0659563596108892e-17,6.247000060975443e-17
maintenance of location GO:0051235,0.5279205129371106,14,26.51914380464275,1.9730488904137264e-17,1.1300189099642253e-16
