Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
intrinsic component of membrane GO:0031224,2.3999717055967342,34,14.166833684210525,3.1328591501521212e-31,7.894805058383346e-29
single-multicellular organism process GO:0044707,1.3111045427674959,28,21.356039191884157,9.430011615145038e-31,1.1881814635082749e-28
developmental process GO:0032502,1.3622239400967062,26,19.08643596305775,2.3620306228661256e-27,1.9841057232075455e-25
cell periphery GO:0071944,0.5075940157337093,17,33.49133258678611,8.842831671275016e-23,5.57098395290326e-21
synapse GO:0045202,0.09791884558834675,11,112.33792569659443,6.183295459833528e-22,3.116380911756098e-20
synaptic signaling GO:0099536,0.05903930395767965,9,152.4408215661104,6.890647534220409e-20,2.8940719643725718e-18
embryo development GO:0009790,0.7881507081179675,15,19.031893070068595,1.4483440997530966e-16,5.214038759111148e-15
establishment of localization GO:0051234,2.3999717055967342,22,9.166774736842104,1.9840274046399692e-16,6.249686324615903e-15
cell morphogenesis involved in differentiation GO:0000904,0.049439417135292714,7,141.58742973939707,5.4830934217262e-16,1.535266158083336e-14
cell part morphogenesis GO:0032990,0.05135939449977011,7,136.294441711756,7.464143616896443e-16,1.8809641914579038e-14
signaling GO:0023052,2.135254826469414,20,9.366563537088197,2.9389380045284213e-15,6.732839792192384e-14
cell communication GO:0007154,2.1578145605020236,20,9.268637058110743,3.603554769579073e-15,7.031977753144799e-14
nervous system development GO:0007399,0.10871871826353205,8,73.58438480306727,3.3485608348308568e-15,7.031977753144799e-14
cytoplasm GO:0005737,1.9290972569586549,19,9.849166459318239,5.526213014166452e-15,9.947183425499613e-14
cellular component organization or biogenesis GO:0071840,1.2959847210222364,16,12.345824561403509,1.7942054287203934e-14,3.0142651202502613e-13
membrane-bounded organelle GO:0043227,2.3999717055967342,19,7.916759999999999,3.0545131869308083e-13,4.810858269416023e-12
extracellular region GO:0005576,0.40007528332297554,10,24.995295677706565,4.044203178074542e-13,5.994936475734027e-12
passive transmembrane transporter activity GO:0022803,0.5500735149227715,11,19.997327087351888,4.848811328583543e-13,6.5995710038677646e-12
taxis GO:0042330,0.06167927283383606,6,97.27741142740119,4.713979288476975e-13,6.5995710038677646e-12
reproduction GO:0000003,0.7610310278447244,12,15.768082457800128,1.0365507448199227e-12,1.3060539384731025e-11
transporter activity GO:0005215,1.489422440493333,15,10.071017860474585,2.2416921839775903e-12,2.6900306207731083e-11
cell junction GO:0030054,0.11423865318640453,6,52.52162759840779,3.5087228635991535e-11,4.0190825528499396e-10
transmembrane transport GO:0055085,1.538861857628626,14,9.097632728108481,4.4550737727947673e-11,4.881211264105572e-10
cation transport GO:0006812,0.6945518115996948,10,14.397773978830976,1.3939040452720467e-10,1.463599247535649e-09
growth GO:0040007,0.16103810144554087,6,37.25826339320731,3.785318675530417e-10,3.81560122493466e-09
single-organism localization GO:1902578,0.8027905355221076,10,12.456549445362285,6.295194351457924e-10,6.101496063720757e-09
transporter complex GO:1990351,0.09287890500659361,5,53.83353733170134,6.78354188181614e-10,6.3313057563617315e-09
nucleus GO:0005634,1.62406085317731,13,8.004626165680197,1.004741199488734e-09,9.042670795398607e-09
sex differentiation GO:0007548,0.25943694137500695,6,23.12700715711573,9.963065173323265e-09,8.657560081646424e-08
molecular transducer activity GO:0060089,1.0586275193387193,10,9.446193129616152,1.0762473142718839e-08,9.040477439883824e-08
organelle part GO:0044422,1.442382995063637,11,7.62626849986864,2.530993237234864e-08,2.0574525670425347e-07
signal transducer activity GO:0004871,0.9506287925868664,9,9.467417850356767,4.6462832880891524e-08,3.6589480893702075e-07
single-organism behavior GO:0044708,0.10823872392241271,4,36.95535068269343,9.998849709751059e-08,7.635485232900809e-07
reproductive system development GO:0061458,0.24119715641247177,5,20.7299293008641,1.8920949258210613e-07,1.402376239137963e-06
cellular response to DNA damage stimulus GO:0006974,0.25151703474653775,5,19.879369224588185,2.4142862467075745e-07,1.7382860976294537e-06
receptor binding GO:0005102,0.13319842966061873,4,30.030384068278806,2.7784530906240843e-07,1.944917163436859e-06
organelle localization GO:0051640,0.061439275663276394,3,48.828700657894736,5.193572312633613e-07,3.5372438453612713e-06
cell death GO:0008219,0.18287784396647114,4,21.872523829258185,1.3099378665300983e-06,8.686956378041705e-06
catabolic process GO:0009056,0.5390336450770264,6,11.131030604114917,1.341514772963462e-06,8.686956378041705e-06
immune system process GO:0002376,0.08183903516084863,3,36.657323661058804,1.6192087178434698e-06,9.958560011064716e-06
extracellular space GO:0005615,0.19007775908326136,4,21.044019138755978,1.5807238112801136e-06,9.958560011064716e-06
ion binding GO:0043167,2.3999717055967342,11,4.583387368421052,5.253652754433206e-06,3.1521916526599236e-05
protein catabolic process GO:0030163,0.24791707718814263,4,16.13442706475773,5.717981425687864e-06,3.351003068077539e-05
non-membrane-bounded organelle GO:0043228,0.9686285803788418,7,7.226712221584686,6.421716656914302e-06,3.677892267141828e-05
cytoskeleton GO:0005856,0.2901565792066451,4,13.785660180227245,1.2163462357616727e-05,6.811538920265366e-05
carbohydrate binding GO:0030246,0.14951823725867652,3,20.06444200388612,1.7268287456113293e-05,9.460018345522936e-05
membrane-enclosed lumen GO:0031974,0.31871624250324626,4,12.550348763474952,1.9032149749467594e-05,0.00010204471780565603
regulation of metabolic process GO:0019222,1.531421945341276,8,5.223903199465518,2.469004493079676e-05,0.00012443782645121568
multi-organism reproductive process GO:0044703,0.1759179260202406,3,17.053407051051916,3.247802484671577e-05,0.00016047965218377207
response to endogenous stimulus GO:0009719,0.401995260687453,4,9.950366064414768,5.699558247513406e-05,0.00027099786384403367
DNA binding GO:0003677,1.7226996902773357,8,4.643873824991568,6.09697940022659e-05,0.00028452570534390757
response to organic substance GO:0010033,0.45479463821058114,4,8.795178447437856,0.00010141963496226968,0.00045638835733021355
phosphoric ester hydrolase activity GO:0042578,0.4675144882502438,4,8.55588457797471,0.00011527916193763799,0.0005008680829014616
regulation of gene expression GO:0010468,1.2779849332302609,6,4.694891030392884,0.0003128030667830549,0.0012512122671322196
oxidation-reduction process GO:0055114,1.0000682097221592,5,4.9996589746504485,0.0005303452743040524,0.0020882345175722065
macromolecule modification GO:0043412,1.971336758977157,7,3.550890008073508,0.0008405918135089998,0.0030699874928154774
cellular response to chemical stimulus GO:0070887,0.4403948079770007,3,6.81206941058368,0.0010482972625662967,0.0036690404189820384
organic acid metabolic process GO:0006082,0.45191467216386505,3,6.63842133214076,0.00115235287420895,0.0038719056573420715
carbohydrate derivative binding GO:0097367,2.2379736154689547,7,3.1278295470579933,0.001869735108565928,0.005066379003856062
"hydrolase activity, acting on acid anhydrides GO:0016817",0.8863095508768739,4,4.513095899781948,0.002039967923104752,0.0054112833328673424
zinc ion binding GO:0008270,1.474782613089193,5,3.390330178579076,0.003746768945752359,0.008282331353768373
G-protein coupled receptor signaling pathway GO:0007186,0.6952718031113738,3,4.314859291826391,0.005378097820492502,0.011583595305676158
nucleoside phosphate binding GO:1901265,2.3999717055967342,6,2.50002947368421,0.010499373226697112,0.020812453021774698
phosphorus metabolic process GO:0006793,1.8914177011807862,5,2.643519724320317,0.012008657127073052,0.02292561815168492
peptidase activity GO:0008233,0.914149222661796,3,3.281739923450001,0.01364456629887889,0.025852862461033688
"phosphotransferase activity, alcohol group as acceptor GO:0016773",1.0514276042219293,3,2.8532634942755197,0.021557399097347725,0.039206659071044966
aromatic compound biosynthetic process GO:0019438,1.6912600609340185,4,2.3651004906903275,0.027748840520455346,0.04959367241953721
