Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,9.177087596440968,245,26.696922899048626,3.252928938550052e-275,8.197380925146131e-273
single-multicellular organism process GO:0044707,8.832704288117867,232,26.26602141680395,7.552360947013613e-258,9.515974793237152e-256
cytoplasm GO:0005737,12.996023625826727,223,17.159094690843496,2.889826513803018e-206,2.4274542715945352e-204
embryo development GO:0009790,5.3096468757420965,146,27.497120508526187,2.0577491970770185e-161,1.2963819941585216e-159
reproduction GO:0000003,5.126945871796038,142,27.696801087984863,2.563644727465052e-157,1.2920769426423862e-155
membrane-bounded organelle GO:0043227,16.168230437704313,176,10.885545,9.87585444191109e-127,4.147858865602658e-125
organelle part GO:0044422,9.717106493060292,134,13.790113352745424,2.3000897518245884e-108,8.280323106568518e-107
intrinsic component of membrane GO:0031224,16.168230437704313,151,9.3393028125,2.0690460383988174e-98,6.517495020956275e-97
cellular component organization or biogenesis GO:0071840,8.730844436360329,118,13.515302083333335,3.7464440080601734e-94,1.0490043222568486e-92
immune system process GO:0002376,0.5513366579257171,50,90.6886913489736,6.911948968228104e-83,1.7418111399934822e-81
establishment of localization GO:0051234,16.168230437704313,124,7.66936125,1.709491442201821e-70,3.916289485771445e-69
non-membrane-bounded organelle GO:0043228,6.52549780465746,78,11.9531110629336,2.968497862510721e-58,6.233845511272514e-57
maintenance of location GO:0051235,1.2110004597840531,45,37.15935831108144,2.0131509906460273e-56,3.9024157664830684e-55
catabolic process GO:0009056,3.6313845563083884,62,17.07337767141585,7.462416435342038e-56,1.343234958361567e-54
cell death GO:0008219,1.2320191593530687,43,34.90205462598425,7.891072266654816e-53,1.3257001407980091e-51
single-organism localization GO:1902578,5.4082730814120925,64,11.833721973094171,9.008742220160398e-48,1.4188768996752625e-46
cell periphery GO:0071944,3.4195807375744627,54,15.791409574468084,4.158227850868383e-47,6.163961284816662e-46
receptor-mediated endocytosis GO:0006898,1.2546546819658546,38,30.287218105670107,1.331127131189074e-44,1.8635779836647036e-43
extracellular region GO:0005576,2.6952440139653087,47,17.438124250149972,2.8952937180173033e-43,3.840073773370318e-42
ion binding GO:0043167,16.168230437704313,91,5.6283215625,9.344223118224985e-41,1.177372112896348e-39
biosynthetic process GO:0009058,16.168230437704313,91,5.6283215625,9.344223118224985e-41,1.177372112896348e-39
mitochondrion GO:0005739,1.9321035373056654,40,20.70282426778243,3.908980749460291e-40,4.477559767563606e-39
growth GO:0040007,1.0848882623699594,32,29.49612518628912,1.2729253301580303e-37,1.3946834052166246e-36
nucleus GO:0005634,10.94104153719451,72,6.580726318900546,1.0901846773957105e-36,1.144693911265496e-35
signaling GO:0023052,14.384874620425528,81,5.630914563897943,2.3222859933056446e-36,2.3408642812520896e-35
cell communication GO:0007154,14.536855986539948,81,5.5720439189189195,4.828762823525031e-36,4.680185505878107e-35
multi-organism reproductive process GO:0044703,1.1851312910837262,30,25.313651091405184,2.076056498880141e-33,1.9376527322881319e-32
contractile fiber GO:0043292,0.341149662235561,20,58.62529620853081,5.88116910780598e-31,5.293052197025382e-30
protein catabolic process GO:0030163,1.6701782042148556,31,18.560893635043563,3.217272501366385e-30,2.795698863256307e-29
sex differentiation GO:0007548,1.7477857103158363,31,17.736728145235894,1.3093036070328147e-29,1.0998150299075644e-28
reproductive system development GO:0061458,1.6249071589892836,30,18.462593283582088,2.925655781211998e-29,2.3782750221465273e-28
ribonucleoprotein complex GO:1990904,3.201309626665454,38,11.870142045454546,2.961076508247081e-29,2.3782750221465273e-28
macromolecule biosynthetic process GO:0009059,14.981482323576817,73,4.872682049967624,5.561554930282279e-29,4.24700558312465e-28
