Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
cell periphery GO:0071944,20.13106293744383,158,7.848567186490664,2.9892425800094144e-93,7.50299887582363e-91
intrinsic component of membrane GO:0031224,95.18233067349328,287,3.015265522174535,6.80746297680352e-73,8.543366035888418e-71
G-protein coupled receptor signaling pathway GO:0007186,27.574321196111004,138,5.00465628939809,1.432502362045262e-56,1.198526976244536e-54
signaling GO:0023052,84.68371960020698,242,2.8576921413287626,4.984256032048678e-55,3.1276206601105456e-53
cell communication GO:0007154,85.57843350853781,242,2.827815257635636,3.421159359250482e-54,1.717421998343742e-52
synaptic signaling GO:0099536,2.3414853345679347,44,18.7914907475255,1.9848442153912655e-43,8.303264967720128e-42
synapse GO:0045202,3.883439091478526,52,13.390193273303598,7.12632231835995e-43,2.555295574154782e-41
single-organism behavior GO:0044708,4.292723113374548,53,12.34647532585353,9.261002118356929e-42,2.9056394146344868e-40
signal transducer activity GO:0004871,37.70172117977069,132,3.5011664154692803,4.041711107069533e-37,1.1271883198605032e-35
molecular transducer activity GO:0060089,41.98492606007789,135,3.215439746322839,3.8300059536915715e-34,9.613314943765845e-33
single-multicellular organism process GO:0044707,51.99810724692938,151,2.9039518550728967,2.248800853516505e-33,5.131354674842206e-32
developmental process GO:0032502,54.025490890274796,149,2.7579573557715085,1.683783116268019e-30,3.52191301819394e-29
taxis GO:0042330,2.4461858983087774,32,13.08158959714545,5.726994738756374e-27,1.1057505226368074e-25
passive transmembrane transporter activity GO:0022803,21.81579019036466,83,3.8045837109608094,8.783695601187277e-26,1.5747911399271473e-24
receptor binding GO:0005102,5.282619352378878,41,7.761301215378468,1.0456958962671228e-24,1.7497977997536522e-23
cell junction GO:0030054,4.530678940058281,33,7.283676560753055,1.841998407876328e-19,2.8896350023559896e-18
transporter complex GO:1990351,3.68355619706419,27,7.329873240842399,2.0819242712326586e-16,3.0738999534082196e-15
system process GO:0003008,16.694980800130722,57,3.4141997934824633,4.6689819344444e-16,6.51063591969747e-15
single-organism localization GO:1902578,31.838489610283503,83,2.6069075831157473,1.034669504165266e-15,1.3668528712920095e-14
extracellular region GO:0005576,15.86689452327133,54,3.4033124705530997,3.0443170648564867e-15,3.8206179163948914e-14
nervous system development GO:0007399,4.311759579509245,25,5.798096934441192,5.383498489269907e-13,6.434562480032127e-12
secretion GO:0046903,4.216577248835753,21,4.980342766351156,5.088299465191894e-10,5.805287117105297e-09
extrinsic component of membrane GO:0019898,2.1606389062882974,15,6.94239095498289,8.301693296177945e-10,9.059673988437671e-09
neurotransmitter transport GO:0006836,2.303412402298538,15,6.512077466037668,2.0973442281277323e-09,2.1934725052502536e-08
exocytosis GO:0006887,2.0083471772107084,14,6.970906304876974,2.4821937627862473e-09,2.492122537837392e-08
transporter activity GO:0005215,59.07015441596993,105,1.7775474101623931,3.4858504356711536e-09,3.3651863821286906e-08
cation transport GO:0006812,27.54576649690896,60,2.1781931538094206,9.40053839762588e-09,8.739019028904059e-08
inorganic anion transport GO:0015698,3.369454505841662,17,5.04532706125781,1.3154326621434943e-08,1.1791914221357752e-07
cellular component organization or biogenesis GO:0071840,51.39845856368637,92,1.7899369469612676,2.5157912562748068e-08,2.1774607080171603e-07
organelle localization GO:0051640,2.436667665241428,14,5.745551680972818,3.337244764213597e-08,2.7921614527253764e-07
establishment of localization GO:0051234,95.18233067349328,146,1.5338981402002863,4.357712169173386e-08,3.528341143427484e-07
reproduction GO:0000003,30.18231705656472,62,2.054182913916308,4.5756027743249734e-08,3.588988426111151e-07
regulation of ion transport GO:0043269,3.426563904245758,16,4.669400731203306,9.591872404671992e-08,7.295636283553546e-07
maintenance of location GO:0051235,7.129156567444648,23,3.2261880886484793,3.624196494435286e-07,2.675509765009579e-06
oviposition GO:0018991,3.8358479261417795,16,4.171176831844145,4.6731146562354784e-07,3.3512907963288716e-06
