Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,6.0224637351643855,136,22.582120205376018,6.480081919321593e-142,1.6329806436690414e-139
single-multicellular organism process GO:0044707,5.79646218907735,130,22.427473130932768,6.184997249420791e-135,7.793096534270197e-133
membrane-bounded organelle GO:0043227,10.610401224743455,143,13.477341428571428,2.505120784973642e-118,2.104301459377859e-116
cytoplasm GO:0005737,8.52864050444879,120,14.070237799026055,2.4489895894270313e-100,1.5428634413390298e-98
intrinsic component of membrane GO:0031224,10.610401224743455,117,11.026915714285714,7.368113933943108e-86,3.713529422707326e-84
embryo development GO:0009790,3.484455762205751,77,22.0981425091352,2.1206566775702734e-78,8.906758045795148e-77
reproduction GO:0000003,3.36455822836615,72,21.39954047844303,2.501980668639243e-72,9.007130407101274e-71
establishment of localization GO:0051234,10.610401224743455,93,8.764984285714286,5.596571551987883e-59,1.7629200388761832e-57
cell communication GO:0007154,9.53981174116684,88,9.224500691167359,1.4939111136719222e-57,4.182951118281382e-56
ion binding GO:0043167,10.610401224743455,91,8.57649,6.925169535362806e-57,1.7451427229114272e-55
signaling GO:0023052,9.440073969654252,87,9.216029480242137,7.443170839317578e-57,1.7451427229114272e-55
cell periphery GO:0071944,2.244099859033241,52,23.171874366767984,2.4266611436234022e-54,5.095988401609145e-53
biosynthetic process GO:0009058,10.610401224743455,79,7.445524285714286,7.471962896131202e-45,1.4484112690962021e-43
organelle part GO:0044422,6.376851136070817,63,9.879484193011647,5.563641192999302e-43,1.0014554147398743e-41
cellular component organization or biogenesis GO:0071840,5.729616661361466,59,10.297373015873015,2.598748354699272e-41,4.3658972358947775e-40
nucleus GO:0005634,7.180058508783897,63,8.774301758534062,5.802776660171198e-40,9.139373239769636e-39
regulation of metabolic process GO:0019222,6.770497021508799,60,8.861978641950433,2.404247017546549e-38,3.5639426377748843e-37
Golgi apparatus GO:0005794,0.5443135828293393,23,42.25505430242272,1.3667441420665425e-31,1.9134417988931594e-30
regulation of gene expression GO:0010468,5.65003865217589,49,8.672507042253521,3.8786822959417266e-31,5.1443575714595536e-30
macromolecule biosynthetic process GO:0009059,9.831597774847285,61,6.204484906416701,2.0067126581450425e-30,2.5284579492627536e-29
single-organism localization GO:1902578,3.549179209676686,40,11.27021140294683,5.03602499554096e-30,6.043229994649152e-29
synaptic signaling GO:0099536,0.261015870128689,17,65.1301393728223,1.4498130795652968e-27,1.660694982047522e-26
receptor-mediated endocytosis GO:0006898,0.8233671350400922,23,27.93407584683358,2.6363154684838473e-27,2.888484774164911e-26
aromatic compound biosynthetic process GO:0019438,7.477149743076713,50,6.687040077844676,1.3112753330044806e-26,1.3768390996547047e-25
heterocycle biosynthetic process GO:0018130,7.546117351037546,50,6.6259239916439014,1.975003281346601e-26,1.9908033075973737e-25
organic cyclic compound biosynthetic process GO:1901362,7.614023918875903,50,6.566829909221214,2.943615791327401e-26,2.853042997748096e-25
maintenance of location GO:0051235,0.7947190517332848,22,27.682738889948503,3.756695758519367e-26,3.506249374618076e-25
growth GO:0040007,0.7119579221802859,21,29.49612518628912,1.0915216015013587e-25,9.823694413512228e-25
oviposition GO:0018991,0.42759916935716125,18,42.095498050336765,2.3854636228978885e-25,2.0728856309319586e-24
signal transducer activity GO:0004871,4.202779925120883,37,8.803696757673027,3.476364860647994e-24,2.920146482944315e-23
transporter activity GO:0005215,6.584815000075788,44,6.682040421711708,1.3486159529876993e-23,1.0962942585577427e-22
catabolic process GO:0009056,2.38309611507738,29,12.169043378705,2.6687176548056794e-23,2.1016151531594725e-22
lipid binding GO:0008289,0.8254892152850408,20,24.22805728975395,7.713457660717347e-23,5.890276759093247e-22
oxidation-reduction process GO:0055114,4.421354190350598,35,7.91612670986321,1.7112932291006678e-21,1.2683702756863774e-20
sex differentiation GO:0007548,1.1469843723947675,21,18.308880666049955,3.0240651806097296e-21,2.1773269300390053e-20
molecular transducer activity GO:0060089,4.680247980234339,35,7.478236227612785,1.061369605288822e-20,7.429587237021755e-20
response to organic substance GO:0010033,2.0106710320888848,25,12.433660007538636,1.2148124713336717e-20,8.273857912867169e-20
reproductive system development GO:0061458,1.0663453230867173,20,18.755650319829424,1.4260280129952376e-20,9.456817349336839e-20
glycoprotein metabolic process GO:0009100,0.543252542706865,16,29.45223214285714,3.0074780376644796e-20,1.9432935012601254e-19
Golgi membrane GO:0000139,0.2748093917208555,13,47.305515719801434,7.141887887295292e-20,4.499389368996033e-19
multi-organism reproductive process GO:0044703,0.7777424097736952,17,21.85813681543559,4.766068276210087e-19,2.9293883063535167e-18
macromolecule modification GO:0043412,8.715383566004274,44,5.048544297192946,6.38528849499342e-19,3.831173096996051e-18
