Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
single-multicellular organism process GO:0044707,24.474073368011112,110,4.494552187776626,1.5181029378910821e-43,3.8104383741066163e-41
cell periphery GO:0071944,9.475135488439227,70,7.387757155072683,1.7322580846675964e-40,2.1739838962578334e-38
developmental process GO:0032502,25.428306871102155,108,4.2472351992391575,2.1063945542315e-40,2.1739838962578334e-38
reproduction GO:0000003,14.205983278411722,76,5.349858472344835,2.1470994130828468e-34,1.3473048817094864e-32
synapse GO:0045202,1.8278275552166454,29,15.865829310447582,5.2564837827034865e-27,2.6387548589171505e-25
cellular component organization or biogenesis GO:0071840,24.191835289632067,87,3.5962546437014526,7.190754807643034e-27,3.0081324278640027e-25
synaptic signaling GO:0099536,1.1020724965276831,23,20.8697704302271,9.109711139751196e-25,3.266482137253643e-23
single-organism behavior GO:0044708,2.0204662436340857,23,11.383511143760236,1.4250052809391434e-18,4.4709540689465627e-17
multi-organism reproductive process GO:0044703,3.2838176420926497,27,8.222137445730375,1.0432666347182417e-17,2.9095547257142073e-16
cytoskeleton GO:0005856,5.4162831231787365,33,6.092739107152284,3.169191034876355e-17,7.954669497539652e-16
cellular macromolecule localization GO:0070727,5.949399493450257,31,5.210609916871132,1.9945379027651997e-14,4.551172850855137e-13
oviposition GO:0018991,1.8054277077262453,18,9.969936720794648,5.04773538857663e-14,1.0558179854439451e-12
taxis GO:0042330,1.1513521610065633,15,13.02815985240027,7.426352385558905e-14,1.433857268288681e-12
single-organism localization GO:1902578,14.985497971077644,49,3.26982794262634,9.876076207334578e-14,1.7706393771721277e-12
embryo development GO:0009790,14.712219831694764,48,3.2625939898337335,1.9249575570175966e-13,3.2210956454094453e-12
single-organism intracellular transport GO:1902582,1.5276695988452844,16,10.47346887841054,4.505164072529532e-13,7.067476138780703e-12
microtubule-based movement GO:0007018,1.5948691413164848,16,10.032171032410094,8.971812485798225e-13,1.3246617258443262e-11
cell junction GO:0030054,2.1324654810860864,18,8.440933820336644,9.514521664704144e-13,1.3267471876893001e-11
organelle part GO:0044422,26.92461668346088,67,2.4884291125732694,1.125599184134285e-12,1.4869757643037133e-11
establishment of localization GO:0051234,44.79969498080013,92,2.0535854103343465,2.4770054790409235e-12,3.108641876196359e-11
intrinsic component of membrane GO:0031224,44.79969498080013,91,2.031263829787234,6.259697726517737e-12,7.481829187409295e-11
system process GO:0003008,7.857866499632343,30,3.817830196199395,1.3236204536612312e-10,1.5101306084953137e-09
organelle localization GO:0051640,1.1468721915084834,12,10.463240881458965,2.08406581034794e-10,2.274350079988404e-09
nervous system development GO:0007399,2.029426182630246,15,7.391251836792206,3.614707295019255e-10,3.780381379374304e-09
passive transmembrane transporter activity GO:0022803,10.26809008959939,34,3.3112292260114473,3.955938563110956e-10,3.971762317363399e-09
reproductive system development GO:0061458,4.502369345570413,21,4.664210860590664,1.5819253239717902e-09,1.5271663704496898e-08
growth GO:0040007,3.0060595332116886,17,5.655243953813888,2.2510621875218284e-09,2.092654107659181e-08
non-membrane-bounded organelle GO:0043228,18.08115689425093,46,2.5440849979365048,2.4352170629204475e-09,2.182998152832258e-08
cell communication GO:0007154,40.2794057572374,78,1.9364734542039506,2.7421100130893413e-09,2.373343494087671e-08
signaling GO:0023052,39.858288624417874,77,1.9318441071458465,3.950077211081997e-09,3.3048979332719376e-08
sex differentiation GO:0007548,4.842847027424494,21,4.336292243194836,5.88851967526771e-09,4.7678014144909526e-08
maintenance of location GO:0051235,3.35549715406193,17,5.066313341801226,1.2199264613735118e-08,9.568798181398483e-08
protein localization to organelle GO:0033365,1.8950270976878456,12,6.332363275776585,8.286510504526301e-08,6.30277011101849e-07
transporter complex GO:1990351,1.7337481957569651,11,6.344635297628865,2.3777545320281378e-07,1.7553423162913606e-06
cell death GO:0008219,3.4137367575369697,15,4.394011918722926,4.795445218329652e-07,3.439019285144979e-06
cell proliferation GO:0008283,0.9542335030910428,8,8.383692224267591,6.135784212678344e-07,4.242152023711339e-06
receptor-mediated endocytosis GO:0006898,3.47645633051009,15,4.314738507818131,6.084361468271243e-07,4.242152023711339e-06
nucleoside-triphosphatase regulator activity GO:0060589,1.3305509409297638,9,6.764115317306807,1.1552411016783678e-06,7.63067148740185e-06
ion homeostasis GO:0050801,1.039352923554563,8,7.697096740383607,1.2467991964486625e-06,8.024271751502931e-06
neurotransmitter transport GO:0006836,1.0841526185353632,8,7.379034891607425,1.7646047641563194e-06,1.1072894895080905e-05
cytoplasm GO:0005737,36.00999482556715,63,1.749514275277538,3.856375879054081e-06,2.3608545015672545e-05
exocytosis GO:0006887,0.9452735640948827,7,7.405263688615509,5.7761229435998335e-06,3.4519210924846626e-05
secretion GO:0046903,1.9846264876494457,10,5.038731500476854,6.345472059731243e-06,3.703984853471028e-05
regulation of cell cycle process GO:0010564,1.3350309104278437,8,5.992370616674488,9.502896659545712e-06,5.420970594422667e-05
membrane-bounded organelle GO:0043227,44.79969498080013,71,1.5848322188449848,2.7559342793391046e-05,0.0001537198898031367
GTPase activity GO:0003924,5.295323946730575,16,3.0215337458020257,3.0963970920832416e-05,0.0001689555804593247
