Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
intrinsic component of membrane GO:0031224,9.852515422976067,161,16.341004615384612,5.572173333755642e-149,1.4041876801064218e-146
single-multicellular organism process GO:0044707,5.382429175571825,117,21.737397034596377,6.99389395685707e-120,8.812306385639908e-118
establishment of localization GO:0051234,9.852515422976067,135,13.702084615384614,5.442584074293082e-113,4.571770622406189e-111
developmental process GO:0032502,5.592287754081215,113,20.20639941453895,4.538555420312917e-112,2.8592899147971373e-110
transmembrane transport GO:0055085,6.317432889212254,101,15.987506598205286,1.0603593088587138e-89,5.344210916647917e-88
transporter activity GO:0005215,6.114471071498946,98,16.027551501028782,4.709523313936677e-87,1.9779997918534042e-85
cell periphery GO:0071944,2.083807011959438,68,32.63258046917621,6.17450304685693e-81,2.2228210968684947e-79
cytoplasm GO:0005737,7.9194518969881615,96,12.122051026853217,5.189889334071101e-74,1.6348151402323967e-72
reproduction GO:0000003,3.124232640625711,58,18.564558620187757,4.8935763564042326e-55,1.370201379793185e-53
membrane-bounded organelle GO:0043227,9.852515422976067,79,8.018256923076923,2.1627772806399923e-47,5.450198747212781e-46
single-organism localization GO:1902578,3.295666408985494,53,16.081724732666437,3.5679744739452894e-47,8.173905158492845e-46
embryo development GO:0009790,3.23556606490534,48,14.835116649489365,3.091079843180901e-41,6.491267670679892e-40
cellular component organization or biogenesis GO:0071840,5.3203583284070755,44,8.270119658119658,2.338618591872856e-27,4.533322193476613e-26
ion homeostasis GO:0050801,0.22857835781304472,16,69.99787798408488,1.1351888372645752e-26,2.0403823207075276e-25
cation transport GO:0006812,2.8513179634092736,34,11.924310244006167,1.1335457337264042e-26,2.0403823207075276e-25
secondary active transmembrane transporter activity GO:0015291,0.6453397602049323,21,32.54099823840282,1.2683149021707344e-26,2.0403823207075276e-25
organelle part GO:0044422,5.921361769208616,45,7.599603225393574,1.9903686110121578e-26,2.9504287645591986e-25
sex differentiation GO:0007548,1.0650569172237128,24,22.534006973599944,4.2092026526977297e-26,5.8928837137768215e-25
"ATPase activity, coupled to movement of substances GO:0043492",0.67095630030467,20,29.80820060996273,1.0565516766965217e-24,1.401321171197492e-23
reproductive system development GO:0061458,0.9901778000090947,22,22.218231917336393,5.15748829395799e-24,6.498435250387068e-23
primary active transmembrane transporter activity GO:0015399,0.6285904839858729,19,30.226356402218475,9.919665318643928e-24,1.1903598382372715e-22
inorganic anion transport GO:0015698,0.34877904597335274,16,45.874315514993484,1.655772512891505e-23,1.8966121511302694e-22
growth GO:0040007,0.6611037848816941,19,28.739814284076576,2.680751679054578e-23,2.93717140487719e-22
cellular homeostasis GO:0019725,0.5862246676670759,18,30.704951519069166,9.243235250866526e-23,9.705397013409853e-22
multi-organism reproductive process GO:0044703,0.7221893805041456,19,26.308888655682654,1.5222887823151817e-22,1.5344670925737032e-21
cell death GO:0008219,0.7507616752307762,19,25.3076317383404,3.2557962707653307e-22,3.155617923972551e-21
active ion transmembrane transporter activity GO:0022853,0.2551801494550801,14,54.863201663201664,3.9293741545519106e-22,3.667415877581783e-21
ion binding GO:0043167,9.852515422976067,50,5.074846153846154,1.8648129024309876e-21,1.6783316121878887e-20
ATPase activity GO:0016887,1.3990571900626014,22,15.724875406283857,1.0895374019147856e-20,9.467704320087103e-20
cell communication GO:0007154,8.85839661679778,46,5.19281332614666,3.0128750557343133e-20,2.5308150468168234e-19
"hydrolase activity, acting on acid anhydrides GO:0016817",3.638533945705061,30,8.24507904767856,3.0588350097482597e-19,2.4865368466340692e-18
signaling GO:0023052,8.765782971821805,44,5.019517382695983,6.987889224402788e-19,5.5029627642171956e-18
cytoskeleton GO:0005856,1.1911691146378063,18,15.111204428326017,4.394655030411009e-17,3.3559183868593164e-16
hydrogen transport GO:0006818,0.7014990981158958,15,21.382778738115817,5.469233756698336e-17,4.053667372611708e-16
maintenance of location GO:0051235,0.7379534051809074,15,20.326486597514634,1.200426501135347e-16,8.643070808174499e-16
passive transmembrane transporter activity GO:0022803,2.2581965349461144,22,9.74228755537656,3.251706499894861e-16,2.276194549926403e-15
female gamete generation GO:0007292,0.29163445652009157,11,37.71845114345114,4.1374276845994934e-16,2.817923720321817e-15
nervous system development GO:0007399,0.4463189486608158,12,26.886602139582273,2.0841234638515927e-15,1.3821029286594772e-14
carbohydrate derivative binding GO:0097367,9.187470631925182,40,4.353755413487317,3.017423858724197e-15,1.9497200317910198e-14
regulation of anatomical structure size GO:0090066,0.24828338865899685,10,40.27655677655678,3.115532004014816e-15,1.962785162529334e-14
phosphorus metabolic process GO:0006793,7.764767404847437,36,4.636326901115634,1.0321546498474592e-14,6.343974921013652e-14
nucleus GO:0005634,6.667197186727904,33,4.949606120198702,1.97129662133352e-14,1.182777972800112e-13
endoplasmic reticulum GO:0005783,0.8896821426947387,14,15.735957066189625,4.078190730215762e-14,2.390009451196214e-13
extracellular region GO:0005576,1.64241432101011,17,10.350616030640026,1.6661860034421616e-13,9.542701656077834e-13
supramolecular complex GO:0099080,0.36454307065011443,10,27.431600831600832,2.062308163457375e-13,1.15489257153613e-12
transporter complex GO:1990351,0.3812923468691738,10,26.226595110316037,3.3525183619663706e-13,1.836597015685925e-12
non-membrane-bounded organelle GO:0043228,3.9764752247131403,24,6.035495921323474,7.502066110982998e-13,4.022384382910033e-12
zinc ion binding GO:0008270,6.054370727418792,29,4.789928021530951,1.453163321750446e-12,7.62910743918984e-12
receptor-mediated endocytosis GO:0006898,0.7645551968229427,12,15.695400475812848,1.842866253857758e-12,9.477597876982756e-12
regulation of metabolic process GO:0019222,6.286890091401028,28,4.453712343134064,1.8785732157021827e-11,9.468009007139001e-11
single-organism behavior GO:0044708,0.4443484455762206,9,20.254374893399284,4.5323575904913884e-11,2.2395178682428038e-10
Golgi vesicle transport GO:0048193,0.32020675124672215,8,24.98385798816568,6.045359025659079e-11,2.9296739893578615e-10
nuclear outer membrane-endoplasmic reticulum membrane network GO:0042175,0.5093750473678627,9,17.668710013390864,1.6986538158729906e-10,8.076618143396105e-10
localization of cell GO:0051674,0.36355781910781687,8,22.004752970606628,1.8493435665487014e-10,8.630269977227274e-10
nitrogen compound transport GO:0071705,0.5280948266715172,9,17.04239380022962,2.4044648595072814e-10,1.1016820810833363e-09
regulation of gene expression GO:0010468,5.246464462734755,24,4.574509209100759,2.475231446639158e-10,1.113854150987621e-09
nucleoside phosphate binding GO:1901265,9.852515422976067,33,3.349398461538461,6.754451797882582e-10,2.9861786895901943e-09
cellular response to chemical stimulus GO:0070887,1.8079365801161082,14,7.743634458184866,7.880542627907813e-10,3.423959900401326e-09
secretion GO:0046903,0.4364664332378397,8,18.32901545407189,9.137225257409169e-10,3.902679262486629e-09
response to organic substance GO:0010033,1.8670516726539645,14,7.498453419930993,1.2129779204298789e-09,5.094507265805491e-09
lipid transport GO:0006869,0.32907401512740064,7,21.27181022570244,2.2052612167195638e-09,9.110259452677542e-09
exocytosis GO:0006887,0.20788807542479498,6,28.861684287276706,2.4002423559968116e-09,9.755823769535428e-09
immune system process GO:0002376,0.33597077592348384,7,20.83514549966163,2.5922715038839094e-09,1.0369086015535637e-08
Golgi apparatus GO:0005794,0.5054340411986722,8,15.827980206927576,3.2572228899891957e-09,1.2825315129332458e-08
