Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,53.17530433835344,330,6.205888318009735,4.419565438634067e-179,1.1093109250971508e-176
single-multicellular organism process GO:0044707,51.179825158637215,313,6.115691076118838,3.691319677278764e-166,4.632606194984849e-164
embryo development GO:0009790,30.765979465671723,217,7.053245297850041,1.362424590021912e-121,1.1398952403183331e-119
reproduction GO:0000003,29.70734497126828,210,7.068958878792546,1.737184091588433e-117,1.0900830174717416e-115
multi-organism reproductive process GO:0044703,6.867071543342684,61,8.88297138234081,3.489966441289977e-39,1.7519631535275686e-37
organelle fission GO:0048285,6.342438519567527,51,8.041071244546734,5.774445153979657e-31,2.415642889414823e-29
cytoplasm GO:0005737,75.30357580544133,181,2.403604318440894,4.5879974128639235e-30,1.6451247866126352e-28
female gamete generation GO:0007292,2.7730602685258314,34,12.260822595851666,1.6457563069418184e-27,5.163560413029955e-26
cell death GO:0008219,7.13875650208339,48,6.723860098882989,8.755607479245246e-26,2.4418416414339518e-24
sex differentiation GO:0007548,10.12729104823116,49,4.8384113546888114,4.5155745973347486e-20,1.1334092239310219e-18
maintenance of location GO:0051235,7.016966692992729,40,5.700468842177166,3.1288936378856184e-19,7.139566391902639e-18
chromosome segregation GO:0007059,3.756747188104251,30,7.985631850606043,4.916835115945964e-19,1.028438011752031e-17
membrane-bounded organelle GO:0043227,93.68446853127809,175,1.8679723837209303,3.8531981951533296e-17,7.439636515257582e-16
cellular component organization or biogenesis GO:0071840,50.58961300689016,110,2.174359388458226,5.674759109669617e-15,1.0174032403764812e-13
reproductive system development GO:0061458,9.415289087393448,40,4.248409117204674,7.739222180329042e-15,1.2950298448417263e-13
membrane-enclosed lumen GO:0031974,12.44129742095373,46,3.6973635822359205,1.551182297386554e-14,2.4334172290251567e-13
intrinsic component of membrane GO:0031224,93.68446853127809,164,1.750556976744186,1.5552660672502152e-13,2.2963046051753178e-12
mitotic cell cycle GO:0000278,5.190119556632806,28,5.394866090168752,1.6740572921807036e-13,2.334379890763092e-12
organelle part GO:0044422,56.30436558729813,109,1.9359067252253996,1.1923708214984591e-11,1.5751846115584907e-10
chromosome GO:0005694,10.483292028650018,37,3.529425670760854,1.7941937467085377e-11,2.251713152119215e-10
receptor-mediated endocytosis GO:0006898,7.26991475802718,30,4.12659584032606,2.584698930162048e-11,3.089330626050829e-10
oviposition GO:0018991,3.775484081810507,21,5.562200646315425,6.346534887456165e-11,7.240819348870442e-10
regulation of cell cycle process GO:0010564,2.7917971622320867,18,6.447459809583269,9.383624585222134e-11,1.0240390308220675e-09
cell periphery GO:0071944,19.814265094365314,51,2.5739031832426194,4.83975299951038e-10,5.061575011987939e-09
nucleus GO:0005634,63.39627985511588,112,1.7666651774514488,1.351129438209341e-09,1.3565339559621782e-08
non-membrane-bounded organelle GO:0043228,37.81105149922384,77,2.0364416472676146,1.6470784679723591e-09,1.5900642133117775e-08
small molecule catabolic process GO:0044282,3.0541136741196655,17,5.566263018975603,2.8740842704937138e-09,2.6718338959034152e-08
catabolic process GO:0009056,21.041531632125057,51,2.4237779307916916,3.6571989399799644e-09,3.278417621196325e-08
small molecule biosynthetic process GO:0044283,4.796644788801438,21,4.3780602743459305,5.4092853916767646e-09,4.681829770037475e-08
extracellular region GO:0005576,15.617200904164056,41,2.625310403035672,1.1973092849465593e-08,1.001748768405288e-07
growth GO:0040007,6.2862278384487595,23,3.658791980036738,3.677152428321779e-08,2.977307288737957e-07
cell proliferation GO:0008283,1.9954791797162235,12,6.013593187029151,1.4221757548986219e-07,1.1155191077486066e-06
extracellular space GO:0005615,7.419809907677224,24,3.2345842142353773,2.0445022713569884e-07,1.5550608185169822e-06
organic acid metabolic process GO:0006082,17.640785424439663,40,2.267472736479393,8.179442104180698e-07,6.038352847498104e-06
regulation of protein metabolic process GO:0051246,11.438873607669054,30,2.6226358493800355,8.436855436334047e-07,6.050430612913845e-06
mitochondrion GO:0005739,11.195293989487732,29,2.5903741364211346,1.5848531885171304e-06,1.1049948619938881e-05
fatty acid metabolic process GO:0006631,2.6231651188757867,12,4.574626245847176,3.08478975409689e-06,2.092654671022485e-05
mitochondrial matrix GO:0005759,1.8924262643318173,10,5.284221736127101,3.8954287439466675e-06,2.5730331966595095e-05
organic cyclic compound catabolic process GO:1901361,2.7636918216727038,12,4.342018131651557,5.431742859066593e-06,3.495813993912089e-05
gene silencing GO:0016458,2.070426754541246,10,4.82992212985373,9.146490660614657e-06,5.739422889535697e-05
organonitrogen compound catabolic process GO:1901565,4.890329257332716,16,3.271763343134634,1.1894380081778667e-05,7.281681464698648e-05
microtubule cytoskeleton organization GO:0000226,2.2203219041912905,10,4.50385143754293,1.7556393928362372e-05,0.00010492035419092751
heterocycle catabolic process GO:0046700,2.7262180342601923,11,4.034893710541037,2.3839893819555452e-05,0.0001391584499699632
aromatic compound catabolic process GO:0019439,2.73558648111332,11,4.021075581395349,2.4653112890856046e-05,0.0001391584499699632
cellular nitrogen compound catabolic process GO:0044270,2.7262180342601923,11,4.034893710541037,2.3839893819555452e-05,0.0001391584499699632
immune system process GO:0002376,3.1946403769165825,12,3.756291345563664,2.5105939805519886e-05,0.0001391584499699632
organelle localization GO:0051640,2.398322394400719,10,4.1695812136627906,3.5598802727398896e-05,0.0001901127549910026
ion homeostasis GO:0050801,2.173479669925652,9,4.140825481154771,7.784850578850089e-05,0.0004070828115190359
modification-dependent macromolecule catabolic process GO:0043632,5.827173942645497,16,2.7457563747850147,0.00010378477744659534,0.0005316322273284781
ribonucleoprotein complex GO:1990904,18.54952476919306,35,1.8868407916373033,0.00015575742213951791,0.0007819022591403798
positive regulation of cellular component organization GO:0051130,2.126637435660012,8,3.761807191886078,0.0003257507201883598,0.0016032045248485945
protein catabolic process GO:0030163,9.677605599281026,21,2.1699582385915934,0.0003828172124873426,0.001847829237198519
response to toxic substance GO:0009636,2.7262180342601923,9,3.301276672260849,0.0004793512111156151,0.002270134980943762
sister chromatid segregation GO:0000819,1.9861107328630954,7,3.5244761956998683,0.0009510215411700367,0.0044204890154385034
protein modification by small protein conjugation GO:0032446,5.489909855932896,13,2.3679805936979124,0.0014861721163212807,0.006782349112666208
lipid biosynthetic process GO:0008610,5.5273836433454075,13,2.3519264879779263,0.0015823189551092695,0.007092179602364761
cellular amino acid metabolic process GO:0006520,8.984340532149568,18,2.0034859470863546,0.002104957153226233,0.00926919728876815
translational initiation GO:0006413,2.3233748195756965,7,3.012858683420855,0.002544135212433846,0.01100996445380854
cellular component disassembly GO:0022411,1.8736893706255617,6,3.202238372093023,0.0029705735583640705,0.012637524799142064
sulfur compound metabolic process GO:0006790,4.721697213976416,11,2.3296707733480986,0.003225669804060005,0.01349405201365102
active ion transmembrane transporter activity GO:0022853,2.4264277349601024,7,2.8848994343180387,0.0033116460260736755,0.013599939516590887
oxidoreduction coenzyme metabolic process GO:0006733,2.9697976524415153,8,2.693786222580882,0.0033051645837133227,0.013599939516590887
regulatory region nucleic acid binding GO:0001067,1.9673738391568398,6,3.049750830564784,0.003881229215199578,0.015463310047858636
contractile fiber GO:0043292,1.9767422860099677,6,3.0352970351592634,0.003982752101783754,0.01561985589918316
ATPase activity GO:0016887,13.303194531441488,23,1.728908041270881,0.004600825929319465,0.01776626628091055
ribonucleoprotein complex subunit organization GO:0071826,2.089163648247501,6,2.8719626655542814,0.005364130001858436,0.02039994894646163
nucleobase-containing small molecule metabolic process GO:0055086,13.490563468504044,23,1.7048954295865633,0.0054368592047641185,0.02039994894646163
pyridine-containing compound metabolic process GO:0072524,2.6512704594351697,7,2.640243651902375,0.005602809795321474,0.02068095968567191
endoplasmic reticulum GO:0005783,8.45970750837441,16,1.8913183445363002,0.005772560868204017,0.020998735911872585
ubiquitin-like protein transferase activity GO:0019787,4.590538958032626,10,2.178393450403417,0.007170735524032524,0.025712208807602336
cofactor biosynthetic process GO:0051188,4.599907404885754,10,2.1739568038649173,0.007275095222609237,0.025718998603872095
lipid binding GO:0008289,7.288651651733435,14,1.920794224905841,0.007467623520013019,0.025878589675016533
cellular amide metabolic process GO:0043603,24.10501375309785,36,1.493465233778324,0.007423340464546575,0.025878589675016533
RNA splicing GO:0008380,4.009695253138702,9,2.2445596066072593,0.00776161029358908,0.02632654302284945
"translation factor activity, RNA binding GO:0008135",3.4382199950979055,8,2.326785374817819,0.00836991283080457,0.02801130827375929
establishment of localization GO:0051234,93.68446853127809,115,1.2275247093023256,0.008715918586957734,0.028785467964820937
single-organism localization GO:1902578,31.33745472371252,44,1.404070636493204,0.010524763838136343,0.03399612186704776
