Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,6.68206690615858,213,31.876364452993858,2.6046259295840175e-260,6.563657342551724e-258
single-multicellular organism process GO:0044707,6.431312809785822,198,30.786871336552807,2.647886635434424e-237,3.3363371606473745e-235
embryo development GO:0009790,3.866086631399714,116,30.00450094880628,1.1862605200783885e-133,9.964588368658463e-132
reproduction GO:0000003,3.73305746290149,108,28.930709230513113,1.673836243417924e-122,1.054516833353292e-120
intrinsic component of membrane GO:0031224,11.772492787453453,129,10.957747210300429,5.346610984746708e-94,2.694691936312341e-92
cytoplasm GO:0005737,9.462729702555086,103,10.884808426070585,4.424358570579322e-74,1.8582305996433154e-72
membrane-bounded organelle GO:0043227,11.772492787453453,101,8.579321459227467,7.3992687623853e-63,2.6637367544587082e-61
extracellular region GO:0005576,1.9624745476684906,45,22.930233695750122,5.334576656430624e-47,1.6803916467756466e-45
sex differentiation GO:0007548,1.2726064703237183,38,29.85997705192696,1.9314062251447858e-44,5.4079374304054e-43
growth GO:0040007,0.7899342660381268,32,40.509699826663166,3.4400626984728215e-42,8.66895800015151e-41
nucleus GO:0005634,7.9664458692697515,67,8.410274933072706,4.044002976183488e-41,9.264443181802173e-40
ion binding GO:0043167,11.772492787453453,72,6.115951931330472,3.550014627422486e-35,7.455030717587221e-34
reproductive system development GO:0061458,1.183135525139072,31,26.201563000448402,5.997439069293801e-35,1.1625804965092598e-33
maintenance of location GO:0051235,0.8817597097802636,28,31.75468292487265,3.237580200133733e-34,5.8276443602407196e-33
oviposition GO:0018991,0.47443145933437414,22,46.37129255902619,2.7868157947358257e-31,4.6818505351561874e-30
cell periphery GO:0071944,2.4898822245464056,35,14.056889781755089,1.0076481313624318e-29,1.58704580689583e-28
catabolic process GO:0009056,2.6441018800620455,35,13.237008855036517,7.764860149019972e-29,1.1510263279723725e-27
establishment of localization GO:0051234,11.772492787453453,64,5.436401716738198,1.6260551482306718e-28,2.2764772075229405e-27
biosynthetic process GO:0009058,11.772492787453453,64,5.436401716738198,1.6260551482306718e-28,2.2764772075229405e-27
regulation of gene expression GO:0010468,6.2688524093189635,47,7.497384996675331,4.0393276225165246e-27,5.0895528043708206e-26
regulation of metabolic process GO:0019222,7.512027647674048,50,6.65599254223745,2.0255087569987495e-26,2.430610508398499e-25
macromolecule biosynthetic process GO:0009059,10.908391816854369,57,5.225334857511286,1.0954834728182782e-24,1.2548265234100278e-23
cellular component organization or biogenesis GO:0071840,6.357146105224865,44,6.9213447782546496,4.007401116434575e-24,4.3907177449630997e-23
organelle part GO:0044422,7.0752681652595255,46,6.501520355916106,5.053248647895822e-24,5.305911080290613e-23
female gamete generation GO:0007292,0.34846578650862226,16,45.91555504001855,1.6007170533181705e-23,1.613522789744716e-22
organic cyclic compound biosynthetic process GO:1901362,8.447940824276598,48,5.681857981540758,1.584240617648745e-22,1.5354947524903219e-21
multi-organism reproductive process GO:0044703,0.8629237213203381,20,23.177019597280854,1.954465288506249e-22,1.8241676026058324e-21
aromatic compound biosynthetic process GO:0019438,8.296075667318448,46,5.544790313474642,3.0986461012399893e-21,2.78878149111599e-20
single-organism localization GO:1902578,3.93789883740318,33,8.380103543178276,4.278123366092501e-21,3.717541683639001e-20
heterocycle biosynthetic process GO:0018130,8.372596870436896,45,5.374676542578101,2.756118262484637e-20,2.315139340487095e-19
organonitrogen compound catabolic process GO:1901565,0.6145241235050702,16,26.036406689359183,2.38002498156824e-19,1.9347299850167625e-18
cell communication GO:0007154,10.5846482651994,49,4.629346084281707,2.940711429986852e-19,2.315810251114646e-18
organelle fission GO:0048285,0.7969977617105988,17,21.330047356109066,7.40730610779755e-19,5.6564883004999476e-18
oxidation-reduction process GO:0055114,4.905597744531854,33,6.727008963746419,3.2317743034665727e-18,2.395315071981107e-17
DNA binding GO:0003677,8.450295322834089,41,4.851901434641136,4.3309607268784214e-17,3.1182917233524633e-16
cell death GO:0008219,0.8970639504039531,16,17.83596363759251,1.2417910649928026e-16,8.692537454949618e-16
signaling GO:0023052,10.473986832997337,45,4.296358274790991,1.2844745885884073e-16,8.748313414169692e-16
receptor-mediated endocytosis GO:0006898,0.913545440306388,16,17.51418078846069,1.6725147221367018e-16,1.1091413420485496e-15
organic acid metabolic process GO:0006082,2.2167603918774854,22,9.924392406419306,2.364887394392693e-16,1.5280810856075862e-15
mitotic cell cycle GO:0000278,0.6521961004249213,14,21.465936381524923,4.648476177238806e-16,2.9285399916604477e-15
non-membrane-bounded organelle GO:0043228,4.751378089016214,30,6.313957643015436,5.198819680562975e-16,3.195372096346024e-15
protein catabolic process GO:0030163,1.2160985049439417,17,13.979130745484838,1.1000594919667317e-15,6.60035695180039e-15
extracellular space GO:0005615,0.9323814287663136,15,16.087836519703473,4.498668312169522e-15,2.6364288713179523e-14
small molecule catabolic process GO:0044282,0.3837832648709826,11,28.66201058479686,1.0799543256690827e-14,6.185192956104746e-14
nervous system development GO:0007399,0.5332939232716415,12,22.50166273484353,2.0160782734790142e-14,1.1290038331482479e-13
structural constituent of cuticle GO:0042302,1.3338234328184764,15,11.245866305035436,1.0066379598948064e-12,5.514625345510679e-12
small molecule biosynthetic process GO:0044283,0.6027516307176168,11,18.249639552038627,2.1536695896927627e-12,1.1547334821331409e-11
regulation of cell cycle process GO:0010564,0.3508202850661129,9,25.65416078578218,4.484157788511712e-12,2.3541828389686488e-11
regulatory region nucleic acid binding GO:0001067,0.24722234853652253,8,32.359534028203555,6.000081738876486e-12,3.085756322850764e-11
chromosome GO:0005694,1.3173419429160413,14,10.627460907385887,1.0651705950035554e-11,5.368459798817919e-11
localization of cell GO:0051674,0.4344049838570324,9,20.717994347325448,3.6341912812829694e-11,1.795718044869232e-10
organic cyclic compound catabolic process GO:1901361,0.34728853722987685,8,23.03560049465338,1.230957635350143e-10,5.965410079004539e-10
cellular response to chemical stimulus GO:0070887,2.160252426497709,16,7.406541848417161,1.3479682755532946e-10,6.409207649800571e-10
cell proliferation GO:0008283,0.2507540963727586,7,27.915795200386867,2.5880439843403655e-10,1.2077538593588373e-09
cytoskeleton GO:0005856,1.4232943780031224,13,9.133739443444552,3.426257289816109e-10,1.5698487946066535e-09
endoplasmic reticulum GO:0005783,1.0630560987070468,11,10.347525415995324,1.3657766283328823e-09,6.14599482749797e-09
response to organic substance GO:0010033,2.2308873832224294,15,6.723781806651794,1.7465661864597144e-09,7.721661034874528e-09
chromosome segregation GO:0007059,0.4720769607768835,8,16.946389391328545,1.8058038668731621e-09,7.845906456069602e-09
zinc ion binding GO:0008270,7.2341968178901475,27,3.732273351096708,2.212652888611557e-09,9.450653015764617e-09
cellular amino acid metabolic process GO:0006520,1.128982058316786,11,9.743290355207277,2.661707009341169e-09,1.117916943923291e-08
cellular nitrogen compound catabolic process GO:0044270,0.3425795401148955,7,20.433210919870803,3.0056176661592552e-09,1.2416650030690694e-08
heterocycle catabolic process GO:0046700,0.3425795401148955,7,20.433210919870803,3.0056176661592552e-09,1.2416650030690694e-08
cellular amide metabolic process GO:0043603,3.0290623942117736,17,5.612297730309303,3.1475919421975685e-09,1.2416650030690694e-08
aromatic compound catabolic process GO:0019439,0.34375678939364085,7,20.363234170145216,3.087114421166993e-09,1.2416650030690694e-08
carbohydrate binding GO:0030246,0.7334263006583501,9,12.271171611818763,5.5170904190510016e-09,2.1389335163090038e-08
isomerase activity GO:0016853,0.7616802833482385,9,11.815981320190247,7.87359369815076e-09,3.006281230203017e-08
sister chromatid segregation GO:0000819,0.24957684709401318,6,24.040691553971985,8.40705614420825e-09,3.1620569378216107e-08
iron ion binding GO:0005506,1.0147888782784877,10,9.854266452904215,1.0018870272847549e-08,3.712875454055268e-08
membrane-enclosed lumen GO:0031974,1.5633870421738185,12,7.675642484099488,1.0565100581981142e-08,3.8585584734192e-08
protein complex biogenesis GO:0070271,1.0453973595258668,10,9.5657406333372,1.3544158737413495e-08,4.8758971454688584e-08
supramolecular complex GO:0099080,0.43558223313577776,7,16.070444264006497,1.9332353814386124e-08,6.861624170739864e-08
response to endogenous stimulus GO:0009719,1.9718925418984536,13,6.592651335596694,2.047786638879972e-08,7.167253236079902e-08
transmembrane transport GO:0055085,7.548522375315155,26,3.4443827158841116,2.154839910099765e-08,7.438625443084121e-08
phosphorus metabolic process GO:0006793,9.277901565792067,29,3.1257067984989155,3.234516590577008e-08,1.1014840281424405e-07
protein complex subunit organization GO:0071822,1.1537042931704384,10,8.667732328983096,3.6587652590676915e-08,1.2293451270467443e-07
regulation of protein metabolic process GO:0051246,1.4374213693480666,11,7.65259250666976,3.719061855190503e-08,1.2331626151421143e-07
lipid binding GO:0008289,0.9158999388638787,9,9.826400917947417,4.392726414299624e-08,1.4376195537707862e-07
"oxidoreductase activity, acting on CH-OH group of donors GO:0016614",0.5050399405817532,7,13.860289924667606,6.006945693913429e-08,1.9407055318797232e-07
cell junction GO:0030054,0.5603706566827843,7,12.491731885887404,1.323672394145642e-07,4.2223473838569854e-07
transporter activity GO:0005215,7.306009023893612,24,3.284967199124757,1.637007659069903e-07,5.156574126070194e-07
lipid transport GO:0006869,0.39320125910094533,6,15.259361106113953,1.8574492309029486e-07,5.778730940586952e-07
glycosylation GO:0070085,0.6368918598012318,7,10.990876853387068,3.473096696428436e-07,1.0673419115853244e-06
DNA replication GO:0006260,0.6651458424911201,7,10.52400774811045,4.806509864146386e-07,1.459325886463722e-06
carbohydrate metabolic process GO:0005975,1.8730036024838441,11,5.872919830700049,6.113086851971529e-07,1.8339260555914586e-06
monooxygenase activity GO:0004497,0.30373031391629907,5,16.461972252719832,7.750628374115574e-07,2.2978333532672055e-06
