Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,51.86137966720227,226,4.357770685050344,7.356715355081677e-85,1.8465355541255008e-82
single-multicellular organism process GO:0044707,49.91520738582205,211,4.22716865361422,3.84437260147387e-76,4.824687614849707e-74
immune system process GO:0002376,3.1157030420218415,56,17.973471555126284,1.9764269882383628e-53,1.6536105801594304e-51
cytoplasm GO:0005737,73.44287698466734,208,2.832133060955988,6.1746880414733196e-46,3.874616746024508e-44
maintenance of location GO:0051235,6.8435823415670365,64,9.351827274915983,2.0886669597023988e-42,1.0485108137706042e-40
embryo development GO:0009790,30.005773577711814,123,4.0992110962059645,2.1805417316053906e-41,9.121932910549218e-40
catabolic process GO:0009056,20.521610065633595,90,4.3856208022740875,1.8794712876964644e-32,6.739247045883036e-31
reproduction GO:0000003,28.973297203082872,105,3.624026608501693,9.209541837326934e-31,2.8894937514613253e-29
membrane-bounded organelle GO:0043227,91.36959067512733,204,2.2326903129657225,4.002438737555328e-30,1.1162356923626526e-28
organic acid metabolic process GO:0006082,17.204893924126473,76,4.41734778111157,9.610929530433012e-28,2.412343312138686e-26
fatty acid metabolic process GO:0006631,2.558348538903565,31,12.117191824568874,3.960900068190354e-25,9.038053791961625e-24
intrinsic component of membrane GO:0031224,91.36959067512733,184,2.0137991058122204,1.1255954560420839e-21,2.3543704955546923e-20
small molecule catabolic process GO:0044282,2.9786486560091503,29,9.735958600385837,6.673768251904547e-21,1.2885506394061857e-19
growth GO:0040007,6.130899534301043,38,6.198111677968022,1.2902183560722265e-19,2.3131771955294916e-18
lipid catabolic process GO:0016042,2.3207876031482337,24,10.341316873393808,2.3994117486345605e-18,4.0150156593818313e-17
oxidation-reduction process GO:0055114,38.07370843432555,92,2.416365617725247,2.4934840172805426e-15,3.911653052108851e-14
receptor-mediated endocytosis GO:0006898,7.09028023638988,34,4.795297063929817,2.015154553204262e-14,2.975316428554528e-13
reproductive system development GO:0061458,9.182643862850295,38,4.138241727280142,7.725516981943687e-14,1.0772804235932587e-12
sex differentiation GO:0007548,9.877052751981262,39,3.9485462900030472,1.671427250915632e-13,2.208043368314861e-12
small molecule biosynthetic process GO:0044283,4.678123042566519,24,5.130262667660209,2.046433539426369e-11,2.5682740919800934e-10
exopeptidase activity GO:0008238,3.6639205860726056,21,5.731565274592951,3.5895592761288143e-11,4.2903779919444403e-10
mitochondrion GO:0005739,10.918666085677716,37,3.3886923283178167,5.725924422236897e-11,6.53275922718846e-10
lipid modification GO:0030258,2.960374737874125,18,6.080311309819506,2.544500782724173e-10,2.7768247672337714e-09
membrane-enclosed lumen GO:0031974,12.133881641656908,38,3.1317266083708906,3.13834279062042e-10,3.2821835018571894e-09
nucleolus GO:0005730,2.0284049129878263,15,7.394973214645346,3.3340138957937907e-10,3.3473499513769654e-09
extracellular space GO:0005615,7.2364715814700835,28,3.869289015339686,4.727661160260123e-10,4.564011350866503e-09
organonitrogen compound catabolic process GO:1901565,4.769492633241646,22,4.612649959173418,9.44994976187639e-10,8.784953297151755e-09
extracellular region GO:0005576,15.231310765543723,42,2.75747771459121,1.9373175625745723e-09,1.7366668150222057e-08
endoplasmic reticulum GO:0005783,8.250674037963996,29,3.514864345211276,2.2652002010868376e-09,1.9605698292165387e-08
cell periphery GO:0071944,19.324668427789426,47,2.432124523927803,1.2599477420596093e-08,1.0541562775232065e-07
protein catabolic process GO:0030163,9.438478716740653,30,3.178478322654921,1.2878085639359191e-08,1.0541562775232065e-07
ion homeostasis GO:0050801,2.1197745036629536,13,6.132727786628296,4.013499948663306e-08,3.148089022232781e-07
sulfur compound metabolic process GO:0006790,4.605027370026417,19,4.125925531663237,6.469593568089779e-08,4.920812077547074e-07
cellular component organization or biogenesis GO:0071840,49.339578964568744,87,1.763290279847657,1.1198832813240571e-07,8.26737363565701e-07
organic cyclic compound catabolic process GO:1901361,2.695402924916256,14,5.194028644320392,1.2541798777344947e-07,8.994261408895948e-07
monooxygenase activity GO:0004497,2.357335439418285,13,5.514700955417692,1.4898512117995315e-07,1.03875737267134e-06
single-organism localization GO:1902578,30.563128080830086,60,1.9631498399417242,3.357711873124251e-07,2.2777991355518567e-06
"oxidoreductase activity, acting on the CH-CH group of donors GO:0016627",3.408085732182249,15,4.401297730968544,4.760885444419357e-07,3.0764544317364935e-06
organelle part GO:0044422,54.91312399575152,92,1.6753736321233117,4.6575804145811454e-07,3.0764544317364935e-06
aromatic compound catabolic process GO:0019439,2.6679920477137173,13,4.872578241430701,6.628480543859508e-07,3.993014804261575e-06
heterocycle catabolic process GO:0046700,2.6588550886462046,13,4.889322496555892,6.363370205994542e-07,3.993014804261575e-06
cellular nitrogen compound catabolic process GO:0044270,2.6588550886462046,13,4.889322496555892,6.363370205994542e-07,3.993014804261575e-06
carbohydrate binding GO:0030246,5.692325499060432,19,3.3378273964017193,1.7719375792727626e-06,1.0343170520871241e-05
establishment of localization GO:0051234,91.36959067512733,134,1.4665710879284648,1.8925670130613537e-06,1.0796234551781812e-05
"oxidoreductase activity, acting on CH-OH group of donors GO:0016614",3.919755439962962,15,3.8267693558304585,2.91812269673794e-06,1.6276639930693842e-05
mitochondrial matrix GO:0005759,1.8456657316375717,10,5.418099186967877,3.0739136948868522e-06,1.6772876900360865e-05
electron carrier activity GO:0009055,3.0608812876167653,13,4.247142825366462,3.306881473741205e-06,1.766015425338388e-05
single-organism intracellular transport GO:1902582,3.1157030420218415,13,4.172413039582887,4.053749349419244e-06,2.11977309730048e-05
multi-organism reproductive process GO:0044703,6.697390996486833,20,2.9862374782196754,5.72073992203265e-06,2.9304198376126428e-05
oviposition GO:0018991,3.6821945042076307,14,3.802080521276714,6.056145354579693e-06,3.0401849679990056e-05
carboxylic ester hydrolase activity GO:0052689,3.298442223372096,13,3.9412544224314807,7.743369830177696e-06,3.810952602695298e-05
cellular amino acid metabolic process GO:0006520,8.76234374574471,23,2.624868490370465,1.2065490906341241e-05,5.8239196490224064e-05
protein localization to organelle GO:0033365,3.8649336855578853,13,3.363576469261855,4.42620804139724e-05,0.0002070524872234589
localization of cell GO:0051674,3.3715378959121978,12,3.5592066203821506,4.3720246306148696e-05,0.0002070524872234589
coenzyme binding GO:0050662,8.999904681500041,22,2.4444703336939333,5.242512738587988e-05,0.00023924921770646998
lipid transport GO:0006869,3.051744328549252,11,3.6044959261804266,7.073462348350731e-05,0.0003170426873992917
glycosyl compound metabolic process GO:1901657,6.213132165908657,17,2.736140089418778,7.173861451040585e-05,0.0003170426873992917
cell death GO:0008219,6.962362809444701,18,2.585329218348452,9.95947816604543e-05,0.0004304964382662379
lyase activity GO:0016829,7.556265148833029,19,2.5144697315093967,9.947726461929003e-05,0.0004304964382662379
cellular homeostasis GO:0019725,5.436490645170076,15,2.7591328632794396,0.00014868206135692832,0.0006219866233431501
nuclear outer membrane-endoplasmic reticulum membrane network GO:0042175,4.723807837904082,13,2.752017111214245,0.0003520382241091765,0.0014485507254328412
carbohydrate derivative catabolic process GO:1901136,3.1705247964269176,10,3.1540519762752486,0.00040729877937971095,0.001648903122972701
lipid biosynthetic process GO:0008610,5.390805849832512,14,2.597014322160196,0.0004252721355353459,0.0016943381907836797
carbohydrate metabolic process GO:0005975,14.536901876412758,28,1.926132558233206,0.00042790161135976203,0.0016943381907836797
nitrogen compound transport GO:0071705,4.897410060186824,13,2.6544642658540383,0.0005022134882836265,0.0019393167009106192
primary active transmembrane transporter activity GO:0015399,5.829379885073123,14,2.4016276646935983,0.0009379245953747263,0.00356695565816752
lipid binding GO:0008289,7.108554154524905,16,2.2508093280565786,0.0009876121796656499,0.003699860553672808
iron ion binding GO:0005506,7.876058716195975,17,2.1584399777317507,0.0011810659308506657,0.0043595227741693695
membrane lipid metabolic process GO:0006643,2.558348538903565,8,3.1270172450500318,0.0012131279116187727,0.004412972548062492
response to organic substance GO:0010033,17.31453743293663,29,1.6748931418078006,0.002976291524131423,0.01067213103652839
cellular response to chemical stimulus GO:0070887,16.76631988888586,28,1.670014659481761,0.003545640722033375,0.012534589031413763
cytoplasmic vesicle part GO:0044433,2.0284049129878263,6,2.9579892858581385,0.004583065816547476,0.015818005640694882
"ATPase activity, coupled to movement of substances GO:0043492",6.222269124976171,13,2.089269965488641,0.004537435880996142,0.015818005640694882
rRNA metabolic process GO:0016072,2.6771290067812306,7,2.6147413823797194,0.0059324313795039215,0.020122165895344383
"transferase activity, transferring glycosyl groups GO:0016757",16.062774040687383,25,1.5563936799879283,0.012330557133848462,0.04126626454127952
ATPase activity GO:0016887,12.974481875868078,21,1.6185617430364605,0.012600181269531736,0.04161375656121666
mitochondrion organization GO:0007005,2.494389825430976,6,2.4053978808077168,0.013414722088387556,0.043728509664743856
cell proliferation GO:0008283,1.946172281380212,5,2.569145623867397,0.014091783309429656,0.044879879082411506
purine-containing compound metabolic process GO:0072521,7.1359650317274435,13,1.8217578060150634,0.013946735332382857,0.044879879082411506
nucleobase-containing small molecule metabolic process GO:0055086,13.157221057218333,21,1.5960817188276206,0.014554397881233168,0.04566442335236907
"hydrolase activity, acting on glycosyl bonds GO:0016798",7.254745499605109,13,1.791930537150837,0.015848610019138055,0.04911112487411916
