Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
immune system process GO:0002376,0.5677044649578868,124,218.423506690578,1.1354238126116828e-257,2.861268007781441e-255
intrinsic component of membrane GO:0031224,16.64822477882366,204,12.253558725341426,4.519171739358065e-158,5.694156391591162e-156
developmental process GO:0032502,9.449532384460309,140,14.815547934438433,2.1498950537685865e-117,1.8059118451656127e-115
single-multicellular organism process GO:0044707,9.094925196671365,133,14.623539734958614,1.2314998207383664e-110,7.758448870651708e-109
cytoplasm GO:0005737,13.381843077218457,139,10.387208936610282,4.283209355904499e-96,2.1587375153758673e-94
membrane-bounded organelle GO:0043227,16.64822477882366,142,8.52943793626707,6.155834995813008e-87,2.5854506982414634e-85
carbohydrate binding GO:0030246,1.037184403720714,48,46.27913785418346,9.559500672617105e-65,3.441420242142158e-63
reproduction GO:0000003,5.279152077364983,68,12.880856433660702,5.153843928588985e-53,1.6234608375055303e-51
embryo development GO:0009790,5.46727701736569,67,12.254729326351704,7.13970961512914e-51,1.999118692236159e-49
catabolic process GO:0009056,3.739191285323794,57,15.243937966940384,9.640975161098948e-49,2.429525740596935e-47
maintenance of location GO:0051235,1.2469520359338921,40,32.078218606092896,7.96024340497357e-48,1.823619398230309e-46
establishment of localization GO:0051234,16.64822477882366,96,5.766380576631259,8.726623481986155e-44,1.8325909312170924e-42
organic acid metabolic process GO:0006082,3.134860725852495,43,13.7167178258953,2.1692116192849795e-35,4.204933292767806e-34
oxidation-reduction process GO:0055114,6.937315265335819,56,8.072287024321819,2.5726647239443487e-33,4.6307965030998275e-32
cellular component organization or biogenesis GO:0071840,8.990041380564776,62,6.896519979767325,7.02486405410414e-33,1.1801771610894956e-31
extracellular region GO:0005576,2.775259070629904,39,14.052742107117274,1.0271177147055138e-32,1.6177104006611842e-31
cell periphery GO:0071944,3.5210995407212042,39,11.076085622961934,7.804811751165856e-29,1.1569485654669386e-27
organelle part GO:0044422,10.005583092073019,59,5.896707813734823,7.7899770130455305e-28,1.0905967818263743e-26
transporter activity GO:0005215,10.331888297737962,58,5.613688256066259,2.5483214010495833e-26,3.379878910865763e-25
ion binding GO:0043167,16.64822477882366,72,4.324785432473445,1.6893577748186133e-25,2.1285907962714526e-24
biosynthetic process GO:0009058,16.64822477882366,72,4.324785432473445,1.6893577748186133e-25,2.1285907962714526e-24
single-organism localization GO:1902578,5.568831188516514,43,7.721548480167669,2.7755097149957004e-25,3.179220218995075e-24
transmembrane transport GO:0055085,10.674841728181732,55,5.152301214433861,2.6785858113893245e-23,2.934798367261347e-22
growth GO:0040007,1.1170958826590676,21,18.798744428287453,1.854783028627818e-21,1.947522180059209e-20
fatty acid metabolic process GO:0006631,0.46615029380706247,16,34.3236939085194,2.1546691034262768e-21,2.171906456253687e-20
extracellular space GO:0005615,1.318539402482834,22,16.68512898330804,3.361993556762392e-21,3.258547601169703e-20
multi-organism reproductive process GO:0044703,1.2203148762877742,21,17.20867327609943,1.2137598080661947e-20,1.1328424875284484e-19
protein catabolic process GO:0030163,1.719761619652484,22,12.792470624181965,1.1269614316298658e-18,1.0142652884668792e-17
"transferase activity, transferring glycosyl groups GO:0016757",2.9267579161171993,27,9.22522489862083,1.1768904958577211e-18,1.022677258469468e-17
nucleus GO:0005634,11.26585370782997,50,4.4381900650147,1.2052292803386204e-18,1.022677258469468e-17
lipid catabolic process GO:0016042,0.42286490938212096,13,30.742678599166002,2.812854175547042e-17,2.2865782330253374e-16
nitrogen compound transport GO:0071705,0.8923448481449482,16,17.930287862659387,1.151049016906024e-16,9.064511008134938e-16
