Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
developmental process GO:0032502,32.84811677877938,162,4.931789578410646,2.8142909326761087e-70,7.063870241017033e-68
single-multicellular organism process GO:0044707,31.615444320379094,148,4.681256366357636,1.7408821727727416e-60,2.184807126829791e-58
immune system process GO:0002376,1.9734333723685284,42,21.28270484733483,1.2634507747954736e-43,1.0570871482455463e-41
embryo development GO:0009790,19.005147198997793,88,4.630324568316974,2.2748345619027568e-34,1.42745868759398e-32
reproduction GO:0000003,18.351194204635203,85,4.631851151056449,3.4197237343949287e-33,1.7167013146662542e-31
cytoplasm GO:0005737,46.51747051934966,112,2.407697554264303,1.996989570579712e-19,8.35407303692513e-18
growth GO:0040007,3.883207603692911,29,7.468052949943018,1.1398876377374082e-17,4.087311386744135e-16
female gamete generation GO:0007292,1.7130096135515673,19,11.091589825119236,1.5012996219883904e-15,4.710327563988575e-14
multi-organism reproductive process GO:0044703,4.24201367139628,26,6.1291645935318195,5.2748706173871376e-14,1.4039195835477634e-12
catabolic process GO:0009056,12.998039162286554,46,3.5389953381174375,5.033974602362498e-14,1.4039195835477634e-12
maintenance of location GO:0051235,4.334608785642311,26,5.998234508756774,8.778104955774359e-14,2.0030039489994218e-12
extracellular region GO:0005576,9.647253465508319,37,3.8352884717174214,1.2481600051919748e-12,2.6107346775265475e-11
membrane-bounded organelle GO:0043227,57.871946403769165,105,1.8143505882352942,2.951583663374165e-10,5.698826919283964e-09
cell death GO:0008219,4.40984231596721,21,4.762075034738305,1.1530454163908174e-09,2.067245710814965e-08
fatty acid metabolic process GO:0006631,1.6204144993055367,13,8.022638655462185,1.4232498375382232e-09,2.38157139481396e-08
lipid transport GO:0006869,1.93292300988589,13,6.725565339908418,1.3386331380069645e-08,2.0999807352484255e-07
organelle fission GO:0048285,3.9179307715351728,18,4.594261882005386,2.46432995959827e-08,3.638510705053916e-07
reproductive system development GO:0061458,5.816130613578801,22,3.7825835528241147,3.595100585236414e-08,5.013168038301889e-07
protein catabolic process GO:0030163,5.978172063509355,22,3.680054666590741,5.876699538554061e-08,7.763429390405629e-07
intrinsic component of membrane GO:0031224,57.871946403769165,97,1.6761143529411764,8.996398969833736e-08,1.129048070714134e-06
sex differentiation GO:0007548,6.255957406247447,22,3.5166479838929097,1.3115213256424773e-07,1.5675802511250562e-06
receptor-mediated endocytosis GO:0006898,4.490863040932487,18,4.008138265615525,2.0237230067827377e-07,2.2708220779001773e-06
carbohydrate binding GO:0030246,3.6054222609548194,16,4.437760362571995,1.9903619806296376e-07,2.2708220779001773e-06
organic acid metabolic process GO:0006082,10.897287507829734,30,2.752978663584393,2.6931932301888615e-07,2.8166312532391844e-06
lipid catabolic process GO:0016042,1.4699474386557367,10,6.802964335340436,3.4860022403454476e-07,3.499946249306829e-06
cell periphery GO:0071944,12.239916664397178,32,2.614396884995133,3.6529771522892187e-07,3.5265279431715147e-06
mitotic cell cycle GO:0000278,3.206105830768812,14,4.366668082395413,1.1401338144731005e-06,1.0599021756768451e-05
