Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
intrinsic component of membrane GO:0031224,5.103097731900424,76,14.892914851485148,3.76061009662125e-68,9.47673744348555e-66
developmental process GO:0032502,2.8965182726266807,56,19.3335566114751,8.099545206447184e-56,1.0205426960123451e-53
cell periphery GO:0071944,1.0793051702969396,41,37.98740257004424,5.226381656081497e-53,4.3901605911084576e-51
single-multicellular organism process GO:0044707,2.7878222909372017,51,18.2938489895118,1.3600353553324207e-49,8.56822273859425e-48
signaling GO:0023052,4.540226052071807,53,11.673427576544325,1.7145509418553983e-41,8.641336746951207e-40
cell communication GO:0007154,4.58819517075167,53,11.551383066234553,2.9244949049095244e-41,1.2282878600620002e-39
cytoplasm GO:0005737,4.10186995690156,47,11.458188702672208,1.962555305824057e-36,7.065199100966604e-35
cellular component organization or biogenesis GO:0071840,2.7556727752262287,34,12.33818481848185,1.0616143562912437e-27,3.344085222317418e-26
molecular transducer activity GO:0060089,2.250976409541277,31,13.771801369663152,7.67163216151833e-27,2.148057005225132e-25
signal transducer activity GO:0004871,2.021337011605758,29,14.346939591712262,9.836340492867132e-26,2.478757804202517e-24
embryo development GO:0009790,1.6758572951560993,27,16.111157004860047,1.951075964356148e-25,4.4697376637977206e-24
single-organism behavior GO:0044708,0.23014970770870913,15,65.17496871638383,1.0146825000089084e-24,2.1308332500187074e-23
G-protein coupled receptor signaling pathway GO:0007186,1.478367412931553,24,16.234124068257703,6.288815899851527e-23,1.2190627744327575e-21
synaptic signaling GO:0099536,0.12553620420475042,12,95.58995411736296,1.360071319574779e-22,2.4481283752346024e-21
establishment of localization GO:0051234,5.103097731900424,37,7.25049801980198,5.8664478686425495e-22,9.855632419319483e-21
ion binding GO:0043167,5.103097731900424,37,7.25049801980198,5.8664478686425495e-22,9.855632419319483e-21
membrane-bounded organelle GO:0043227,5.103097731900424,35,6.858579207920792,4.5489540044045414e-20,6.743155347705556e-19
synapse GO:0045202,0.2082063874615373,12,57.63511939429237,1.0351284847377153e-19,1.4491798786328015e-18
maintenance of location GO:0051235,0.38222202011934175,14,36.627926344036275,1.5292255308304115e-19,2.028235967206651e-18
passive transmembrane transporter activity GO:0022803,1.1696300001515771,18,15.38948214193147,2.3004872040531462e-17,2.898613877106964e-16
reproduction GO:0000003,1.6181922907856245,20,12.359470573358186,3.8587320450814407e-17,4.630478454097729e-16
system process GO:0003008,0.8950833421753344,15,16.75821601544419,1.907810262831234e-15,2.1853099374248684e-14
transporter activity GO:0005215,3.1669824524174026,23,7.262433671662365,2.6333950146206217e-14,2.8852849725408553e-13
transmembrane transport GO:0055085,3.272106265694552,22,6.723498020419633,4.338262028994795e-13,4.555175130444534e-12
transporter complex GO:1990351,0.19748988222454641,8,40.50840432880497,8.108644921651377e-13,8.173514081024589e-12
protein complex biogenesis GO:0070271,0.45315507859275767,10,22.067500668985815,2.003620954412736e-12,1.941971078892344e-11
cytoskeleton GO:0005856,0.6169645157867613,11,17.829226346952314,2.5355035183026347e-12,2.3664699504157924e-11
single-organism localization GO:1902578,1.7069861913206918,16,9.373245127203303,2.7508089575025543e-12,2.475728061752299e-11
protein complex subunit organization GO:0071822,0.5001035777262416,10,19.99585774904021,5.72322979315025e-12,4.973289337496079e-11
organelle part GO:0044422,3.066961736872155,20,6.521111678555543,7.75368664235223e-12,6.513096779575873e-11
cation transport GO:0006812,1.4768364836119827,14,9.479722471210493,4.189169741203248e-11,3.4053895960748984e-10
detection of stimulus GO:0051606,0.3163920593778263,8,25.28508463749601,5.273199417399475e-11,4.1526445412020865e-10
neurotransmitter transport GO:0006836,0.12349496511199026,6,48.58497667948613,6.478705652831687e-11,4.947375225798743e-10
organelle localization GO:0051640,0.13063930193665085,6,45.92798576732673,9.592671428052448e-11,7.109862352556521e-10
cell junction GO:0030054,0.24290745203846015,7,28.817559697146187,2.0086210418266238e-10,1.4462071501151692e-09
multi-organism reproductive process GO:0044703,0.37405706374830106,8,21.387111153134413,2.285059378568377e-10,1.5995415649978639e-09
nucleobase-containing small molecule metabolic process GO:0055086,0.734846073393661,10,13.60829207920792,3.278571153453075e-10,2.232972785595067e-09
extracellular space GO:0005615,0.40416534036651364,8,19.79387938793879,4.48602569928853e-10,2.9749433584755518e-09
phosphorus metabolic process GO:0006793,4.021751322510724,20,4.972957897236241,1.0158208123706082e-09,6.56376524916393e-09
supramolecular complex GO:0099080,0.1888146160803157,6,31.777200963339578,1.2345049967061273e-09,7.777381479248601e-09
exocytosis GO:0006887,0.10767536214309895,5,46.4358781849749,1.7136463204834558e-09,1.0532655433215386e-08
nucleus GO:0005634,3.453266235177017,18,5.212456490218255,2.873722178529463e-09,1.724233307117678e-08
