Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
chromosome segregation GO:0007059,37.48063448812768,115,3.0682511534437142,8.704083382496109e-32,2.3501025132739493e-29
nucleus GO:0005634,323.2341540158298,521,1.6118346205905116,1.1616325811383233e-29,1.5682039845367364e-27
organelle fission GO:0048285,70.74832944076813,168,2.3746143736249326,7.587095575028312e-29,6.828386017525481e-27
meiotic cell cycle process GO:1903046,52.589107305047364,129,2.4529794592580756,4.215182452472576e-24,2.8452481554189888e-22
protein modification process GO:0036211,192.92357596989748,322,1.6690546937106472,2.0739160284777935e-21,1.1199146553780085e-19
regulation of cell shape GO:0008360,14.672651485662385,54,3.6803164072128993,9.048762887984357e-21,4.0719432995929606e-19
embryo development GO:0009790,474.4641559621124,665,1.401581113438425,2.226840155304803e-20,8.589240599032811e-19
reproduction GO:0000003,456.59548138056317,635,1.3907277358067858,9.301294392045747e-19,3.1391868573154394e-17
DNA replication GO:0006260,14.52737770857662,50,3.4417773808194707,9.615840503835783e-18,2.884752151150735e-16
membrane-enclosed lumen GO:0031974,90.79611067860387,166,1.8282721446913028,1.4414067372774595e-15,3.8917981906491404e-14
dephosphorylation GO:0016311,39.36919359024264,90,2.286051396854261,2.79755068502262e-15,6.866715317782794e-14
peptidyl-serine modification GO:0018209,19.902507460749966,57,2.8639607402439395,3.0849489965583627e-15,6.941135242256316e-14
multi-organism reproductive process GO:0044703,105.03294083300895,184,1.751831363957905,4.2442635264987184e-15,8.815008862728108e-14
development of primary sexual characteristics GO:0045137,144.40213442325157,227,1.571998924438672,9.347377363750897e-13,1.80270849158053e-11
reproductive system development GO:0061458,146.00014597119502,228,1.5616422742822673,1.6756943379047221e-12,3.0162498082284997e-11
nucleoplasm GO:0005654,31.379135850525497,71,2.2626499447979853,3.034674825178457e-12,5.121013767488646e-11
phosphorus metabolic process GO:0006793,172.1494258466329,256,1.4870801847928854,1.935533079854076e-11,3.074081950356474e-10
covalent chromatin modification GO:0016569,19.03086479823537,47,2.4696723190612997,3.1489833649731633e-10,4.723475047459745e-09
